ID,orden,secuencia,tarea,obligatoria,tecnico,estado,inicioReal,resultado,finReal
tarea-orden-059,orden-trabajo-059,1,"Diagnóstico, ejecución y validación de la orden #59",1,tecnica-demo,No aplica,2026-07-31T01:00:00Z,Punto de control técnico documentado.,
tarea-orden-060,orden-trabajo-060,1,"Diagnóstico, ejecución y validación de la orden #60",1,tecnica-demo,Pendiente,2026-07-31T00:00:00Z,Punto de control técnico documentado.,
tarea-orden-061,orden-trabajo-061,1,"Diagnóstico, ejecución y validación de la orden #61",1,tecnica-demo,En ejecución,2026-07-30T23:00:00Z,Punto de control técnico documentado.,
tarea-orden-062,orden-trabajo-062,1,"Diagnóstico, ejecución y validación de la orden #62",1,tecnica-demo,Completada,2026-07-30T22:00:00Z,Punto de control técnico documentado.,2026-07-30T22:55:00Z
tarea-orden-063,orden-trabajo-063,1,"Diagnóstico, ejecución y validación de la orden #63",1,tecnica-demo,No aplica,2026-07-30T21:00:00Z,Punto de control técnico documentado.,
tarea-orden-064,orden-trabajo-064,1,"Diagnóstico, ejecución y validación de la orden #64",1,tecnica-demo,Pendiente,2026-07-30T20:00:00Z,Punto de control técnico documentado.,
tarea-orden-065,orden-trabajo-065,1,"Diagnóstico, ejecución y validación de la orden #65",1,tecnica-demo,En ejecución,2026-07-30T19:00:00Z,Punto de control técnico documentado.,
tarea-orden-066,orden-trabajo-066,1,"Diagnóstico, ejecución y validación de la orden #66",1,tecnica-demo,Completada,2026-07-30T18:00:00Z,Punto de control técnico documentado.,2026-07-30T18:55:00Z
tarea-orden-067,orden-trabajo-067,1,"Diagnóstico, ejecución y validación de la orden #67",1,tecnica-demo,No aplica,2026-07-30T17:00:00Z,Punto de control técnico documentado.,
tarea-orden-068,orden-trabajo-068,1,"Diagnóstico, ejecución y validación de la orden #68",1,tecnica-demo,Pendiente,2026-07-30T16:00:00Z,Punto de control técnico documentado.,
tarea-orden-069,orden-trabajo-069,1,"Diagnóstico, ejecución y validación de la orden #69",1,tecnica-demo,En ejecución,2026-07-30T15:00:00Z,Punto de control técnico documentado.,
tarea-orden-070,orden-trabajo-070,1,"Diagnóstico, ejecución y validación de la orden #70",1,tecnica-demo,Completada,2026-07-30T14:00:00Z,Punto de control técnico documentado.,2026-07-30T14:55:00Z
tarea-orden-071,orden-trabajo-071,1,"Diagnóstico, ejecución y validación de la orden #71",1,tecnica-demo,No aplica,2026-07-30T13:00:00Z,Punto de control técnico documentado.,
tarea-orden-072,orden-trabajo-072,1,"Diagnóstico, ejecución y validación de la orden #72",1,tecnica-demo,Pendiente,2026-07-30T12:00:00Z,Punto de control técnico documentado.,
tarea-orden-073,orden-trabajo-073,1,"Diagnóstico, ejecución y validación de la orden #73",1,tecnica-demo,En ejecución,2026-07-30T11:00:00Z,Punto de control técnico documentado.,
tarea-orden-074,orden-trabajo-074,1,"Diagnóstico, ejecución y validación de la orden #74",1,tecnica-demo,Completada,2026-07-30T10:00:00Z,Punto de control técnico documentado.,2026-07-30T10:55:00Z
tarea-orden-075,orden-trabajo-075,1,"Diagnóstico, ejecución y validación de la orden #75",1,tecnica-demo,No aplica,2026-07-30T09:00:00Z,Punto de control técnico documentado.,
tarea-orden-076,orden-trabajo-076,1,"Diagnóstico, ejecución y validación de la orden #76",1,tecnica-demo,Pendiente,2026-07-30T08:00:00Z,Punto de control técnico documentado.,
tarea-orden-077,orden-trabajo-077,1,"Diagnóstico, ejecución y validación de la orden #77",1,tecnica-demo,En ejecución,2026-07-30T07:00:00Z,Punto de control técnico documentado.,
tarea-orden-078,orden-trabajo-078,1,"Diagnóstico, ejecución y validación de la orden #78",1,tecnica-demo,Completada,2026-07-30T06:00:00Z,Punto de control técnico documentado.,2026-07-30T06:55:00Z
tarea-orden-079,orden-trabajo-079,1,"Diagnóstico, ejecución y validación de la orden #79",1,tecnica-demo,No aplica,2026-07-30T05:00:00Z,Punto de control técnico documentado.,
tarea-orden-080,orden-trabajo-080,1,"Diagnóstico, ejecución y validación de la orden #80",1,tecnica-demo,Pendiente,2026-07-30T04:00:00Z,Punto de control técnico documentado.,
tarea-orden-081,orden-trabajo-081,1,"Diagnóstico, ejecución y validación de la orden #81",1,tecnica-demo,En ejecución,2026-07-30T03:00:00Z,Punto de control técnico documentado.,
tarea-orden-082,orden-trabajo-082,1,"Diagnóstico, ejecución y validación de la orden #82",1,tecnica-demo,Completada,2026-07-30T02:00:00Z,Punto de control técnico documentado.,2026-07-30T02:55:00Z
tarea-orden-083,orden-trabajo-083,1,"Diagnóstico, ejecución y validación de la orden #83",1,tecnica-demo,No aplica,2026-07-30T01:00:00Z,Punto de control técnico documentado.,
tarea-orden-084,orden-trabajo-084,1,"Diagnóstico, ejecución y validación de la orden #84",1,tecnica-demo,Pendiente,2026-07-30T00:00:00Z,Punto de control técnico documentado.,
tarea-orden-085,orden-trabajo-085,1,"Diagnóstico, ejecución y validación de la orden #85",1,tecnica-demo,En ejecución,2026-07-29T23:00:00Z,Punto de control técnico documentado.,
tarea-orden-086,orden-trabajo-086,1,"Diagnóstico, ejecución y validación de la orden #86",1,tecnica-demo,Completada,2026-07-29T22:00:00Z,Punto de control técnico documentado.,2026-07-29T22:55:00Z
tarea-orden-087,orden-trabajo-087,1,"Diagnóstico, ejecución y validación de la orden #87",1,tecnica-demo,No aplica,2026-07-29T21:00:00Z,Punto de control técnico documentado.,
tarea-orden-088,orden-trabajo-088,1,"Diagnóstico, ejecución y validación de la orden #88",1,tecnica-demo,Pendiente,2026-07-29T20:00:00Z,Punto de control técnico documentado.,
tarea-orden-089,orden-trabajo-089,1,"Diagnóstico, ejecución y validación de la orden #89",1,tecnica-demo,En ejecución,2026-07-29T19:00:00Z,Punto de control técnico documentado.,
tarea-orden-090,orden-trabajo-090,1,"Diagnóstico, ejecución y validación de la orden #90",1,tecnica-demo,Completada,2026-07-29T18:00:00Z,Punto de control técnico documentado.,2026-07-29T18:55:00Z
tarea-orden-091,orden-trabajo-091,1,"Diagnóstico, ejecución y validación de la orden #91",1,tecnica-demo,No aplica,2026-07-29T17:00:00Z,Punto de control técnico documentado.,
tarea-orden-092,orden-trabajo-092,1,"Diagnóstico, ejecución y validación de la orden #92",1,tecnica-demo,Pendiente,2026-07-29T16:00:00Z,Punto de control técnico documentado.,
tarea-orden-093,orden-trabajo-093,1,"Diagnóstico, ejecución y validación de la orden #93",1,tecnica-demo,En ejecución,2026-07-29T15:00:00Z,Punto de control técnico documentado.,
tarea-orden-094,orden-trabajo-094,1,"Diagnóstico, ejecución y validación de la orden #94",1,tecnica-demo,Completada,2026-07-29T14:00:00Z,Punto de control técnico documentado.,2026-07-29T14:55:00Z
tarea-orden-095,orden-trabajo-095,1,"Diagnóstico, ejecución y validación de la orden #95",1,tecnica-demo,No aplica,2026-07-29T13:00:00Z,Punto de control técnico documentado.,
tarea-orden-096,orden-trabajo-096,1,"Diagnóstico, ejecución y validación de la orden #96",1,tecnica-demo,Pendiente,2026-07-31T12:00:00Z,Punto de control técnico documentado.,
tarea-orden-097,orden-trabajo-097,1,"Diagnóstico, ejecución y validación de la orden #97",1,tecnica-demo,En ejecución,2026-07-31T11:00:00Z,Punto de control técnico documentado.,
tarea-orden-098,orden-trabajo-098,1,"Diagnóstico, ejecución y validación de la orden #98",1,tecnica-demo,Completada,2026-07-31T10:00:00Z,Punto de control técnico documentado.,2026-07-31T10:55:00Z
tarea-orden-099,orden-trabajo-099,1,"Diagnóstico, ejecución y validación de la orden #99",1,tecnica-demo,No aplica,2026-07-31T09:00:00Z,Punto de control técnico documentado.,
tarea-orden-100,orden-trabajo-100,1,"Diagnóstico, ejecución y validación de la orden #100",1,tecnica-demo,Pendiente,2026-07-31T08:00:00Z,Punto de control técnico documentado.,
