ID,cotizacion,secuencia,tipo,descripcion,cantidad,valorUnitario,impuestoPorcentaje,total
item-cotizacion-020,cotizacion-020,1,Mano de obra,Concepto técnico detallado de la cotización #20,3,165000,19,495000
item-cotizacion-021,cotizacion-021,1,Material,Concepto técnico detallado de la cotización #21,1,168500,19,168500
item-cotizacion-022,cotizacion-022,1,Desplazamiento,Concepto técnico detallado de la cotización #22,2,172000,19,344000
item-cotizacion-023,cotizacion-023,1,Otro,Concepto técnico detallado de la cotización #23,3,175500,19,526500
item-cotizacion-024,cotizacion-024,1,Mano de obra,Concepto técnico detallado de la cotización #24,1,179000,19,179000
item-cotizacion-025,cotizacion-025,1,Material,Concepto técnico detallado de la cotización #25,2,182500,19,365000
item-cotizacion-026,cotizacion-026,1,Desplazamiento,Concepto técnico detallado de la cotización #26,3,186000,19,558000
item-cotizacion-027,cotizacion-027,1,Otro,Concepto técnico detallado de la cotización #27,1,189500,19,189500
item-cotizacion-028,cotizacion-028,1,Mano de obra,Concepto técnico detallado de la cotización #28,2,193000,19,386000
item-cotizacion-029,cotizacion-029,1,Material,Concepto técnico detallado de la cotización #29,3,196500,19,589500
item-cotizacion-030,cotizacion-030,1,Desplazamiento,Concepto técnico detallado de la cotización #30,1,200000,19,200000
item-cotizacion-031,cotizacion-031,1,Otro,Concepto técnico detallado de la cotización #31,2,203500,19,407000
item-cotizacion-032,cotizacion-032,1,Mano de obra,Concepto técnico detallado de la cotización #32,3,207000,19,621000
item-cotizacion-033,cotizacion-033,1,Material,Concepto técnico detallado de la cotización #33,1,210500,19,210500
item-cotizacion-034,cotizacion-034,1,Desplazamiento,Concepto técnico detallado de la cotización #34,2,214000,19,428000
item-cotizacion-035,cotizacion-035,1,Otro,Concepto técnico detallado de la cotización #35,3,217500,19,652500
item-cotizacion-036,cotizacion-036,1,Mano de obra,Concepto técnico detallado de la cotización #36,1,221000,19,221000
item-cotizacion-037,cotizacion-037,1,Material,Concepto técnico detallado de la cotización #37,2,224500,19,449000
item-cotizacion-038,cotizacion-038,1,Desplazamiento,Concepto técnico detallado de la cotización #38,3,228000,19,684000
item-cotizacion-039,cotizacion-039,1,Otro,Concepto técnico detallado de la cotización #39,1,231500,19,231500
item-cotizacion-040,cotizacion-040,1,Mano de obra,Concepto técnico detallado de la cotización #40,2,235000,19,470000
item-cotizacion-041,cotizacion-041,1,Material,Concepto técnico detallado de la cotización #41,3,238500,19,715500
item-cotizacion-042,cotizacion-042,1,Desplazamiento,Concepto técnico detallado de la cotización #42,1,242000,19,242000
item-cotizacion-043,cotizacion-043,1,Otro,Concepto técnico detallado de la cotización #43,2,245500,19,491000
item-cotizacion-044,cotizacion-044,1,Mano de obra,Concepto técnico detallado de la cotización #44,3,249000,19,747000
item-cotizacion-045,cotizacion-045,1,Material,Concepto técnico detallado de la cotización #45,1,252500,19,252500
item-cotizacion-046,cotizacion-046,1,Desplazamiento,Concepto técnico detallado de la cotización #46,2,256000,19,512000
item-cotizacion-047,cotizacion-047,1,Otro,Concepto técnico detallado de la cotización #47,3,259500,19,778500
item-cotizacion-048,cotizacion-048,1,Mano de obra,Concepto técnico detallado de la cotización #48,1,263000,19,263000
item-cotizacion-049,cotizacion-049,1,Material,Concepto técnico detallado de la cotización #49,2,266500,19,533000
item-cotizacion-050,cotizacion-050,1,Desplazamiento,Concepto técnico detallado de la cotización #50,3,270000,19,810000
item-cotizacion-051,cotizacion-051,1,Otro,Concepto técnico detallado de la cotización #51,1,273500,19,273500
item-cotizacion-052,cotizacion-052,1,Mano de obra,Concepto técnico detallado de la cotización #52,2,277000,19,554000
item-cotizacion-053,cotizacion-053,1,Material,Concepto técnico detallado de la cotización #53,3,280500,19,841500
item-cotizacion-054,cotizacion-054,1,Desplazamiento,Concepto técnico detallado de la cotización #54,1,284000,19,284000
item-cotizacion-055,cotizacion-055,1,Otro,Concepto técnico detallado de la cotización #55,2,287500,19,575000
item-cotizacion-056,cotizacion-056,1,Mano de obra,Concepto técnico detallado de la cotización #56,3,291000,19,873000
item-cotizacion-057,cotizacion-057,1,Material,Concepto técnico detallado de la cotización #57,1,294500,19,294500
item-cotizacion-058,cotizacion-058,1,Desplazamiento,Concepto técnico detallado de la cotización #58,2,298000,19,596000
item-cotizacion-059,cotizacion-059,1,Otro,Concepto técnico detallado de la cotización #59,3,301500,19,904500
item-cotizacion-060,cotizacion-060,1,Mano de obra,Concepto técnico detallado de la cotización #60,1,305000,19,305000
item-cotizacion-061,cotizacion-061,1,Material,Concepto técnico detallado de la cotización #61,2,308500,19,617000
item-cotizacion-062,cotizacion-062,1,Desplazamiento,Concepto técnico detallado de la cotización #62,3,312000,19,936000
item-cotizacion-063,cotizacion-063,1,Otro,Concepto técnico detallado de la cotización #63,1,315500,19,315500
item-cotizacion-064,cotizacion-064,1,Mano de obra,Concepto técnico detallado de la cotización #64,2,319000,19,638000
item-cotizacion-065,cotizacion-065,1,Material,Concepto técnico detallado de la cotización #65,3,322500,19,967500
item-cotizacion-066,cotizacion-066,1,Desplazamiento,Concepto técnico detallado de la cotización #66,1,326000,19,326000
item-cotizacion-067,cotizacion-067,1,Otro,Concepto técnico detallado de la cotización #67,2,329500,19,659000
item-cotizacion-068,cotizacion-068,1,Mano de obra,Concepto técnico detallado de la cotización #68,3,333000,19,999000
item-cotizacion-069,cotizacion-069,1,Material,Concepto técnico detallado de la cotización #69,1,336500,19,336500
item-cotizacion-070,cotizacion-070,1,Desplazamiento,Concepto técnico detallado de la cotización #70,2,340000,19,680000
item-cotizacion-071,cotizacion-071,1,Otro,Concepto técnico detallado de la cotización #71,3,343500,19,1030500
item-cotizacion-072,cotizacion-072,1,Mano de obra,Concepto técnico detallado de la cotización #72,1,347000,19,347000
item-cotizacion-073,cotizacion-073,1,Material,Concepto técnico detallado de la cotización #73,2,350500,19,701000
item-cotizacion-074,cotizacion-074,1,Desplazamiento,Concepto técnico detallado de la cotización #74,3,354000,19,1062000
item-cotizacion-075,cotizacion-075,1,Otro,Concepto técnico detallado de la cotización #75,1,357500,19,357500
item-cotizacion-076,cotizacion-076,1,Mano de obra,Concepto técnico detallado de la cotización #76,2,361000,19,722000
item-cotizacion-077,cotizacion-077,1,Material,Concepto técnico detallado de la cotización #77,3,364500,19,1093500
item-cotizacion-078,cotizacion-078,1,Desplazamiento,Concepto técnico detallado de la cotización #78,1,368000,19,368000
item-cotizacion-079,cotizacion-079,1,Otro,Concepto técnico detallado de la cotización #79,2,371500,19,743000
item-cotizacion-080,cotizacion-080,1,Mano de obra,Concepto técnico detallado de la cotización #80,3,375000,19,1125000
item-cotizacion-081,cotizacion-081,1,Material,Concepto técnico detallado de la cotización #81,1,378500,19,378500
item-cotizacion-082,cotizacion-082,1,Desplazamiento,Concepto técnico detallado de la cotización #82,2,382000,19,764000
item-cotizacion-083,cotizacion-083,1,Otro,Concepto técnico detallado de la cotización #83,3,385500,19,1156500
item-cotizacion-084,cotizacion-084,1,Mano de obra,Concepto técnico detallado de la cotización #84,1,389000,19,389000
item-cotizacion-085,cotizacion-085,1,Material,Concepto técnico detallado de la cotización #85,2,392500,19,785000
item-cotizacion-086,cotizacion-086,1,Desplazamiento,Concepto técnico detallado de la cotización #86,3,396000,19,1188000
item-cotizacion-087,cotizacion-087,1,Otro,Concepto técnico detallado de la cotización #87,1,399500,19,399500
item-cotizacion-088,cotizacion-088,1,Mano de obra,Concepto técnico detallado de la cotización #88,2,403000,19,806000
item-cotizacion-089,cotizacion-089,1,Material,Concepto técnico detallado de la cotización #89,3,406500,19,1219500
item-cotizacion-090,cotizacion-090,1,Desplazamiento,Concepto técnico detallado de la cotización #90,1,410000,19,410000
item-cotizacion-091,cotizacion-091,1,Otro,Concepto técnico detallado de la cotización #91,2,413500,19,827000
item-cotizacion-092,cotizacion-092,1,Mano de obra,Concepto técnico detallado de la cotización #92,3,417000,19,1251000
item-cotizacion-093,cotizacion-093,1,Material,Concepto técnico detallado de la cotización #93,1,420500,19,420500
item-cotizacion-094,cotizacion-094,1,Desplazamiento,Concepto técnico detallado de la cotización #94,2,424000,19,848000
item-cotizacion-095,cotizacion-095,1,Otro,Concepto técnico detallado de la cotización #95,3,427500,19,1282500
item-cotizacion-096,cotizacion-096,1,Mano de obra,Concepto técnico detallado de la cotización #96,1,431000,19,431000
item-cotizacion-097,cotizacion-097,1,Material,Concepto técnico detallado de la cotización #97,2,434500,19,869000
item-cotizacion-098,cotizacion-098,1,Desplazamiento,Concepto técnico detallado de la cotización #98,3,438000,19,1314000
item-cotizacion-099,cotizacion-099,1,Otro,Concepto técnico detallado de la cotización #99,1,441500,19,441500
item-cotizacion-100,cotizacion-100,1,Mano de obra,Concepto técnico detallado de la cotización #100,2,445000,19,890000
