ID,codigo,cliente,tipoEquipo,marca,modelo,serial,fechaInstalacion,garantiaHasta,criticidad,estado,proximoMantenimiento,ultimaIntervencion,ubicacion,ubicacionMapa,observaciones,externalID
activo-023,ACT-DEMO-023,cliente-servicio-023,Equipo industrial,Siemens,Modelo-08,SN-DEMO-000023,2026-01-23,2026-11-21,Crítica,Fuera de servicio,2026-08-23,2026-06-08,Barranquilla,"{""coordinates"":[11.0252,-74.8361]}",Activo sintético.,IOT-ACT-023
activo-024,ACT-DEMO-024,cliente-servicio-024,Aire acondicionado,Samsung,Modelo-09,SN-DEMO-000024,2026-01-20,2026-11-22,Baja,Operativo,2026-08-24,2026-06-07,Cartagena,"{""coordinates"":[10.4096,-75.5395]}",Activo sintético.,IOT-ACT-024
activo-025,ACT-DEMO-025,cliente-servicio-025,Caldera,LG,Modelo-10,SN-DEMO-000025,2026-01-17,2026-11-23,Media,Requiere mantenimiento,2026-08-25,2026-06-06,Bucaramanga,"{""coordinates"":[7.1284,-73.113]}",Activo sintético.,IOT-ACT-025
activo-026,ACT-DEMO-026,cliente-servicio-026,Panel solar,Bosch,Modelo-11,SN-DEMO-000026,2026-01-14,2026-11-24,Alta,Fuera de servicio,2026-08-26,2026-06-05,Pereira,"{""coordinates"":[4.812,-75.687]}",Activo sintético.,IOT-ACT-026
activo-027,ACT-DEMO-027,cliente-servicio-027,Equipo industrial,Siemens,Modelo-12,SN-DEMO-000027,2026-01-11,2026-11-25,Crítica,Operativo,2026-08-27,2026-06-04,Manizales,"{""coordinates"":[5.065,-75.498]}",Activo sintético.,IOT-ACT-027
activo-028,ACT-DEMO-028,cliente-servicio-028,Aire acondicionado,Samsung,Modelo-13,SN-DEMO-000028,2026-01-08,2026-11-26,Baja,Requiere mantenimiento,2026-08-28,2026-06-03,Ibagué,"{""coordinates"":[4.4509,-75.2442]}",Activo sintético.,IOT-ACT-028
activo-029,ACT-DEMO-029,cliente-servicio-029,Caldera,LG,Modelo-14,SN-DEMO-000029,2026-01-05,2026-11-27,Media,Fuera de servicio,2026-08-29,2026-06-02,Villavicencio,"{""coordinates"":[4.157,-73.6416]}",Activo sintético.,IOT-ACT-029
activo-030,ACT-DEMO-030,cliente-servicio-030,Panel solar,Bosch,Modelo-00,SN-DEMO-000030,2026-01-02,2026-11-28,Alta,Operativo,2026-08-30,2026-06-01,Bogotá,"{""coordinates"":[4.6486,-74.0637]}",Activo sintético.,IOT-ACT-030
activo-031,ACT-DEMO-031,cliente-servicio-031,Equipo industrial,Siemens,Modelo-01,SN-DEMO-000031,2025-12-30,2026-11-29,Crítica,Requiere mantenimiento,2026-08-31,2026-05-31,Medellín,"{""coordinates"":[6.2118,-75.5709]}",Activo sintético.,IOT-ACT-031
activo-032,ACT-DEMO-032,cliente-servicio-032,Aire acondicionado,Samsung,Modelo-02,SN-DEMO-000032,2025-12-27,2026-11-30,Baja,Fuera de servicio,2026-09-01,2026-05-30,Cali,"{""coordinates"":[3.3757,-76.5371]}",Activo sintético.,IOT-ACT-032
activo-033,ACT-DEMO-033,cliente-servicio-033,Caldera,LG,Modelo-03,SN-DEMO-000033,2025-12-24,2026-12-01,Media,Operativo,2026-09-02,2026-05-29,Barranquilla,"{""coordinates"":[11.0192,-74.8301]}",Activo sintético.,IOT-ACT-033
activo-034,ACT-DEMO-034,cliente-servicio-034,Panel solar,Bosch,Modelo-04,SN-DEMO-000034,2025-12-21,2026-12-02,Alta,Requiere mantenimiento,2026-09-03,2026-05-28,Cartagena,"{""coordinates"":[10.4216,-75.5515]}",Activo sintético.,IOT-ACT-034
activo-035,ACT-DEMO-035,cliente-servicio-035,Equipo industrial,Siemens,Modelo-05,SN-DEMO-000035,2025-12-18,2026-12-03,Crítica,Fuera de servicio,2026-09-04,2026-05-27,Bucaramanga,"{""coordinates"":[7.1404,-73.125]}",Activo sintético.,IOT-ACT-035
activo-036,ACT-DEMO-036,cliente-servicio-036,Aire acondicionado,Samsung,Modelo-06,SN-DEMO-000036,2025-12-15,2026-12-04,Baja,Operativo,2026-09-05,2026-05-26,Pereira,"{""coordinates"":[4.806,-75.681]}",Activo sintético.,IOT-ACT-036
activo-037,ACT-DEMO-037,cliente-servicio-037,Caldera,LG,Modelo-07,SN-DEMO-000037,2025-12-12,2026-12-05,Media,Requiere mantenimiento,2026-09-06,2026-05-25,Manizales,"{""coordinates"":[5.059,-75.492]}",Activo sintético.,IOT-ACT-037
activo-038,ACT-DEMO-038,cliente-servicio-038,Panel solar,Bosch,Modelo-08,SN-DEMO-000038,2025-12-09,2026-12-06,Alta,Fuera de servicio,2026-09-07,2026-05-24,Ibagué,"{""coordinates"":[4.4449,-75.2382]}",Activo sintético.,IOT-ACT-038
activo-039,ACT-DEMO-039,cliente-servicio-039,Equipo industrial,Siemens,Modelo-09,SN-DEMO-000039,2025-12-06,2026-12-07,Crítica,Operativo,2026-09-08,2026-05-23,Villavicencio,"{""coordinates"":[4.151,-73.6356]}",Activo sintético.,IOT-ACT-039
activo-040,ACT-DEMO-040,cliente-servicio-040,Aire acondicionado,Samsung,Modelo-10,SN-DEMO-000040,2025-12-03,2026-12-08,Baja,Requiere mantenimiento,2026-09-09,2026-05-22,Bogotá,"{""coordinates"":[4.6606,-74.0757]}",Activo sintético.,IOT-ACT-040
activo-041,ACT-DEMO-041,cliente-servicio-041,Caldera,LG,Modelo-11,SN-DEMO-000041,2025-11-30,2026-12-09,Media,Fuera de servicio,2026-09-10,2026-05-21,Medellín,"{""coordinates"":[6.2238,-75.5829]}",Activo sintético.,IOT-ACT-041
activo-042,ACT-DEMO-042,cliente-servicio-042,Panel solar,Bosch,Modelo-12,SN-DEMO-000042,2025-11-27,2026-12-10,Alta,Operativo,2026-09-11,2026-05-20,Cali,"{""coordinates"":[3.3697,-76.5311]}",Activo sintético.,IOT-ACT-042
activo-043,ACT-DEMO-043,cliente-servicio-043,Equipo industrial,Siemens,Modelo-13,SN-DEMO-000043,2025-11-24,2026-12-11,Crítica,Requiere mantenimiento,2026-09-12,2026-05-19,Barranquilla,"{""coordinates"":[11.0132,-74.8241]}",Activo sintético.,IOT-ACT-043
activo-044,ACT-DEMO-044,cliente-servicio-044,Aire acondicionado,Samsung,Modelo-14,SN-DEMO-000044,2025-11-21,2026-12-12,Baja,Fuera de servicio,2026-09-13,2026-05-18,Cartagena,"{""coordinates"":[10.4156,-75.5455]}",Activo sintético.,IOT-ACT-044
activo-045,ACT-DEMO-045,cliente-servicio-045,Caldera,LG,Modelo-00,SN-DEMO-000045,2025-11-18,2026-12-13,Media,Operativo,2026-09-14,2026-05-17,Bucaramanga,"{""coordinates"":[7.1344,-73.119]}",Activo sintético.,IOT-ACT-045
activo-046,ACT-DEMO-046,cliente-servicio-046,Panel solar,Bosch,Modelo-01,SN-DEMO-000046,2025-11-15,2026-12-14,Alta,Requiere mantenimiento,2026-09-15,2026-05-16,Pereira,"{""coordinates"":[4.818,-75.693]}",Activo sintético.,IOT-ACT-046
activo-047,ACT-DEMO-047,cliente-servicio-047,Equipo industrial,Siemens,Modelo-02,SN-DEMO-000047,2025-11-12,2026-12-15,Crítica,Fuera de servicio,2026-09-16,2026-05-15,Manizales,"{""coordinates"":[5.071,-75.504]}",Activo sintético.,IOT-ACT-047
activo-048,ACT-DEMO-048,cliente-servicio-048,Aire acondicionado,Samsung,Modelo-03,SN-DEMO-000048,2025-11-09,2026-12-16,Baja,Operativo,2026-09-17,2026-05-14,Ibagué,"{""coordinates"":[4.4389,-75.2322]}",Activo sintético.,IOT-ACT-048
activo-049,ACT-DEMO-049,cliente-servicio-049,Caldera,LG,Modelo-04,SN-DEMO-000049,2025-11-06,2026-12-17,Media,Requiere mantenimiento,2026-09-18,2026-05-13,Villavicencio,"{""coordinates"":[4.145,-73.6296]}",Activo sintético.,IOT-ACT-049
activo-050,ACT-DEMO-050,cliente-servicio-050,Panel solar,Bosch,Modelo-05,SN-DEMO-000050,2025-11-03,2026-12-18,Alta,Fuera de servicio,2026-09-19,2026-05-12,Bogotá,"{""coordinates"":[4.6546,-74.0697]}",Activo sintético.,IOT-ACT-050
activo-051,ACT-DEMO-051,cliente-servicio-051,Equipo industrial,Siemens,Modelo-06,SN-DEMO-000051,2025-10-31,2026-12-19,Crítica,Operativo,2026-09-20,2026-05-11,Medellín,"{""coordinates"":[6.2178,-75.5769]}",Activo sintético.,IOT-ACT-051
activo-052,ACT-DEMO-052,cliente-servicio-052,Aire acondicionado,Samsung,Modelo-07,SN-DEMO-000052,2025-10-28,2026-12-20,Baja,Requiere mantenimiento,2026-09-21,2026-05-10,Cali,"{""coordinates"":[3.3817,-76.5431]}",Activo sintético.,IOT-ACT-052
activo-053,ACT-DEMO-053,cliente-servicio-053,Caldera,LG,Modelo-08,SN-DEMO-000053,2025-10-25,2026-12-21,Media,Fuera de servicio,2026-09-22,2026-05-09,Barranquilla,"{""coordinates"":[11.0252,-74.8361]}",Activo sintético.,IOT-ACT-053
activo-054,ACT-DEMO-054,cliente-servicio-054,Panel solar,Bosch,Modelo-09,SN-DEMO-000054,2025-10-22,2026-12-22,Alta,Operativo,2026-09-23,2026-05-08,Cartagena,"{""coordinates"":[10.4096,-75.5395]}",Activo sintético.,IOT-ACT-054
activo-055,ACT-DEMO-055,cliente-servicio-055,Equipo industrial,Siemens,Modelo-10,SN-DEMO-000055,2025-10-19,2026-12-23,Crítica,Requiere mantenimiento,2026-09-24,2026-05-07,Bucaramanga,"{""coordinates"":[7.1284,-73.113]}",Activo sintético.,IOT-ACT-055
activo-056,ACT-DEMO-056,cliente-servicio-056,Aire acondicionado,Samsung,Modelo-11,SN-DEMO-000056,2025-10-16,2026-12-24,Baja,Fuera de servicio,2026-09-25,2026-05-06,Pereira,"{""coordinates"":[4.812,-75.687]}",Activo sintético.,IOT-ACT-056
activo-057,ACT-DEMO-057,cliente-servicio-057,Caldera,LG,Modelo-12,SN-DEMO-000057,2025-10-13,2026-12-25,Media,Operativo,2026-09-26,2026-05-05,Manizales,"{""coordinates"":[5.065,-75.498]}",Activo sintético.,IOT-ACT-057
activo-058,ACT-DEMO-058,cliente-servicio-058,Panel solar,Bosch,Modelo-13,SN-DEMO-000058,2025-10-10,2026-12-26,Alta,Requiere mantenimiento,2026-09-27,2026-05-04,Ibagué,"{""coordinates"":[4.4509,-75.2442]}",Activo sintético.,IOT-ACT-058
activo-059,ACT-DEMO-059,cliente-servicio-059,Equipo industrial,Siemens,Modelo-14,SN-DEMO-000059,2025-10-07,2026-12-27,Crítica,Fuera de servicio,2026-09-28,2026-05-03,Villavicencio,"{""coordinates"":[4.157,-73.6416]}",Activo sintético.,IOT-ACT-059
activo-060,ACT-DEMO-060,cliente-servicio-060,Aire acondicionado,Samsung,Modelo-00,SN-DEMO-000060,2025-10-04,2026-12-28,Baja,Operativo,2026-09-29,2026-05-02,Bogotá,"{""coordinates"":[4.6486,-74.0637]}",Activo sintético.,IOT-ACT-060
activo-061,ACT-DEMO-061,cliente-servicio-061,Caldera,LG,Modelo-01,SN-DEMO-000061,2025-10-01,2026-12-29,Media,Requiere mantenimiento,2026-09-30,2026-05-01,Medellín,"{""coordinates"":[6.2118,-75.5709]}",Activo sintético.,IOT-ACT-061
activo-062,ACT-DEMO-062,cliente-servicio-062,Panel solar,Bosch,Modelo-02,SN-DEMO-000062,2025-09-28,2026-12-30,Alta,Fuera de servicio,2026-10-01,2026-04-30,Cali,"{""coordinates"":[3.3757,-76.5371]}",Activo sintético.,IOT-ACT-062
activo-063,ACT-DEMO-063,cliente-servicio-063,Equipo industrial,Siemens,Modelo-03,SN-DEMO-000063,2025-09-25,2026-12-31,Crítica,Operativo,2026-10-02,2026-04-29,Barranquilla,"{""coordinates"":[11.0192,-74.8301]}",Activo sintético.,IOT-ACT-063
activo-064,ACT-DEMO-064,cliente-servicio-064,Aire acondicionado,Samsung,Modelo-04,SN-DEMO-000064,2025-09-22,2027-01-01,Baja,Requiere mantenimiento,2026-10-03,2026-04-28,Cartagena,"{""coordinates"":[10.4216,-75.5515]}",Activo sintético.,IOT-ACT-064
activo-065,ACT-DEMO-065,cliente-servicio-065,Caldera,LG,Modelo-05,SN-DEMO-000065,2025-09-19,2027-01-02,Media,Fuera de servicio,2026-10-04,2026-04-27,Bucaramanga,"{""coordinates"":[7.1404,-73.125]}",Activo sintético.,IOT-ACT-065
activo-066,ACT-DEMO-066,cliente-servicio-066,Panel solar,Bosch,Modelo-06,SN-DEMO-000066,2025-09-16,2027-01-03,Alta,Operativo,2026-10-05,2026-04-26,Pereira,"{""coordinates"":[4.806,-75.681]}",Activo sintético.,IOT-ACT-066
activo-067,ACT-DEMO-067,cliente-servicio-067,Equipo industrial,Siemens,Modelo-07,SN-DEMO-000067,2025-09-13,2027-01-04,Crítica,Requiere mantenimiento,2026-10-06,2026-04-25,Manizales,"{""coordinates"":[5.059,-75.492]}",Activo sintético.,IOT-ACT-067
activo-068,ACT-DEMO-068,cliente-servicio-068,Aire acondicionado,Samsung,Modelo-08,SN-DEMO-000068,2025-09-10,2027-01-05,Baja,Fuera de servicio,2026-10-07,2026-04-24,Ibagué,"{""coordinates"":[4.4449,-75.2382]}",Activo sintético.,IOT-ACT-068
activo-069,ACT-DEMO-069,cliente-servicio-069,Caldera,LG,Modelo-09,SN-DEMO-000069,2025-09-07,2027-01-06,Media,Operativo,2026-10-08,2026-04-23,Villavicencio,"{""coordinates"":[4.151,-73.6356]}",Activo sintético.,IOT-ACT-069
activo-070,ACT-DEMO-070,cliente-servicio-070,Panel solar,Bosch,Modelo-10,SN-DEMO-000070,2025-09-04,2027-01-07,Alta,Requiere mantenimiento,2026-10-09,2026-04-22,Bogotá,"{""coordinates"":[4.6606,-74.0757]}",Activo sintético.,IOT-ACT-070
activo-071,ACT-DEMO-071,cliente-servicio-071,Equipo industrial,Siemens,Modelo-11,SN-DEMO-000071,2025-09-01,2027-01-08,Crítica,Fuera de servicio,2026-10-10,2026-04-21,Medellín,"{""coordinates"":[6.2238,-75.5829]}",Activo sintético.,IOT-ACT-071
activo-072,ACT-DEMO-072,cliente-servicio-072,Aire acondicionado,Samsung,Modelo-12,SN-DEMO-000072,2025-08-29,2027-01-09,Baja,Operativo,2026-10-11,2026-04-20,Cali,"{""coordinates"":[3.3697,-76.5311]}",Activo sintético.,IOT-ACT-072
activo-073,ACT-DEMO-073,cliente-servicio-073,Caldera,LG,Modelo-13,SN-DEMO-000073,2025-08-26,2027-01-10,Media,Requiere mantenimiento,2026-10-12,2026-04-19,Barranquilla,"{""coordinates"":[11.0132,-74.8241]}",Activo sintético.,IOT-ACT-073
activo-074,ACT-DEMO-074,cliente-servicio-074,Panel solar,Bosch,Modelo-14,SN-DEMO-000074,2025-08-23,2027-01-11,Alta,Fuera de servicio,2026-10-13,2026-04-18,Cartagena,"{""coordinates"":[10.4156,-75.5455]}",Activo sintético.,IOT-ACT-074
activo-075,ACT-DEMO-075,cliente-servicio-075,Equipo industrial,Siemens,Modelo-00,SN-DEMO-000075,2025-08-20,2027-01-12,Crítica,Operativo,2026-10-14,2026-04-17,Bucaramanga,"{""coordinates"":[7.1344,-73.119]}",Activo sintético.,IOT-ACT-075
activo-076,ACT-DEMO-076,cliente-servicio-076,Aire acondicionado,Samsung,Modelo-01,SN-DEMO-000076,2025-08-17,2027-01-13,Baja,Requiere mantenimiento,2026-10-15,2026-04-16,Pereira,"{""coordinates"":[4.818,-75.693]}",Activo sintético.,IOT-ACT-076
activo-077,ACT-DEMO-077,cliente-servicio-077,Caldera,LG,Modelo-02,SN-DEMO-000077,2025-08-14,2027-01-14,Media,Fuera de servicio,2026-10-16,2026-04-15,Manizales,"{""coordinates"":[5.071,-75.504]}",Activo sintético.,IOT-ACT-077
activo-078,ACT-DEMO-078,cliente-servicio-078,Panel solar,Bosch,Modelo-03,SN-DEMO-000078,2025-08-11,2027-01-15,Alta,Operativo,2026-10-17,2026-04-14,Ibagué,"{""coordinates"":[4.4389,-75.2322]}",Activo sintético.,IOT-ACT-078
activo-079,ACT-DEMO-079,cliente-servicio-079,Equipo industrial,Siemens,Modelo-04,SN-DEMO-000079,2025-08-08,2027-01-16,Crítica,Requiere mantenimiento,2026-10-18,2026-04-13,Villavicencio,"{""coordinates"":[4.145,-73.6296]}",Activo sintético.,IOT-ACT-079
activo-080,ACT-DEMO-080,cliente-servicio-080,Aire acondicionado,Samsung,Modelo-05,SN-DEMO-000080,2025-08-05,2027-01-17,Baja,Fuera de servicio,2026-10-19,2026-04-12,Bogotá,"{""coordinates"":[4.6546,-74.0697]}",Activo sintético.,IOT-ACT-080
activo-081,ACT-DEMO-081,cliente-servicio-081,Caldera,LG,Modelo-06,SN-DEMO-000081,2025-08-02,2027-01-18,Media,Operativo,2026-10-20,2026-04-11,Medellín,"{""coordinates"":[6.2178,-75.5769]}",Activo sintético.,IOT-ACT-081
activo-082,ACT-DEMO-082,cliente-servicio-082,Panel solar,Bosch,Modelo-07,SN-DEMO-000082,2025-07-30,2027-01-19,Alta,Requiere mantenimiento,2026-10-21,2026-04-10,Cali,"{""coordinates"":[3.3817,-76.5431]}",Activo sintético.,IOT-ACT-082
activo-083,ACT-DEMO-083,cliente-servicio-083,Equipo industrial,Siemens,Modelo-08,SN-DEMO-000083,2025-07-27,2027-01-20,Crítica,Fuera de servicio,2026-10-22,2026-04-09,Barranquilla,"{""coordinates"":[11.0252,-74.8361]}",Activo sintético.,IOT-ACT-083
activo-084,ACT-DEMO-084,cliente-servicio-084,Aire acondicionado,Samsung,Modelo-09,SN-DEMO-000084,2025-07-24,2027-01-21,Baja,Operativo,2026-10-23,2026-04-08,Cartagena,"{""coordinates"":[10.4096,-75.5395]}",Activo sintético.,IOT-ACT-084
activo-085,ACT-DEMO-085,cliente-servicio-085,Caldera,LG,Modelo-10,SN-DEMO-000085,2025-07-21,2027-01-22,Media,Requiere mantenimiento,2026-10-24,2026-04-07,Bucaramanga,"{""coordinates"":[7.1284,-73.113]}",Activo sintético.,IOT-ACT-085
activo-086,ACT-DEMO-086,cliente-servicio-086,Panel solar,Bosch,Modelo-11,SN-DEMO-000086,2025-07-18,2027-01-23,Alta,Fuera de servicio,2026-10-25,2026-04-06,Pereira,"{""coordinates"":[4.812,-75.687]}",Activo sintético.,IOT-ACT-086
activo-087,ACT-DEMO-087,cliente-servicio-087,Equipo industrial,Siemens,Modelo-12,SN-DEMO-000087,2025-07-15,2027-01-24,Crítica,Operativo,2026-10-26,2026-04-05,Manizales,"{""coordinates"":[5.065,-75.498]}",Activo sintético.,IOT-ACT-087
activo-088,ACT-DEMO-088,cliente-servicio-088,Aire acondicionado,Samsung,Modelo-13,SN-DEMO-000088,2025-07-12,2027-01-25,Baja,Requiere mantenimiento,2026-10-27,2026-04-04,Ibagué,"{""coordinates"":[4.4509,-75.2442]}",Activo sintético.,IOT-ACT-088
activo-089,ACT-DEMO-089,cliente-servicio-089,Caldera,LG,Modelo-14,SN-DEMO-000089,2025-07-09,2027-01-26,Media,Fuera de servicio,2026-10-28,2026-04-03,Villavicencio,"{""coordinates"":[4.157,-73.6416]}",Activo sintético.,IOT-ACT-089
activo-090,ACT-DEMO-090,cliente-servicio-090,Panel solar,Bosch,Modelo-00,SN-DEMO-000090,2025-07-06,2027-01-27,Alta,Operativo,2026-07-31,2026-04-02,Bogotá,"{""coordinates"":[4.6486,-74.0637]}",Activo sintético.,IOT-ACT-090
activo-091,ACT-DEMO-091,cliente-servicio-091,Equipo industrial,Siemens,Modelo-01,SN-DEMO-000091,2025-07-03,2027-01-28,Crítica,Requiere mantenimiento,2026-08-01,2026-04-01,Medellín,"{""coordinates"":[6.2118,-75.5709]}",Activo sintético.,IOT-ACT-091
activo-092,ACT-DEMO-092,cliente-servicio-092,Aire acondicionado,Samsung,Modelo-02,SN-DEMO-000092,2025-06-30,2027-01-29,Baja,Fuera de servicio,2026-08-02,2026-03-31,Cali,"{""coordinates"":[3.3757,-76.5371]}",Activo sintético.,IOT-ACT-092
activo-093,ACT-DEMO-093,cliente-servicio-093,Caldera,LG,Modelo-03,SN-DEMO-000093,2025-06-27,2027-01-30,Media,Operativo,2026-08-03,2026-03-30,Barranquilla,"{""coordinates"":[11.0192,-74.8301]}",Activo sintético.,IOT-ACT-093
activo-094,ACT-DEMO-094,cliente-servicio-094,Panel solar,Bosch,Modelo-04,SN-DEMO-000094,2025-06-24,2027-01-31,Alta,Requiere mantenimiento,2026-08-04,2026-03-29,Cartagena,"{""coordinates"":[10.4216,-75.5515]}",Activo sintético.,IOT-ACT-094
activo-095,ACT-DEMO-095,cliente-servicio-095,Equipo industrial,Siemens,Modelo-05,SN-DEMO-000095,2025-06-21,2027-02-01,Crítica,Fuera de servicio,2026-08-05,2026-03-28,Bucaramanga,"{""coordinates"":[7.1404,-73.125]}",Activo sintético.,IOT-ACT-095
activo-096,ACT-DEMO-096,cliente-servicio-096,Aire acondicionado,Samsung,Modelo-06,SN-DEMO-000096,2025-06-18,2027-02-02,Baja,Operativo,2026-08-06,2026-03-27,Pereira,"{""coordinates"":[4.806,-75.681]}",Activo sintético.,IOT-ACT-096
activo-097,ACT-DEMO-097,cliente-servicio-097,Caldera,LG,Modelo-07,SN-DEMO-000097,2025-06-15,2027-02-03,Media,Requiere mantenimiento,2026-08-07,2026-03-26,Manizales,"{""coordinates"":[5.059,-75.492]}",Activo sintético.,IOT-ACT-097
