ID,codigo,solicitud,cotizacion,cliente,activo,tecnico,contactoEnSitio,direccion,ubicacionTrabajo,inicio,fin,estado,diagnostico,solucion,resolucionPrimeraVisita,aceptacionCliente,valorFinal,proximoMantenimiento,externalID,inicioReal,finReal
orden-trabajo-024,OTR-DEMO-024,solicitud-servicio-024,cotizacion-024,cliente-servicio-024,activo-024,tecnica-demo,Contacto operativo 24,"Calle de servicio 24, Cartagena","{""coordinates"":[10.4176,-75.5475]}",2026-07-19T19:00:00Z,2026-07-19T21:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,2080000,2026-11-22,FSM-OT-024,,
orden-trabajo-025,OTR-DEMO-025,solicitud-servicio-025,cotizacion-025,cliente-servicio-025,activo-025,tecnica-demo,Contacto operativo 25,"Calle de servicio 25, Bucaramanga","{""coordinates"":[7.1254,-73.11]}",2026-07-20T20:00:00Z,2026-07-20T22:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2145000,2026-11-23,FSM-OT-025,,
orden-trabajo-026,OTR-DEMO-026,solicitud-servicio-026,cotizacion-026,cliente-servicio-026,activo-026,tecnica-demo,Contacto operativo 26,"Calle de servicio 26, Pereira","{""coordinates"":[4.808,-75.683]}",2026-07-21T21:00:00Z,2026-07-21T23:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2210000,2026-11-24,FSM-OT-026,2026-07-21T21:12:00Z,
orden-trabajo-027,OTR-DEMO-027,solicitud-servicio-027,cotizacion-027,cliente-servicio-027,activo-027,tecnica-demo,Contacto operativo 27,"Calle de servicio 27, Manizales","{""coordinates"":[5.06,-75.493]}",2026-07-22T22:00:00Z,2026-07-23T00:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,2275000,2026-11-25,FSM-OT-027,2026-07-22T22:12:00Z,2026-07-23T00:00:00Z
orden-trabajo-028,OTR-DEMO-028,solicitud-servicio-028,cotizacion-028,cliente-servicio-028,activo-028,tecnica-demo,Contacto operativo 28,"Calle de servicio 28, Ibagué","{""coordinates"":[4.4449,-75.2382]}",2026-07-23T23:00:00Z,2026-07-24T01:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,2340000,2026-11-26,FSM-OT-028,,
orden-trabajo-029,OTR-DEMO-029,solicitud-servicio-029,cotizacion-029,cliente-servicio-029,activo-029,tecnica-demo,Contacto operativo 29,"Calle de servicio 29, Villavicencio","{""coordinates"":[4.15,-73.6346]}",2026-07-25T00:00:00Z,2026-07-25T02:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2405000,2026-11-27,FSM-OT-029,,
orden-trabajo-030,OTR-DEMO-030,solicitud-servicio-030,cotizacion-030,cliente-servicio-030,activo-030,tecnica-demo,Contacto operativo 30,"Calle de servicio 30, Bogotá","{""coordinates"":[4.6486,-74.0637]}",2026-07-26T01:00:00Z,2026-07-26T03:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2470000,2026-11-28,FSM-OT-030,2026-07-26T01:12:00Z,
orden-trabajo-031,OTR-DEMO-031,solicitud-servicio-031,cotizacion-031,cliente-servicio-031,activo-031,tecnica-demo,Contacto operativo 31,"Calle de servicio 31, Medellín","{""coordinates"":[6.2108,-75.5699]}",2026-07-27T02:00:00Z,2026-07-27T04:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,2535000,2026-11-29,FSM-OT-031,2026-07-27T02:12:00Z,2026-07-27T04:00:00Z
orden-trabajo-032,OTR-DEMO-032,solicitud-servicio-032,cotizacion-032,cliente-servicio-032,activo-032,tecnica-demo,Contacto operativo 32,"Calle de servicio 32, Cali","{""coordinates"":[3.3737,-76.5351]}",2026-07-27T19:00:00Z,2026-07-27T21:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,2600000,2026-11-30,FSM-OT-032,,
orden-trabajo-033,OTR-DEMO-033,solicitud-servicio-033,cotizacion-033,cliente-servicio-033,activo-033,tecnica-demo,Contacto operativo 33,"Calle de servicio 33, Barranquilla","{""coordinates"":[11.0162,-74.8271]}",2026-07-28T20:00:00Z,2026-07-28T22:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2665000,2026-12-01,FSM-OT-033,,
orden-trabajo-034,OTR-DEMO-034,solicitud-servicio-034,cotizacion-034,cliente-servicio-034,activo-034,tecnica-demo,Contacto operativo 34,"Calle de servicio 34, Cartagena","{""coordinates"":[10.4176,-75.5475]}",2026-07-29T21:00:00Z,2026-07-29T23:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2730000,2026-12-02,FSM-OT-034,2026-07-29T21:12:00Z,
orden-trabajo-035,OTR-DEMO-035,solicitud-servicio-035,cotizacion-035,cliente-servicio-035,activo-035,tecnica-demo,Contacto operativo 35,"Calle de servicio 35, Bucaramanga","{""coordinates"":[7.1254,-73.11]}",2026-07-30T22:00:00Z,2026-07-31T00:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,2795000,2026-12-03,FSM-OT-035,2026-07-30T22:12:00Z,2026-07-31T00:00:00Z
orden-trabajo-036,OTR-DEMO-036,solicitud-servicio-036,cotizacion-036,cliente-servicio-036,activo-036,tecnica-demo,Contacto operativo 36,"Calle de servicio 36, Pereira","{""coordinates"":[4.808,-75.683]}",2026-07-31T23:00:00Z,2026-08-01T01:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,2860000,2026-12-04,FSM-OT-036,,
orden-trabajo-037,OTR-DEMO-037,solicitud-servicio-037,cotizacion-037,cliente-servicio-037,activo-037,tecnica-demo,Contacto operativo 37,"Calle de servicio 37, Manizales","{""coordinates"":[5.06,-75.493]}",2026-08-02T00:00:00Z,2026-08-02T02:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2925000,2026-12-05,FSM-OT-037,,
orden-trabajo-038,OTR-DEMO-038,solicitud-servicio-038,cotizacion-038,cliente-servicio-038,activo-038,tecnica-demo,Contacto operativo 38,"Calle de servicio 38, Ibagué","{""coordinates"":[4.4449,-75.2382]}",2026-08-03T01:00:00Z,2026-08-03T03:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,2990000,2026-12-06,FSM-OT-038,2026-08-03T01:12:00Z,
orden-trabajo-039,OTR-DEMO-039,solicitud-servicio-039,cotizacion-039,cliente-servicio-039,activo-039,tecnica-demo,Contacto operativo 39,"Calle de servicio 39, Villavicencio","{""coordinates"":[4.15,-73.6346]}",2026-08-04T02:00:00Z,2026-08-04T04:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,3055000,2026-12-07,FSM-OT-039,2026-08-04T02:12:00Z,2026-08-04T04:00:00Z
orden-trabajo-040,OTR-DEMO-040,solicitud-servicio-040,cotizacion-040,cliente-servicio-040,activo-040,tecnica-demo,Contacto operativo 40,"Calle de servicio 40, Bogotá","{""coordinates"":[4.6486,-74.0637]}",2026-08-04T19:00:00Z,2026-08-04T21:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,3120000,2026-12-08,FSM-OT-040,,
orden-trabajo-041,OTR-DEMO-041,solicitud-servicio-041,cotizacion-041,cliente-servicio-041,activo-041,tecnica-demo,Contacto operativo 41,"Calle de servicio 41, Medellín","{""coordinates"":[6.2108,-75.5699]}",2026-08-05T20:00:00Z,2026-08-05T22:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,3185000,2026-12-09,FSM-OT-041,,
orden-trabajo-042,OTR-DEMO-042,solicitud-servicio-042,cotizacion-042,cliente-servicio-042,activo-042,tecnica-demo,Contacto operativo 42,"Calle de servicio 42, Cali","{""coordinates"":[3.3737,-76.5351]}",2026-08-06T21:00:00Z,2026-08-06T23:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,3250000,2026-12-10,FSM-OT-042,2026-08-06T21:12:00Z,
orden-trabajo-043,OTR-DEMO-043,solicitud-servicio-043,cotizacion-043,cliente-servicio-043,activo-043,tecnica-demo,Contacto operativo 43,"Calle de servicio 43, Barranquilla","{""coordinates"":[11.0162,-74.8271]}",2026-08-07T22:00:00Z,2026-08-08T00:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,3315000,2026-12-11,FSM-OT-043,2026-08-07T22:12:00Z,2026-08-08T00:00:00Z
orden-trabajo-044,OTR-DEMO-044,solicitud-servicio-044,cotizacion-044,cliente-servicio-044,activo-044,tecnica-demo,Contacto operativo 44,"Calle de servicio 44, Cartagena","{""coordinates"":[10.4176,-75.5475]}",2026-08-08T23:00:00Z,2026-08-09T01:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,3380000,2026-12-12,FSM-OT-044,,
orden-trabajo-045,OTR-DEMO-045,solicitud-servicio-045,cotizacion-045,cliente-servicio-045,activo-045,tecnica-demo,Contacto operativo 45,"Calle de servicio 45, Bucaramanga","{""coordinates"":[7.1254,-73.11]}",2026-08-10T00:00:00Z,2026-08-10T02:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,3445000,2026-12-13,FSM-OT-045,,
orden-trabajo-046,OTR-DEMO-046,solicitud-servicio-046,cotizacion-046,cliente-servicio-046,activo-046,tecnica-demo,Contacto operativo 46,"Calle de servicio 46, Pereira","{""coordinates"":[4.808,-75.683]}",2026-08-11T01:00:00Z,2026-08-11T03:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,3510000,2026-12-14,FSM-OT-046,2026-08-11T01:12:00Z,
orden-trabajo-047,OTR-DEMO-047,solicitud-servicio-047,cotizacion-047,cliente-servicio-047,activo-047,tecnica-demo,Contacto operativo 47,"Calle de servicio 47, Manizales","{""coordinates"":[5.06,-75.493]}",2026-08-12T02:00:00Z,2026-08-12T04:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,3575000,2026-12-15,FSM-OT-047,2026-08-12T02:12:00Z,2026-08-12T04:00:00Z
orden-trabajo-048,OTR-DEMO-048,solicitud-servicio-048,cotizacion-048,cliente-servicio-048,activo-048,tecnica-demo,Contacto operativo 48,"Calle de servicio 48, Ibagué","{""coordinates"":[4.4449,-75.2382]}",2026-07-19T19:00:00Z,2026-07-19T21:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,3640000,2026-12-16,FSM-OT-048,,
orden-trabajo-049,OTR-DEMO-049,solicitud-servicio-049,cotizacion-049,cliente-servicio-049,activo-049,tecnica-demo,Contacto operativo 49,"Calle de servicio 49, Villavicencio","{""coordinates"":[4.15,-73.6346]}",2026-07-20T20:00:00Z,2026-07-20T22:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,3705000,2026-12-17,FSM-OT-049,,
orden-trabajo-050,OTR-DEMO-050,solicitud-servicio-050,cotizacion-050,cliente-servicio-050,activo-050,tecnica-demo,Contacto operativo 50,"Calle de servicio 50, Bogotá","{""coordinates"":[4.6486,-74.0637]}",2026-07-21T21:00:00Z,2026-07-21T23:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,3770000,2026-12-18,FSM-OT-050,2026-07-21T21:12:00Z,
orden-trabajo-051,OTR-DEMO-051,solicitud-servicio-051,cotizacion-051,cliente-servicio-051,activo-051,tecnica-demo,Contacto operativo 51,"Calle de servicio 51, Medellín","{""coordinates"":[6.2108,-75.5699]}",2026-07-22T22:00:00Z,2026-07-23T00:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,3835000,2026-12-19,FSM-OT-051,2026-07-22T22:12:00Z,2026-07-23T00:00:00Z
orden-trabajo-052,OTR-DEMO-052,solicitud-servicio-052,cotizacion-052,cliente-servicio-052,activo-052,tecnica-demo,Contacto operativo 52,"Calle de servicio 52, Cali","{""coordinates"":[3.3737,-76.5351]}",2026-07-23T23:00:00Z,2026-07-24T01:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,3900000,2026-12-20,FSM-OT-052,,
orden-trabajo-053,OTR-DEMO-053,solicitud-servicio-053,cotizacion-053,cliente-servicio-053,activo-053,tecnica-demo,Contacto operativo 53,"Calle de servicio 53, Barranquilla","{""coordinates"":[11.0162,-74.8271]}",2026-07-25T00:00:00Z,2026-07-25T02:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,3965000,2026-12-21,FSM-OT-053,,
orden-trabajo-054,OTR-DEMO-054,solicitud-servicio-054,cotizacion-054,cliente-servicio-054,activo-054,tecnica-demo,Contacto operativo 54,"Calle de servicio 54, Cartagena","{""coordinates"":[10.4176,-75.5475]}",2026-07-26T01:00:00Z,2026-07-26T03:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,4030000,2026-12-22,FSM-OT-054,2026-07-26T01:12:00Z,
orden-trabajo-055,OTR-DEMO-055,solicitud-servicio-055,cotizacion-055,cliente-servicio-055,activo-055,tecnica-demo,Contacto operativo 55,"Calle de servicio 55, Bucaramanga","{""coordinates"":[7.1254,-73.11]}",2026-07-27T02:00:00Z,2026-07-27T04:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,4095000,2026-12-23,FSM-OT-055,2026-07-27T02:12:00Z,2026-07-27T04:00:00Z
orden-trabajo-056,OTR-DEMO-056,solicitud-servicio-056,cotizacion-056,cliente-servicio-056,activo-056,tecnica-demo,Contacto operativo 56,"Calle de servicio 56, Pereira","{""coordinates"":[4.808,-75.683]}",2026-07-27T19:00:00Z,2026-07-27T21:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,4160000,2026-12-24,FSM-OT-056,,
orden-trabajo-057,OTR-DEMO-057,solicitud-servicio-057,cotizacion-057,cliente-servicio-057,activo-057,tecnica-demo,Contacto operativo 57,"Calle de servicio 57, Manizales","{""coordinates"":[5.06,-75.493]}",2026-07-28T20:00:00Z,2026-07-28T22:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,4225000,2026-12-25,FSM-OT-057,,
orden-trabajo-058,OTR-DEMO-058,solicitud-servicio-058,cotizacion-058,cliente-servicio-058,activo-058,tecnica-demo,Contacto operativo 58,"Calle de servicio 58, Ibagué","{""coordinates"":[4.4449,-75.2382]}",2026-07-29T21:00:00Z,2026-07-29T23:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,4290000,2026-12-26,FSM-OT-058,2026-07-29T21:12:00Z,
orden-trabajo-059,OTR-DEMO-059,solicitud-servicio-059,cotizacion-059,cliente-servicio-059,activo-059,tecnica-demo,Contacto operativo 59,"Calle de servicio 59, Villavicencio","{""coordinates"":[4.15,-73.6346]}",2026-07-30T22:00:00Z,2026-07-31T00:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,4355000,2026-12-27,FSM-OT-059,2026-07-30T22:12:00Z,2026-07-31T00:00:00Z
orden-trabajo-060,OTR-DEMO-060,solicitud-servicio-060,cotizacion-060,cliente-servicio-060,activo-060,tecnica-demo,Contacto operativo 60,"Calle de servicio 60, Bogotá","{""coordinates"":[4.6486,-74.0637]}",2026-07-31T23:00:00Z,2026-08-01T01:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,4420000,2026-12-28,FSM-OT-060,,
orden-trabajo-061,OTR-DEMO-061,solicitud-servicio-061,cotizacion-061,cliente-servicio-061,activo-061,tecnica-demo,Contacto operativo 61,"Calle de servicio 61, Medellín","{""coordinates"":[6.2108,-75.5699]}",2026-08-02T00:00:00Z,2026-08-02T02:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,4485000,2026-12-29,FSM-OT-061,,
orden-trabajo-062,OTR-DEMO-062,solicitud-servicio-062,cotizacion-062,cliente-servicio-062,activo-062,tecnica-demo,Contacto operativo 62,"Calle de servicio 62, Cali","{""coordinates"":[3.3737,-76.5351]}",2026-08-03T01:00:00Z,2026-08-03T03:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,4550000,2026-12-30,FSM-OT-062,2026-08-03T01:12:00Z,
orden-trabajo-063,OTR-DEMO-063,solicitud-servicio-063,cotizacion-063,cliente-servicio-063,activo-063,tecnica-demo,Contacto operativo 63,"Calle de servicio 63, Barranquilla","{""coordinates"":[11.0162,-74.8271]}",2026-08-04T02:00:00Z,2026-08-04T04:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,4615000,2026-12-31,FSM-OT-063,2026-08-04T02:12:00Z,2026-08-04T04:00:00Z
orden-trabajo-064,OTR-DEMO-064,solicitud-servicio-064,cotizacion-064,cliente-servicio-064,activo-064,tecnica-demo,Contacto operativo 64,"Calle de servicio 64, Cartagena","{""coordinates"":[10.4176,-75.5475]}",2026-08-04T19:00:00Z,2026-08-04T21:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,4680000,2027-01-01,FSM-OT-064,,
orden-trabajo-065,OTR-DEMO-065,solicitud-servicio-065,cotizacion-065,cliente-servicio-065,activo-065,tecnica-demo,Contacto operativo 65,"Calle de servicio 65, Bucaramanga","{""coordinates"":[7.1254,-73.11]}",2026-08-05T20:00:00Z,2026-08-05T22:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,4745000,2027-01-02,FSM-OT-065,,
