ID,codigo,cliente,activo,contactoEnSitio,ubicacionServicio,canal,tipoServicio,prioridad,descripcion,estado,responsable,ventanaInicio,ventanaFin,requiereVisitaDiagnostico,vencimientoSLA,slaIncumplido,externalID,proveedorExterno,estadoIntegracion
solicitud-servicio-016,ST-SOL-016,cliente-servicio-016,activo-016,Contacto operativo 16,"{""coordinates"":[4.808,-75.683]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-30T20:00:00Z,2026-07-31T00:00:00Z,false,2026-07-31T10:00:00Z,false,FSM-SOL-016,Portal demo,Local
solicitud-servicio-017,ST-SOL-017,cliente-servicio-017,activo-017,Contacto operativo 17,"{""coordinates"":[5.06,-75.493]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-07-31T21:00:00Z,2026-08-01T01:00:00Z,false,2026-07-31T11:00:00Z,false,FSM-SOL-017,Portal demo,Local
solicitud-servicio-018,ST-SOL-018,cliente-servicio-018,activo-018,Contacto operativo 18,"{""coordinates"":[4.4449,-75.2382]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-01T22:00:00Z,2026-08-02T02:00:00Z,true,2026-07-31T12:00:00Z,true,FSM-SOL-018,Portal demo,Local
solicitud-servicio-019,ST-SOL-019,cliente-servicio-019,activo-019,Contacto operativo 19,"{""coordinates"":[4.15,-73.6346]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-02T23:00:00Z,2026-08-03T03:00:00Z,false,2026-07-31T13:00:00Z,false,FSM-SOL-019,Portal demo,Local
solicitud-servicio-020,ST-SOL-020,cliente-servicio-020,activo-020,Contacto operativo 20,"{""coordinates"":[4.6486,-74.0637]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-04T00:00:00Z,2026-08-04T04:00:00Z,false,2026-07-31T14:00:00Z,false,FSM-SOL-020,Portal demo,Local
solicitud-servicio-021,ST-SOL-021,cliente-servicio-021,activo-021,Contacto operativo 21,"{""coordinates"":[6.2108,-75.5699]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-08-05T01:00:00Z,2026-08-05T05:00:00Z,true,2026-07-31T15:00:00Z,false,FSM-SOL-021,Portal demo,Local
solicitud-servicio-022,ST-SOL-022,cliente-servicio-022,activo-022,Contacto operativo 22,"{""coordinates"":[3.3737,-76.5351]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-08-06T02:00:00Z,2026-08-06T06:00:00Z,false,2026-07-31T16:00:00Z,false,FSM-SOL-022,Portal demo,Local
solicitud-servicio-023,ST-SOL-023,cliente-servicio-023,activo-023,Contacto operativo 23,"{""coordinates"":[11.0162,-74.8271]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-08-07T03:00:00Z,2026-08-07T07:00:00Z,false,2026-07-31T17:00:00Z,false,FSM-SOL-023,Portal demo,Local
solicitud-servicio-024,ST-SOL-024,cliente-servicio-024,activo-024,Contacto operativo 24,"{""coordinates"":[10.4176,-75.5475]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-07T20:00:00Z,2026-08-08T00:00:00Z,true,2026-07-31T18:00:00Z,false,FSM-SOL-024,Portal demo,Local
solicitud-servicio-025,ST-SOL-025,cliente-servicio-025,activo-025,Contacto operativo 25,"{""coordinates"":[7.1254,-73.11]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-08T21:00:00Z,2026-08-09T01:00:00Z,false,2026-07-31T19:00:00Z,false,FSM-SOL-025,Portal demo,Local
solicitud-servicio-026,ST-SOL-026,cliente-servicio-026,activo-026,Contacto operativo 26,"{""coordinates"":[4.808,-75.683]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-09T22:00:00Z,2026-08-10T02:00:00Z,false,2026-07-31T20:00:00Z,false,FSM-SOL-026,Portal demo,Local
solicitud-servicio-027,ST-SOL-027,cliente-servicio-027,activo-027,Contacto operativo 27,"{""coordinates"":[5.06,-75.493]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-10T23:00:00Z,2026-08-11T03:00:00Z,true,2026-07-31T21:00:00Z,true,FSM-SOL-027,Portal demo,Local
solicitud-servicio-028,ST-SOL-028,cliente-servicio-028,activo-028,Contacto operativo 28,"{""coordinates"":[4.4449,-75.2382]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-07-29T00:00:00Z,2026-07-29T04:00:00Z,false,2026-07-31T22:00:00Z,false,FSM-SOL-028,Portal demo,Local
solicitud-servicio-029,ST-SOL-029,cliente-servicio-029,activo-029,Contacto operativo 29,"{""coordinates"":[4.15,-73.6346]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-30T01:00:00Z,2026-07-30T05:00:00Z,false,2026-07-31T23:00:00Z,false,FSM-SOL-029,Portal demo,Local
solicitud-servicio-030,ST-SOL-030,cliente-servicio-030,activo-030,Contacto operativo 30,"{""coordinates"":[4.6486,-74.0637]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-31T02:00:00Z,2026-07-31T06:00:00Z,true,2026-08-01T00:00:00Z,false,FSM-SOL-030,Portal demo,Local
solicitud-servicio-031,ST-SOL-031,cliente-servicio-031,activo-031,Contacto operativo 31,"{""coordinates"":[6.2108,-75.5699]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-01T03:00:00Z,2026-08-01T07:00:00Z,false,2026-08-01T01:00:00Z,false,FSM-SOL-031,Portal demo,Local
solicitud-servicio-032,ST-SOL-032,cliente-servicio-032,activo-032,Contacto operativo 32,"{""coordinates"":[3.3737,-76.5351]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-01T20:00:00Z,2026-08-02T00:00:00Z,false,2026-08-01T02:00:00Z,false,FSM-SOL-032,Portal demo,Local
solicitud-servicio-033,ST-SOL-033,cliente-servicio-033,activo-033,Contacto operativo 33,"{""coordinates"":[11.0162,-74.8271]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-02T21:00:00Z,2026-08-03T01:00:00Z,true,2026-08-01T03:00:00Z,false,FSM-SOL-033,Portal demo,Local
solicitud-servicio-034,ST-SOL-034,cliente-servicio-034,activo-034,Contacto operativo 34,"{""coordinates"":[10.4176,-75.5475]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-03T22:00:00Z,2026-08-04T02:00:00Z,false,2026-08-01T04:00:00Z,false,FSM-SOL-034,Portal demo,Local
solicitud-servicio-035,ST-SOL-035,cliente-servicio-035,activo-035,Contacto operativo 35,"{""coordinates"":[7.1254,-73.11]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-08-04T23:00:00Z,2026-08-05T03:00:00Z,false,2026-08-01T05:00:00Z,false,FSM-SOL-035,Portal demo,Local
solicitud-servicio-036,ST-SOL-036,cliente-servicio-036,activo-036,Contacto operativo 36,"{""coordinates"":[4.808,-75.683]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-08-06T00:00:00Z,2026-08-06T04:00:00Z,true,2026-08-01T06:00:00Z,true,FSM-SOL-036,Portal demo,Local
solicitud-servicio-037,ST-SOL-037,cliente-servicio-037,activo-037,Contacto operativo 37,"{""coordinates"":[5.06,-75.493]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-08-07T01:00:00Z,2026-08-07T05:00:00Z,false,2026-08-01T07:00:00Z,false,FSM-SOL-037,Portal demo,Local
solicitud-servicio-038,ST-SOL-038,cliente-servicio-038,activo-038,Contacto operativo 38,"{""coordinates"":[4.4449,-75.2382]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-08T02:00:00Z,2026-08-08T06:00:00Z,false,2026-08-01T08:00:00Z,false,FSM-SOL-038,Portal demo,Local
solicitud-servicio-039,ST-SOL-039,cliente-servicio-039,activo-039,Contacto operativo 39,"{""coordinates"":[4.15,-73.6346]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-09T03:00:00Z,2026-08-09T07:00:00Z,true,2026-08-01T09:00:00Z,false,FSM-SOL-039,Portal demo,Local
solicitud-servicio-040,ST-SOL-040,cliente-servicio-040,activo-040,Contacto operativo 40,"{""coordinates"":[4.6486,-74.0637]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-09T20:00:00Z,2026-08-10T00:00:00Z,false,2026-08-01T10:00:00Z,false,FSM-SOL-040,Portal demo,Local
solicitud-servicio-041,ST-SOL-041,cliente-servicio-041,activo-041,Contacto operativo 41,"{""coordinates"":[6.2108,-75.5699]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-10T21:00:00Z,2026-08-11T01:00:00Z,false,2026-08-01T11:00:00Z,false,FSM-SOL-041,Portal demo,Local
solicitud-servicio-042,ST-SOL-042,cliente-servicio-042,activo-042,Contacto operativo 42,"{""coordinates"":[3.3737,-76.5351]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-07-28T22:00:00Z,2026-07-29T02:00:00Z,true,2026-08-01T12:00:00Z,false,FSM-SOL-042,Portal demo,Local
solicitud-servicio-043,ST-SOL-043,cliente-servicio-043,activo-043,Contacto operativo 43,"{""coordinates"":[11.0162,-74.8271]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-29T23:00:00Z,2026-07-30T03:00:00Z,false,2026-08-01T13:00:00Z,false,FSM-SOL-043,Portal demo,Local
solicitud-servicio-044,ST-SOL-044,cliente-servicio-044,activo-044,Contacto operativo 44,"{""coordinates"":[10.4176,-75.5475]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-31T00:00:00Z,2026-07-31T04:00:00Z,false,2026-08-01T14:00:00Z,false,FSM-SOL-044,Portal demo,Local
solicitud-servicio-045,ST-SOL-045,cliente-servicio-045,activo-045,Contacto operativo 45,"{""coordinates"":[7.1254,-73.11]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-01T01:00:00Z,2026-08-01T05:00:00Z,true,2026-08-01T15:00:00Z,true,FSM-SOL-045,Portal demo,Local
solicitud-servicio-046,ST-SOL-046,cliente-servicio-046,activo-046,Contacto operativo 46,"{""coordinates"":[4.808,-75.683]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-02T02:00:00Z,2026-08-02T06:00:00Z,false,2026-08-01T16:00:00Z,false,FSM-SOL-046,Portal demo,Local
solicitud-servicio-047,ST-SOL-047,cliente-servicio-047,activo-047,Contacto operativo 47,"{""coordinates"":[5.06,-75.493]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-03T03:00:00Z,2026-08-03T07:00:00Z,false,2026-08-01T17:00:00Z,false,FSM-SOL-047,Portal demo,Local
solicitud-servicio-048,ST-SOL-048,cliente-servicio-048,activo-048,Contacto operativo 48,"{""coordinates"":[4.4449,-75.2382]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-03T20:00:00Z,2026-08-04T00:00:00Z,true,2026-08-01T18:00:00Z,false,FSM-SOL-048,Portal demo,Local
solicitud-servicio-049,ST-SOL-049,cliente-servicio-049,activo-049,Contacto operativo 49,"{""coordinates"":[4.15,-73.6346]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-08-04T21:00:00Z,2026-08-05T01:00:00Z,false,2026-08-01T19:00:00Z,false,FSM-SOL-049,Portal demo,Local
solicitud-servicio-050,ST-SOL-050,cliente-servicio-050,activo-050,Contacto operativo 50,"{""coordinates"":[4.6486,-74.0637]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-08-05T22:00:00Z,2026-08-06T02:00:00Z,false,2026-08-01T20:00:00Z,false,FSM-SOL-050,Portal demo,Local
solicitud-servicio-051,ST-SOL-051,cliente-servicio-051,activo-051,Contacto operativo 51,"{""coordinates"":[6.2108,-75.5699]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-08-06T23:00:00Z,2026-08-07T03:00:00Z,true,2026-08-01T21:00:00Z,false,FSM-SOL-051,Portal demo,Local
solicitud-servicio-052,ST-SOL-052,cliente-servicio-052,activo-052,Contacto operativo 52,"{""coordinates"":[3.3737,-76.5351]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-08T00:00:00Z,2026-08-08T04:00:00Z,false,2026-08-01T22:00:00Z,false,FSM-SOL-052,Portal demo,Local
solicitud-servicio-053,ST-SOL-053,cliente-servicio-053,activo-053,Contacto operativo 53,"{""coordinates"":[11.0162,-74.8271]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-09T01:00:00Z,2026-08-09T05:00:00Z,false,2026-08-01T23:00:00Z,false,FSM-SOL-053,Portal demo,Local
solicitud-servicio-054,ST-SOL-054,cliente-servicio-054,activo-054,Contacto operativo 54,"{""coordinates"":[10.4176,-75.5475]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-10T02:00:00Z,2026-08-10T06:00:00Z,true,2026-08-02T00:00:00Z,true,FSM-SOL-054,Portal demo,Local
solicitud-servicio-055,ST-SOL-055,cliente-servicio-055,activo-055,Contacto operativo 55,"{""coordinates"":[7.1254,-73.11]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-11T03:00:00Z,2026-08-11T07:00:00Z,false,2026-08-02T01:00:00Z,false,FSM-SOL-055,Portal demo,Local
solicitud-servicio-056,ST-SOL-056,cliente-servicio-056,activo-056,Contacto operativo 56,"{""coordinates"":[4.808,-75.683]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-07-28T20:00:00Z,2026-07-29T00:00:00Z,false,2026-08-02T02:00:00Z,false,FSM-SOL-056,Portal demo,Local
solicitud-servicio-057,ST-SOL-057,cliente-servicio-057,activo-057,Contacto operativo 57,"{""coordinates"":[5.06,-75.493]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-29T21:00:00Z,2026-07-30T01:00:00Z,true,2026-08-02T03:00:00Z,false,FSM-SOL-057,Portal demo,Local
solicitud-servicio-058,ST-SOL-058,cliente-servicio-058,activo-058,Contacto operativo 58,"{""coordinates"":[4.4449,-75.2382]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-30T22:00:00Z,2026-07-31T02:00:00Z,false,2026-08-02T04:00:00Z,false,FSM-SOL-058,Portal demo,Local
solicitud-servicio-059,ST-SOL-059,cliente-servicio-059,activo-059,Contacto operativo 59,"{""coordinates"":[4.15,-73.6346]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-07-31T23:00:00Z,2026-08-01T03:00:00Z,false,2026-08-02T05:00:00Z,false,FSM-SOL-059,Portal demo,Local
solicitud-servicio-060,ST-SOL-060,cliente-servicio-060,activo-060,Contacto operativo 60,"{""coordinates"":[4.6486,-74.0637]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-02T00:00:00Z,2026-08-02T04:00:00Z,true,2026-08-02T06:00:00Z,false,FSM-SOL-060,Portal demo,Local
solicitud-servicio-061,ST-SOL-061,cliente-servicio-061,activo-061,Contacto operativo 61,"{""coordinates"":[6.2108,-75.5699]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-03T01:00:00Z,2026-08-03T05:00:00Z,false,2026-08-02T07:00:00Z,false,FSM-SOL-061,Portal demo,Local
solicitud-servicio-062,ST-SOL-062,cliente-servicio-062,activo-062,Contacto operativo 62,"{""coordinates"":[3.3737,-76.5351]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-04T02:00:00Z,2026-08-04T06:00:00Z,false,2026-08-02T08:00:00Z,false,FSM-SOL-062,Portal demo,Local
solicitud-servicio-063,ST-SOL-063,cliente-servicio-063,activo-063,Contacto operativo 63,"{""coordinates"":[11.0162,-74.8271]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-08-05T03:00:00Z,2026-08-05T07:00:00Z,true,2026-08-02T09:00:00Z,true,FSM-SOL-063,Portal demo,Local
solicitud-servicio-064,ST-SOL-064,cliente-servicio-064,activo-064,Contacto operativo 64,"{""coordinates"":[10.4176,-75.5475]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-08-05T20:00:00Z,2026-08-06T00:00:00Z,false,2026-08-02T10:00:00Z,false,FSM-SOL-064,Portal demo,Local
solicitud-servicio-065,ST-SOL-065,cliente-servicio-065,activo-065,Contacto operativo 65,"{""coordinates"":[7.1254,-73.11]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-08-06T21:00:00Z,2026-08-07T01:00:00Z,false,2026-08-02T11:00:00Z,false,FSM-SOL-065,Portal demo,Local
solicitud-servicio-066,ST-SOL-066,cliente-servicio-066,activo-066,Contacto operativo 66,"{""coordinates"":[4.808,-75.683]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-07T22:00:00Z,2026-08-08T02:00:00Z,true,2026-08-02T12:00:00Z,false,FSM-SOL-066,Portal demo,Local
solicitud-servicio-067,ST-SOL-067,cliente-servicio-067,activo-067,Contacto operativo 67,"{""coordinates"":[5.06,-75.493]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-08T23:00:00Z,2026-08-09T03:00:00Z,false,2026-08-02T13:00:00Z,false,FSM-SOL-067,Portal demo,Local
solicitud-servicio-068,ST-SOL-068,cliente-servicio-068,activo-068,Contacto operativo 68,"{""coordinates"":[4.4449,-75.2382]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-10T00:00:00Z,2026-08-10T04:00:00Z,false,2026-08-02T14:00:00Z,false,FSM-SOL-068,Portal demo,Local
solicitud-servicio-069,ST-SOL-069,cliente-servicio-069,activo-069,Contacto operativo 69,"{""coordinates"":[4.15,-73.6346]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-11T01:00:00Z,2026-08-11T05:00:00Z,true,2026-08-02T15:00:00Z,false,FSM-SOL-069,Portal demo,Local
solicitud-servicio-070,ST-SOL-070,cliente-servicio-070,activo-070,Contacto operativo 70,"{""coordinates"":[4.6486,-74.0637]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-07-29T02:00:00Z,2026-07-29T06:00:00Z,false,2026-08-02T16:00:00Z,false,FSM-SOL-070,Portal demo,Local
solicitud-servicio-071,ST-SOL-071,cliente-servicio-071,activo-071,Contacto operativo 71,"{""coordinates"":[6.2108,-75.5699]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-30T03:00:00Z,2026-07-30T07:00:00Z,false,2026-08-02T17:00:00Z,false,FSM-SOL-071,Portal demo,Local
solicitud-servicio-072,ST-SOL-072,cliente-servicio-072,activo-072,Contacto operativo 72,"{""coordinates"":[3.3737,-76.5351]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-30T20:00:00Z,2026-07-31T00:00:00Z,true,2026-07-30T18:00:00Z,true,FSM-SOL-072,Portal demo,Local
solicitud-servicio-073,ST-SOL-073,cliente-servicio-073,activo-073,Contacto operativo 73,"{""coordinates"":[11.0162,-74.8271]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-07-31T21:00:00Z,2026-08-01T01:00:00Z,false,2026-07-30T19:00:00Z,false,FSM-SOL-073,Portal demo,Local
solicitud-servicio-074,ST-SOL-074,cliente-servicio-074,activo-074,Contacto operativo 74,"{""coordinates"":[10.4176,-75.5475]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-01T22:00:00Z,2026-08-02T02:00:00Z,false,2026-07-30T20:00:00Z,false,FSM-SOL-074,Portal demo,Local
