ID,codigo,cliente,contrato,contacto,producto,canal,categoria,asunto,descripcion,prioridad,impacto,urgencia,nivelEscalamiento,estado,agente,primeraRespuesta,vencimientoRespuesta,vencimientoResolucion,estadoSLA,slaIncumplido,resolucionPrimerContacto,csat,externalID,proveedorExterno,estadoIntegracion,motivoEscalamiento,problemaConocido,fechaResolucion,resolucion,causaRaiz,categoriaResolucion,casoPadre
caso-011,SUP-CASO-011,cliente-soporte-011,contrato-011,Contacto sintético 11,Automatización,Teléfono,Configuración,Caso de demostración #11,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Cerrado,agente-demo,2026-07-31T05:00:00Z,2026-07-31T09:00:00Z,2026-08-01T01:00:00Z,Incumplido,true,true,2,HELPDESK-011,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-31T01:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-012,SUP-CASO-012,cliente-soporte-012,contrato-012,Contacto sintético 12,Plataforma CRM,Chat,Error,Caso de demostración #12,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Nuevo,agente-demo,2026-07-31T01:00:00Z,2026-07-31T08:00:00Z,2026-08-01T00:00:00Z,En tiempo,false,false,3,HELPDESK-012,Canal demo,Local,,problema-conocido-012,,,,,
caso-013,SUP-CASO-013,cliente-soporte-013,contrato-013,Contacto sintético 13,Mesa de ayuda,WhatsApp,Consulta,Caso de demostración #13,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Asignado,agente-demo,2026-07-31T01:00:00Z,2026-07-31T07:00:00Z,2026-07-31T23:00:00Z,En tiempo,false,true,4,HELPDESK-013,Canal demo,Local,,,,,,,
caso-014,SUP-CASO-014,cliente-soporte-014,contrato-014,Contacto sintético 14,Analítica,Portal,Integración,Caso de demostración #14,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,En progreso,agente-demo,2026-07-31T01:00:00Z,2026-07-31T06:00:00Z,2026-07-31T22:00:00Z,En riesgo,false,true,5,HELPDESK-014,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-015,SUP-CASO-015,cliente-soporte-015,contrato-015,Contacto sintético 15,Automatización,Correo,Acceso,Caso de demostración #15,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Esperando cliente,agente-demo,2026-07-31T01:00:00Z,2026-07-31T05:00:00Z,2026-07-31T21:00:00Z,Incumplido,true,false,1,HELPDESK-015,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-015,,,,,
caso-016,SUP-CASO-016,cliente-soporte-016,contrato-016,Contacto sintético 16,Plataforma CRM,Teléfono,Configuración,Caso de demostración #16,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Resuelto,agente-demo,2026-07-30T21:00:00Z,2026-07-31T04:00:00Z,2026-07-31T20:00:00Z,En tiempo,false,true,2,HELPDESK-016,Canal demo,Local,,,2026-07-30T20:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
caso-017,SUP-CASO-017,cliente-soporte-017,contrato-017,Contacto sintético 17,Mesa de ayuda,Chat,Error,Caso de demostración #17,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Cerrado,agente-demo,2026-07-30T21:00:00Z,2026-07-31T03:00:00Z,2026-07-31T19:00:00Z,En tiempo,false,true,3,HELPDESK-017,Canal demo,Local,,,2026-07-30T19:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-018,SUP-CASO-018,cliente-soporte-018,contrato-018,Contacto sintético 18,Analítica,WhatsApp,Consulta,Caso de demostración #18,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Nuevo,agente-demo,2026-07-30T21:00:00Z,2026-07-31T02:00:00Z,2026-07-31T18:00:00Z,En riesgo,false,false,4,HELPDESK-018,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-018,,,,,
caso-019,SUP-CASO-019,cliente-soporte-019,contrato-019,Contacto sintético 19,Automatización,Portal,Integración,Caso de demostración #19,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Asignado,agente-demo,2026-07-30T21:00:00Z,2026-07-31T01:00:00Z,2026-07-31T17:00:00Z,Incumplido,true,true,5,HELPDESK-019,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-020,SUP-CASO-020,cliente-soporte-020,contrato-020,Contacto sintético 20,Plataforma CRM,Correo,Acceso,Caso de demostración #20,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,En progreso,agente-demo,2026-07-30T17:00:00Z,2026-07-31T00:00:00Z,2026-07-31T16:00:00Z,En tiempo,false,true,1,HELPDESK-020,Canal demo,Local,,,,,,,caso-019
caso-021,SUP-CASO-021,cliente-soporte-021,contrato-021,Contacto sintético 21,Mesa de ayuda,Teléfono,Configuración,Caso de demostración #21,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Esperando cliente,agente-demo,2026-07-30T17:00:00Z,2026-07-30T23:00:00Z,2026-07-31T15:00:00Z,En tiempo,false,false,2,HELPDESK-021,Canal demo,Local,,problema-conocido-001,,,,,
caso-022,SUP-CASO-022,cliente-soporte-022,contrato-022,Contacto sintético 22,Analítica,Chat,Error,Caso de demostración #22,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Resuelto,agente-demo,2026-07-30T17:00:00Z,2026-07-30T22:00:00Z,2026-07-31T14:00:00Z,En riesgo,false,true,3,HELPDESK-022,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-30T14:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
caso-023,SUP-CASO-023,cliente-soporte-023,contrato-023,Contacto sintético 23,Automatización,WhatsApp,Consulta,Caso de demostración #23,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Cerrado,agente-demo,2026-07-30T17:00:00Z,2026-07-30T21:00:00Z,2026-07-31T13:00:00Z,Incumplido,true,true,4,HELPDESK-023,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-30T13:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-024,SUP-CASO-024,cliente-soporte-024,contrato-024,Contacto sintético 24,Plataforma CRM,Portal,Integración,Caso de demostración #24,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Nuevo,agente-demo,2026-07-30T13:00:00Z,2026-07-30T20:00:00Z,2026-07-31T12:00:00Z,En tiempo,false,false,5,HELPDESK-024,Canal demo,Local,,problema-conocido-004,,,,,
caso-025,SUP-CASO-025,cliente-soporte-025,contrato-025,Contacto sintético 25,Mesa de ayuda,Correo,Acceso,Caso de demostración #25,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Asignado,agente-demo,2026-07-30T13:00:00Z,2026-07-30T19:00:00Z,2026-07-31T11:00:00Z,En tiempo,false,true,1,HELPDESK-025,Canal demo,Local,,,,,,,
caso-026,SUP-CASO-026,cliente-soporte-026,contrato-026,Contacto sintético 26,Analítica,Teléfono,Configuración,Caso de demostración #26,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,En progreso,agente-demo,2026-07-30T13:00:00Z,2026-07-30T18:00:00Z,2026-07-31T10:00:00Z,En riesgo,false,true,2,HELPDESK-026,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-027,SUP-CASO-027,cliente-soporte-027,contrato-027,Contacto sintético 27,Automatización,Chat,Error,Caso de demostración #27,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Esperando cliente,agente-demo,2026-07-30T13:00:00Z,2026-07-30T17:00:00Z,2026-07-31T09:00:00Z,Incumplido,true,false,3,HELPDESK-027,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-007,,,,,
caso-028,SUP-CASO-028,cliente-soporte-028,contrato-028,Contacto sintético 28,Plataforma CRM,WhatsApp,Consulta,Caso de demostración #28,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Resuelto,agente-demo,2026-07-30T09:00:00Z,2026-07-30T16:00:00Z,2026-07-31T08:00:00Z,En tiempo,false,true,4,HELPDESK-028,Canal demo,Local,,,2026-07-30T08:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
caso-029,SUP-CASO-029,cliente-soporte-029,contrato-029,Contacto sintético 29,Mesa de ayuda,Portal,Integración,Caso de demostración #29,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Cerrado,agente-demo,2026-07-30T09:00:00Z,2026-07-30T15:00:00Z,2026-07-31T07:00:00Z,En tiempo,false,true,5,HELPDESK-029,Canal demo,Local,,,2026-07-30T07:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-030,SUP-CASO-030,cliente-soporte-030,contrato-030,Contacto sintético 30,Analítica,Correo,Acceso,Caso de demostración #30,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Nuevo,agente-demo,2026-07-30T09:00:00Z,2026-07-30T14:00:00Z,2026-07-31T06:00:00Z,En riesgo,false,false,1,HELPDESK-030,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-010,,,,,caso-029
caso-031,SUP-CASO-031,cliente-soporte-031,contrato-031,Contacto sintético 31,Automatización,Teléfono,Configuración,Caso de demostración #31,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Asignado,agente-demo,2026-07-30T09:00:00Z,2026-07-30T13:00:00Z,2026-07-31T05:00:00Z,Incumplido,true,true,2,HELPDESK-031,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-032,SUP-CASO-032,cliente-soporte-032,contrato-032,Contacto sintético 32,Plataforma CRM,Chat,Error,Caso de demostración #32,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,En progreso,agente-demo,2026-07-30T05:00:00Z,2026-07-30T12:00:00Z,2026-07-31T04:00:00Z,En tiempo,false,true,3,HELPDESK-032,Canal demo,Local,,,,,,,
caso-033,SUP-CASO-033,cliente-soporte-033,contrato-033,Contacto sintético 33,Mesa de ayuda,WhatsApp,Consulta,Caso de demostración #33,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Esperando cliente,agente-demo,2026-07-30T05:00:00Z,2026-07-30T11:00:00Z,2026-07-31T03:00:00Z,En tiempo,false,false,4,HELPDESK-033,Canal demo,Local,,problema-conocido-013,,,,,
caso-034,SUP-CASO-034,cliente-soporte-034,contrato-034,Contacto sintético 34,Analítica,Portal,Integración,Caso de demostración #34,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Resuelto,agente-demo,2026-07-30T05:00:00Z,2026-07-30T10:00:00Z,2026-07-31T02:00:00Z,En riesgo,false,true,5,HELPDESK-034,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-31T08:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
caso-035,SUP-CASO-035,cliente-soporte-035,contrato-035,Contacto sintético 35,Automatización,Correo,Acceso,Caso de demostración #35,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Cerrado,agente-demo,2026-07-30T05:00:00Z,2026-07-30T09:00:00Z,2026-07-31T01:00:00Z,Incumplido,true,true,1,HELPDESK-035,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-31T07:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-036,SUP-CASO-036,cliente-soporte-036,contrato-036,Contacto sintético 36,Plataforma CRM,Teléfono,Configuración,Caso de demostración #36,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Nuevo,agente-demo,2026-07-30T01:00:00Z,2026-07-30T08:00:00Z,2026-07-31T00:00:00Z,En tiempo,false,false,2,HELPDESK-036,Canal demo,Local,,problema-conocido-016,,,,,
caso-037,SUP-CASO-037,cliente-soporte-037,contrato-037,Contacto sintético 37,Mesa de ayuda,Chat,Error,Caso de demostración #37,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Asignado,agente-demo,2026-07-30T01:00:00Z,2026-07-30T07:00:00Z,2026-07-30T23:00:00Z,En tiempo,false,true,3,HELPDESK-037,Canal demo,Local,,,,,,,
caso-038,SUP-CASO-038,cliente-soporte-038,contrato-038,Contacto sintético 38,Analítica,WhatsApp,Consulta,Caso de demostración #38,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,En progreso,agente-demo,2026-07-30T01:00:00Z,2026-07-30T06:00:00Z,2026-07-30T22:00:00Z,En riesgo,false,true,4,HELPDESK-038,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-039,SUP-CASO-039,cliente-soporte-039,contrato-039,Contacto sintético 39,Automatización,Portal,Integración,Caso de demostración #39,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Esperando cliente,agente-demo,2026-07-30T01:00:00Z,2026-07-30T05:00:00Z,2026-07-30T21:00:00Z,Incumplido,true,false,5,HELPDESK-039,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-019,,,,,
caso-040,SUP-CASO-040,cliente-soporte-040,contrato-040,Contacto sintético 40,Plataforma CRM,Correo,Acceso,Caso de demostración #40,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Resuelto,agente-demo,2026-07-29T21:00:00Z,2026-07-30T04:00:00Z,2026-07-30T20:00:00Z,En tiempo,false,true,1,HELPDESK-040,Canal demo,Local,,,2026-07-31T02:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,caso-039
caso-041,SUP-CASO-041,cliente-soporte-041,contrato-041,Contacto sintético 41,Mesa de ayuda,Teléfono,Configuración,Caso de demostración #41,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Cerrado,agente-demo,2026-07-29T21:00:00Z,2026-07-30T03:00:00Z,2026-07-30T19:00:00Z,En tiempo,false,true,2,HELPDESK-041,Canal demo,Local,,,2026-07-31T01:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-042,SUP-CASO-042,cliente-soporte-042,contrato-042,Contacto sintético 42,Analítica,Chat,Error,Caso de demostración #42,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Nuevo,agente-demo,2026-07-29T21:00:00Z,2026-07-30T02:00:00Z,2026-07-30T18:00:00Z,En riesgo,false,false,3,HELPDESK-042,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-002,,,,,
caso-043,SUP-CASO-043,cliente-soporte-043,contrato-043,Contacto sintético 43,Automatización,WhatsApp,Consulta,Caso de demostración #43,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Asignado,agente-demo,2026-07-29T21:00:00Z,2026-07-30T01:00:00Z,2026-07-30T17:00:00Z,Incumplido,true,true,4,HELPDESK-043,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-044,SUP-CASO-044,cliente-soporte-044,contrato-044,Contacto sintético 44,Plataforma CRM,Portal,Integración,Caso de demostración #44,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,En progreso,agente-demo,2026-07-29T17:00:00Z,2026-07-30T00:00:00Z,2026-07-30T16:00:00Z,En tiempo,false,true,5,HELPDESK-044,Canal demo,Local,,,,,,,
caso-045,SUP-CASO-045,cliente-soporte-045,contrato-045,Contacto sintético 45,Mesa de ayuda,Correo,Acceso,Caso de demostración #45,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Esperando cliente,agente-demo,2026-07-29T17:00:00Z,2026-07-29T23:00:00Z,2026-07-30T15:00:00Z,En tiempo,false,false,1,HELPDESK-045,Canal demo,Local,,problema-conocido-005,,,,,
caso-046,SUP-CASO-046,cliente-soporte-046,contrato-046,Contacto sintético 46,Analítica,Teléfono,Configuración,Caso de demostración #46,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Resuelto,agente-demo,2026-07-29T17:00:00Z,2026-07-29T22:00:00Z,2026-07-30T14:00:00Z,En riesgo,false,true,2,HELPDESK-046,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-30T20:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
caso-047,SUP-CASO-047,cliente-soporte-047,contrato-047,Contacto sintético 47,Automatización,Chat,Error,Caso de demostración #47,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Cerrado,agente-demo,2026-07-29T17:00:00Z,2026-07-29T21:00:00Z,2026-07-30T13:00:00Z,Incumplido,true,true,3,HELPDESK-047,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-30T19:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-048,SUP-CASO-048,cliente-soporte-048,contrato-048,Contacto sintético 48,Plataforma CRM,WhatsApp,Consulta,Caso de demostración #48,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Nuevo,agente-demo,2026-07-29T13:00:00Z,2026-07-29T20:00:00Z,2026-07-30T12:00:00Z,En tiempo,false,false,4,HELPDESK-048,Canal demo,Local,,problema-conocido-008,,,,,
caso-049,SUP-CASO-049,cliente-soporte-049,contrato-049,Contacto sintético 49,Mesa de ayuda,Portal,Integración,Caso de demostración #49,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Asignado,agente-demo,2026-07-29T13:00:00Z,2026-07-29T19:00:00Z,2026-07-30T11:00:00Z,En tiempo,false,true,5,HELPDESK-049,Canal demo,Local,,,,,,,
caso-050,SUP-CASO-050,cliente-soporte-050,contrato-050,Contacto sintético 50,Analítica,Correo,Acceso,Caso de demostración #50,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,En progreso,agente-demo,2026-07-29T13:00:00Z,2026-07-29T18:00:00Z,2026-07-30T10:00:00Z,En riesgo,false,true,1,HELPDESK-050,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,caso-049
caso-051,SUP-CASO-051,cliente-soporte-051,contrato-051,Contacto sintético 51,Automatización,Teléfono,Configuración,Caso de demostración #51,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Esperando cliente,agente-demo,2026-07-29T13:00:00Z,2026-07-29T17:00:00Z,2026-07-30T09:00:00Z,Incumplido,true,false,2,HELPDESK-051,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-011,,,,,
caso-052,SUP-CASO-052,cliente-soporte-052,contrato-052,Contacto sintético 52,Plataforma CRM,Chat,Error,Caso de demostración #52,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Resuelto,agente-demo,2026-07-29T09:00:00Z,2026-07-29T16:00:00Z,2026-07-30T08:00:00Z,En tiempo,false,true,3,HELPDESK-052,Canal demo,Local,,,2026-07-30T14:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
caso-053,SUP-CASO-053,cliente-soporte-053,contrato-053,Contacto sintético 53,Mesa de ayuda,WhatsApp,Consulta,Caso de demostración #53,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Cerrado,agente-demo,2026-07-29T09:00:00Z,2026-07-29T15:00:00Z,2026-07-30T07:00:00Z,En tiempo,false,true,4,HELPDESK-053,Canal demo,Local,,,2026-07-30T13:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-054,SUP-CASO-054,cliente-soporte-054,contrato-054,Contacto sintético 54,Analítica,Portal,Integración,Caso de demostración #54,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Nuevo,agente-demo,2026-07-29T09:00:00Z,2026-07-29T14:00:00Z,2026-07-30T06:00:00Z,En riesgo,false,false,5,HELPDESK-054,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-014,,,,,
caso-055,SUP-CASO-055,cliente-soporte-055,contrato-055,Contacto sintético 55,Automatización,Correo,Acceso,Caso de demostración #55,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Asignado,agente-demo,2026-07-29T09:00:00Z,2026-07-29T13:00:00Z,2026-07-30T05:00:00Z,Incumplido,true,true,1,HELPDESK-055,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-056,SUP-CASO-056,cliente-soporte-056,contrato-056,Contacto sintético 56,Plataforma CRM,Teléfono,Configuración,Caso de demostración #56,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,En progreso,agente-demo,2026-07-29T05:00:00Z,2026-07-29T12:00:00Z,2026-07-30T04:00:00Z,En tiempo,false,true,2,HELPDESK-056,Canal demo,Local,,,,,,,
caso-057,SUP-CASO-057,cliente-soporte-057,contrato-057,Contacto sintético 57,Mesa de ayuda,Chat,Error,Caso de demostración #57,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Esperando cliente,agente-demo,2026-07-29T05:00:00Z,2026-07-29T11:00:00Z,2026-07-30T03:00:00Z,En tiempo,false,false,3,HELPDESK-057,Canal demo,Local,,problema-conocido-017,,,,,
caso-058,SUP-CASO-058,cliente-soporte-058,contrato-058,Contacto sintético 58,Analítica,WhatsApp,Consulta,Caso de demostración #58,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Resuelto,agente-demo,2026-07-29T05:00:00Z,2026-07-29T10:00:00Z,2026-07-30T02:00:00Z,En riesgo,false,true,4,HELPDESK-058,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-30T08:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
