ID,codigo,cliente,producto,nivelSoporte,fechaInicio,fechaFin,renovacionAutomatica,valor,slaRespuestaHoras,slaResolucionHoras,estado,observaciones,externalID
contrato-061,SUP-CON-061,cliente-soporte-001,Mesa de ayuda,Estándar,2025-09-23,2026-10-30,1,24320000,8,24,Activo,Contrato sintético.,BILL-CON-061
contrato-062,SUP-CON-062,cliente-soporte-002,Analítica,Premium,2025-09-22,2026-10-31,0,24640000,2,8,Activo,Contrato sintético.,BILL-CON-062
contrato-063,SUP-CON-063,cliente-soporte-003,Automatización,Básico,2025-09-21,2026-11-01,1,24960000,24,72,Activo,Contrato sintético.,BILL-CON-063
contrato-064,SUP-CON-064,cliente-soporte-004,Plataforma CRM,Estándar,2025-09-20,2026-11-02,0,25280000,8,24,Activo,Contrato sintético.,BILL-CON-064
contrato-065,SUP-CON-065,cliente-soporte-005,Mesa de ayuda,Premium,2025-09-19,2026-11-03,1,25600000,2,8,Activo,Contrato sintético.,BILL-CON-065
contrato-066,SUP-CON-066,cliente-soporte-006,Analítica,Básico,2025-09-18,2026-11-04,0,25920000,24,72,Activo,Contrato sintético.,BILL-CON-066
contrato-067,SUP-CON-067,cliente-soporte-007,Automatización,Estándar,2025-09-17,2026-11-05,1,26240000,8,24,Activo,Contrato sintético.,BILL-CON-067
contrato-068,SUP-CON-068,cliente-soporte-008,Plataforma CRM,Premium,2025-09-16,2026-11-06,0,26560000,2,8,Activo,Contrato sintético.,BILL-CON-068
contrato-069,SUP-CON-069,cliente-soporte-009,Mesa de ayuda,Básico,2025-09-15,2026-11-07,1,26880000,24,72,Activo,Contrato sintético.,BILL-CON-069
contrato-070,SUP-CON-070,cliente-soporte-010,Analítica,Estándar,2025-09-14,2026-11-08,0,27200000,8,24,Activo,Contrato sintético.,BILL-CON-070
contrato-071,SUP-CON-071,cliente-soporte-011,Automatización,Premium,2025-09-13,2026-11-09,1,27520000,2,8,Activo,Contrato sintético.,BILL-CON-071
contrato-072,SUP-CON-072,cliente-soporte-012,Plataforma CRM,Básico,2025-09-12,2026-11-10,0,27840000,24,72,Activo,Contrato sintético.,BILL-CON-072
contrato-073,SUP-CON-073,cliente-soporte-013,Mesa de ayuda,Estándar,2025-09-11,2026-11-11,1,28160000,8,24,Activo,Contrato sintético.,BILL-CON-073
contrato-074,SUP-CON-074,cliente-soporte-014,Analítica,Premium,2025-09-10,2026-11-12,0,28480000,2,8,Activo,Contrato sintético.,BILL-CON-074
contrato-075,SUP-CON-075,cliente-soporte-015,Automatización,Básico,2025-09-09,2026-11-13,1,28800000,24,72,Activo,Contrato sintético.,BILL-CON-075
contrato-076,SUP-CON-076,cliente-soporte-016,Plataforma CRM,Estándar,2025-09-08,2026-11-14,0,29120000,8,24,Activo,Contrato sintético.,BILL-CON-076
contrato-077,SUP-CON-077,cliente-soporte-017,Mesa de ayuda,Premium,2025-09-07,2026-11-15,1,29440000,2,8,Activo,Contrato sintético.,BILL-CON-077
contrato-078,SUP-CON-078,cliente-soporte-018,Analítica,Básico,2025-09-06,2026-11-16,0,29760000,24,72,Activo,Contrato sintético.,BILL-CON-078
contrato-079,SUP-CON-079,cliente-soporte-019,Automatización,Estándar,2025-09-05,2026-11-17,1,30080000,8,24,Activo,Contrato sintético.,BILL-CON-079
contrato-080,SUP-CON-080,cliente-soporte-020,Plataforma CRM,Premium,2025-09-04,2026-11-18,0,30400000,2,8,Activo,Contrato sintético.,BILL-CON-080
