ID,codigo,titulo,producto,estado,impacto,causaRaiz,solucionTemporal,responsable,fechaDeteccion,observaciones,solucionDefinitiva,fechaResolucion
problema-conocido-011,SUP-PROB-011,Comportamiento conocido en automatizaciones,Automatización,Cerrado,Generalizado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-10T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-20T12:00:00Z
problema-conocido-012,SUP-PROB-012,Comportamiento conocido en acceso,Plataforma CRM,En investigación,Bajo,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-09T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-013,SUP-PROB-013,Comportamiento conocido en integraciones,Mesa de ayuda,Solución temporal,Moderado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-08T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-014,SUP-PROB-014,Comportamiento conocido en reportes,Analítica,Resuelto,Alto,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-07T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-17T12:00:00Z
problema-conocido-015,SUP-PROB-015,Comportamiento conocido en automatizaciones,Automatización,Cerrado,Generalizado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-06T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-16T12:00:00Z
problema-conocido-016,SUP-PROB-016,Comportamiento conocido en acceso,Plataforma CRM,En investigación,Bajo,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-05T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-017,SUP-PROB-017,Comportamiento conocido en integraciones,Mesa de ayuda,Solución temporal,Moderado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-04T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-018,SUP-PROB-018,Comportamiento conocido en reportes,Analítica,Resuelto,Alto,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-03T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-13T12:00:00Z
problema-conocido-019,SUP-PROB-019,Comportamiento conocido en automatizaciones,Automatización,Cerrado,Generalizado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-02T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-12T12:00:00Z
problema-conocido-020,SUP-PROB-020,Comportamiento conocido en acceso,Plataforma CRM,En investigación,Bajo,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-01T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
