ID,asunto,prospecto,solicitud,programa,asesor,tipo,estado,fecha,resultado,proximaAccion,observaciones
actividad-admision-022,Seguimiento de admisión #22,edu-prospecto-022,solicitud-edu-022,programa-022,asesora-demo,Correo,Completada,2026-07-09T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-023,Seguimiento de admisión #23,edu-prospecto-023,solicitud-edu-023,programa-023,asesor-demo,Nota,Cancelada,2026-07-08T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-024,Seguimiento de admisión #24,edu-prospecto-024,solicitud-edu-024,programa-024,asesora-demo,Seguimiento,Pendiente,2026-07-07T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-025,Seguimiento de admisión #25,edu-prospecto-025,solicitud-edu-025,programa-025,asesor-demo,Llamada,Completada,2026-07-31T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-026,Seguimiento de admisión #26,edu-prospecto-026,solicitud-edu-026,programa-026,asesora-demo,WhatsApp,Completada,2026-07-30T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-027,Seguimiento de admisión #27,edu-prospecto-027,solicitud-edu-027,programa-027,asesor-demo,Correo,Cancelada,2026-07-29T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-028,Seguimiento de admisión #28,edu-prospecto-028,solicitud-edu-028,programa-028,asesora-demo,Nota,Pendiente,2026-07-28T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-029,Seguimiento de admisión #29,edu-prospecto-029,solicitud-edu-029,programa-029,asesor-demo,Seguimiento,Completada,2026-07-27T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-030,Seguimiento de admisión #30,edu-prospecto-030,solicitud-edu-030,programa-030,asesora-demo,Llamada,Completada,2026-07-26T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-031,Seguimiento de admisión #31,edu-prospecto-031,solicitud-edu-031,programa-031,asesor-demo,WhatsApp,Cancelada,2026-07-25T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-032,Seguimiento de admisión #32,edu-prospecto-032,solicitud-edu-032,programa-032,asesora-demo,Correo,Pendiente,2026-07-24T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-033,Seguimiento de admisión #33,edu-prospecto-033,solicitud-edu-033,programa-033,asesor-demo,Nota,Completada,2026-07-23T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-034,Seguimiento de admisión #34,edu-prospecto-034,solicitud-edu-034,programa-034,asesora-demo,Seguimiento,Completada,2026-07-22T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-035,Seguimiento de admisión #35,edu-prospecto-035,solicitud-edu-035,programa-035,asesor-demo,Llamada,Cancelada,2026-07-21T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-036,Seguimiento de admisión #36,edu-prospecto-036,solicitud-edu-036,programa-036,asesora-demo,WhatsApp,Pendiente,2026-07-20T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-037,Seguimiento de admisión #37,edu-prospecto-037,solicitud-edu-037,programa-037,asesor-demo,Correo,Completada,2026-07-19T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-038,Seguimiento de admisión #38,edu-prospecto-038,solicitud-edu-038,programa-038,asesora-demo,Nota,Completada,2026-07-18T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-039,Seguimiento de admisión #39,edu-prospecto-039,solicitud-edu-039,programa-039,asesor-demo,Seguimiento,Cancelada,2026-07-17T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-040,Seguimiento de admisión #40,edu-prospecto-040,solicitud-edu-040,programa-040,asesora-demo,Llamada,Pendiente,2026-07-16T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-041,Seguimiento de admisión #41,edu-prospecto-041,solicitud-edu-041,programa-041,asesor-demo,WhatsApp,Completada,2026-07-15T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-042,Seguimiento de admisión #42,edu-prospecto-042,solicitud-edu-042,programa-042,asesora-demo,Correo,Completada,2026-07-14T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-043,Seguimiento de admisión #43,edu-prospecto-043,solicitud-edu-043,programa-043,asesor-demo,Nota,Cancelada,2026-07-13T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-044,Seguimiento de admisión #44,edu-prospecto-044,solicitud-edu-044,programa-044,asesora-demo,Seguimiento,Pendiente,2026-07-12T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-045,Seguimiento de admisión #45,edu-prospecto-045,solicitud-edu-045,programa-045,asesor-demo,Llamada,Completada,2026-07-11T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-046,Seguimiento de admisión #46,edu-prospecto-046,solicitud-edu-046,programa-046,asesora-demo,WhatsApp,Completada,2026-07-10T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-047,Seguimiento de admisión #47,edu-prospecto-047,solicitud-edu-047,programa-047,asesor-demo,Correo,Cancelada,2026-07-09T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-048,Seguimiento de admisión #48,edu-prospecto-048,solicitud-edu-048,programa-048,asesora-demo,Nota,Pendiente,2026-07-08T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-049,Seguimiento de admisión #49,edu-prospecto-049,solicitud-edu-049,programa-049,asesor-demo,Seguimiento,Completada,2026-07-07T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-050,Seguimiento de admisión #50,edu-prospecto-050,solicitud-edu-050,programa-050,asesora-demo,Llamada,Completada,2026-07-31T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-051,Seguimiento de admisión #51,edu-prospecto-051,solicitud-edu-051,programa-051,asesor-demo,WhatsApp,Cancelada,2026-07-30T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-052,Seguimiento de admisión #52,edu-prospecto-052,solicitud-edu-052,programa-052,asesora-demo,Correo,Pendiente,2026-07-29T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-053,Seguimiento de admisión #53,edu-prospecto-053,solicitud-edu-053,programa-053,asesor-demo,Nota,Completada,2026-07-28T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-054,Seguimiento de admisión #54,edu-prospecto-054,solicitud-edu-054,programa-054,asesora-demo,Seguimiento,Completada,2026-07-27T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-055,Seguimiento de admisión #55,edu-prospecto-055,solicitud-edu-055,programa-055,asesor-demo,Llamada,Cancelada,2026-07-26T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-056,Seguimiento de admisión #56,edu-prospecto-056,solicitud-edu-056,programa-056,asesora-demo,WhatsApp,Pendiente,2026-07-25T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-057,Seguimiento de admisión #57,edu-prospecto-057,solicitud-edu-057,programa-057,asesor-demo,Correo,Completada,2026-07-24T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-058,Seguimiento de admisión #58,edu-prospecto-058,solicitud-edu-058,programa-058,asesora-demo,Nota,Completada,2026-07-23T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-059,Seguimiento de admisión #59,edu-prospecto-059,solicitud-edu-059,programa-059,asesor-demo,Seguimiento,Cancelada,2026-07-22T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-060,Seguimiento de admisión #60,edu-prospecto-060,solicitud-edu-060,programa-060,asesora-demo,Llamada,Pendiente,2026-07-21T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-061,Seguimiento de admisión #61,edu-prospecto-061,solicitud-edu-061,programa-061,asesor-demo,WhatsApp,Completada,2026-07-20T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-062,Seguimiento de admisión #62,edu-prospecto-062,solicitud-edu-062,programa-062,asesora-demo,Correo,Completada,2026-07-19T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-063,Seguimiento de admisión #63,edu-prospecto-063,solicitud-edu-063,programa-063,asesor-demo,Nota,Cancelada,2026-07-18T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-064,Seguimiento de admisión #64,edu-prospecto-064,solicitud-edu-064,programa-064,asesora-demo,Seguimiento,Pendiente,2026-07-17T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-065,Seguimiento de admisión #65,edu-prospecto-065,solicitud-edu-065,programa-065,asesor-demo,Llamada,Completada,2026-07-16T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-066,Seguimiento de admisión #66,edu-prospecto-066,solicitud-edu-066,programa-066,asesora-demo,WhatsApp,Completada,2026-07-15T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-067,Seguimiento de admisión #67,edu-prospecto-067,solicitud-edu-067,programa-067,asesor-demo,Correo,Cancelada,2026-07-14T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-068,Seguimiento de admisión #68,edu-prospecto-068,solicitud-edu-068,programa-068,asesora-demo,Nota,Pendiente,2026-07-13T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-069,Seguimiento de admisión #69,edu-prospecto-069,solicitud-edu-069,programa-069,asesor-demo,Seguimiento,Completada,2026-07-12T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-070,Seguimiento de admisión #70,edu-prospecto-070,solicitud-edu-070,programa-070,asesora-demo,Llamada,Completada,2026-07-11T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-071,Seguimiento de admisión #71,edu-prospecto-071,solicitud-edu-071,programa-071,asesor-demo,WhatsApp,Cancelada,2026-07-10T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-072,Seguimiento de admisión #72,edu-prospecto-072,solicitud-edu-072,programa-072,asesora-demo,Correo,Pendiente,2026-07-09T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-073,Seguimiento de admisión #73,edu-prospecto-073,solicitud-edu-073,programa-073,asesor-demo,Nota,Completada,2026-07-08T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-074,Seguimiento de admisión #74,edu-prospecto-074,solicitud-edu-074,programa-074,asesora-demo,Seguimiento,Completada,2026-07-07T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-075,Seguimiento de admisión #75,edu-prospecto-075,solicitud-edu-075,programa-075,asesor-demo,Llamada,Cancelada,2026-07-31T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-076,Seguimiento de admisión #76,edu-prospecto-076,solicitud-edu-076,programa-076,asesora-demo,WhatsApp,Pendiente,2026-07-30T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-077,Seguimiento de admisión #77,edu-prospecto-077,solicitud-edu-077,programa-077,asesor-demo,Correo,Completada,2026-07-29T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-078,Seguimiento de admisión #78,edu-prospecto-078,solicitud-edu-078,programa-078,asesora-demo,Nota,Completada,2026-07-28T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-079,Seguimiento de admisión #79,edu-prospecto-079,solicitud-edu-079,programa-079,asesor-demo,Seguimiento,Cancelada,2026-07-27T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-080,Seguimiento de admisión #80,edu-prospecto-080,solicitud-edu-080,programa-080,asesora-demo,Llamada,Pendiente,2026-07-26T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-081,Seguimiento de admisión #81,edu-prospecto-081,solicitud-edu-081,programa-081,asesor-demo,WhatsApp,Completada,2026-07-25T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-082,Seguimiento de admisión #82,edu-prospecto-082,solicitud-edu-082,programa-082,asesora-demo,Correo,Completada,2026-07-24T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-083,Seguimiento de admisión #83,edu-prospecto-083,solicitud-edu-083,programa-083,asesor-demo,Nota,Cancelada,2026-07-23T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-084,Seguimiento de admisión #84,edu-prospecto-084,solicitud-edu-084,programa-084,asesora-demo,Seguimiento,Pendiente,2026-07-22T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-085,Seguimiento de admisión #85,edu-prospecto-085,solicitud-edu-085,programa-085,asesor-demo,Llamada,Completada,2026-07-21T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-086,Seguimiento de admisión #86,edu-prospecto-086,solicitud-edu-086,programa-086,asesora-demo,WhatsApp,Completada,2026-07-20T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-087,Seguimiento de admisión #87,edu-prospecto-087,solicitud-edu-087,programa-087,asesor-demo,Correo,Cancelada,2026-07-19T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-088,Seguimiento de admisión #88,edu-prospecto-088,solicitud-edu-088,programa-088,asesora-demo,Nota,Pendiente,2026-07-18T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-089,Seguimiento de admisión #89,edu-prospecto-089,solicitud-edu-089,programa-089,asesor-demo,Seguimiento,Completada,2026-07-17T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-090,Seguimiento de admisión #90,edu-prospecto-090,solicitud-edu-090,programa-090,asesora-demo,Llamada,Completada,2026-07-16T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-091,Seguimiento de admisión #91,edu-prospecto-091,solicitud-edu-091,programa-091,asesor-demo,WhatsApp,Cancelada,2026-07-15T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-092,Seguimiento de admisión #92,edu-prospecto-092,solicitud-edu-092,programa-092,asesora-demo,Correo,Pendiente,2026-07-14T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-093,Seguimiento de admisión #93,edu-prospecto-093,solicitud-edu-093,programa-093,asesor-demo,Nota,Completada,2026-07-13T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-094,Seguimiento de admisión #94,edu-prospecto-094,solicitud-edu-094,programa-094,asesora-demo,Seguimiento,Completada,2026-07-12T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-095,Seguimiento de admisión #95,edu-prospecto-095,solicitud-edu-095,programa-095,asesor-demo,Llamada,Cancelada,2026-07-11T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-096,Seguimiento de admisión #96,edu-prospecto-096,solicitud-edu-096,programa-096,asesora-demo,WhatsApp,Pendiente,2026-07-10T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-097,Seguimiento de admisión #97,edu-prospecto-097,solicitud-edu-097,programa-097,asesor-demo,Correo,Completada,2026-07-09T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-098,Seguimiento de admisión #98,edu-prospecto-098,solicitud-edu-098,programa-098,asesora-demo,Nota,Completada,2026-07-08T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-099,Seguimiento de admisión #99,edu-prospecto-099,solicitud-edu-099,programa-099,asesor-demo,Seguimiento,Cancelada,2026-07-07T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-100,Seguimiento de admisión #100,edu-prospecto-100,solicitud-edu-100,programa-100,asesora-demo,Llamada,Pendiente,2026-07-31T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
