ID,solicitud,requisito,obligatorio,estado,fechaRecepcion,revisor,observaciones,fechaValidacion,motivoRechazo
requisito-087,solicitud-edu-087,Documento de identidad y autorización · Solicitud 087,1,Validado,2026-07-04T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,2026-07-24T12:00:00Z,
requisito-088,solicitud-edu-088,Documento de identidad y autorización · Solicitud 088,1,Rechazado,2026-07-03T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,El documento no es legible.
requisito-089,solicitud-edu-089,Documento de identidad y autorización · Solicitud 089,1,No aplica,2026-07-02T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
requisito-090,solicitud-edu-090,Documento de identidad y autorización · Solicitud 090,1,Pendiente,,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
requisito-091,solicitud-edu-091,Documento de identidad y autorización · Solicitud 091,1,Recibido,2026-07-30T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
requisito-092,solicitud-edu-092,Documento de identidad y autorización · Solicitud 092,1,Validado,2026-07-29T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,2026-07-19T12:00:00Z,
requisito-093,solicitud-edu-093,Documento de identidad y autorización · Solicitud 093,1,Rechazado,2026-07-28T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,El documento no es legible.
requisito-094,solicitud-edu-094,Documento de identidad y autorización · Solicitud 094,1,No aplica,2026-07-27T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
requisito-095,solicitud-edu-095,Documento de identidad y autorización · Solicitud 095,1,Pendiente,,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
requisito-096,solicitud-edu-096,Documento de identidad y autorización · Solicitud 096,1,Recibido,2026-07-25T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
requisito-097,solicitud-edu-097,Documento de identidad y autorización · Solicitud 097,1,Validado,2026-07-24T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,2026-07-14T12:00:00Z,
requisito-098,solicitud-edu-098,Documento de identidad y autorización · Solicitud 098,1,Rechazado,2026-07-23T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,El documento no es legible.
requisito-099,solicitud-edu-099,Documento de identidad y autorización · Solicitud 099,1,No aplica,2026-07-22T12:00:00Z,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
requisito-100,solicitud-edu-100,Documento de identidad y autorización · Solicitud 100,1,Pendiente,,supervisora-demo,Requisito sintético relacionado con la solicitud.,,
