ID,codigo,nombre,objetivo,producto,guion,prioridad,fechaInicio,fechaFin,horaInicio,horaFin,metaContactos,metaVentas,maximoIntentos,estado,externalID
campana-022,CALL-CAMP-022,Recuperación - segmento 022,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-19,2026-09-06,08:00,18:00,124,37,5,Pausada,DIALER-CAMP-022
campana-023,CALL-CAMP-023,Renovación - segmento 023,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-18,2026-09-07,08:00,18:00,126,38,5,Finalizada,DIALER-CAMP-023
campana-024,CALL-CAMP-024,Venta cruzada - segmento 024,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-17,2026-09-08,08:00,18:00,128,39,5,Borrador,DIALER-CAMP-024
campana-025,CALL-CAMP-025,Prospectos digitales - segmento 025,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-16,2026-09-09,08:00,18:00,130,40,5,Activa,DIALER-CAMP-025
campana-026,CALL-CAMP-026,Recuperación - segmento 026,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-15,2026-09-10,08:00,18:00,132,41,5,Pausada,DIALER-CAMP-026
campana-027,CALL-CAMP-027,Renovación - segmento 027,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-14,2026-09-11,08:00,18:00,134,42,5,Finalizada,DIALER-CAMP-027
campana-028,CALL-CAMP-028,Venta cruzada - segmento 028,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-13,2026-09-12,08:00,18:00,136,43,5,Borrador,DIALER-CAMP-028
campana-029,CALL-CAMP-029,Prospectos digitales - segmento 029,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-12,2026-09-13,08:00,18:00,138,44,5,Activa,DIALER-CAMP-029
campana-030,CALL-CAMP-030,Recuperación - segmento 030,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-11,2026-09-14,08:00,18:00,140,15,5,Pausada,DIALER-CAMP-030
campana-031,CALL-CAMP-031,Renovación - segmento 031,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-10,2026-09-15,08:00,18:00,142,16,5,Finalizada,DIALER-CAMP-031
campana-032,CALL-CAMP-032,Venta cruzada - segmento 032,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-09,2026-09-16,08:00,18:00,144,17,5,Borrador,DIALER-CAMP-032
campana-033,CALL-CAMP-033,Prospectos digitales - segmento 033,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-08,2026-09-17,08:00,18:00,146,18,5,Activa,DIALER-CAMP-033
campana-034,CALL-CAMP-034,Recuperación - segmento 034,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-07,2026-09-18,08:00,18:00,148,19,5,Pausada,DIALER-CAMP-034
campana-035,CALL-CAMP-035,Renovación - segmento 035,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-06,2026-09-19,08:00,18:00,150,20,5,Finalizada,DIALER-CAMP-035
campana-036,CALL-CAMP-036,Venta cruzada - segmento 036,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-05,2026-09-20,08:00,18:00,152,21,5,Borrador,DIALER-CAMP-036
campana-037,CALL-CAMP-037,Prospectos digitales - segmento 037,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-04,2026-09-21,08:00,18:00,154,22,5,Activa,DIALER-CAMP-037
campana-038,CALL-CAMP-038,Recuperación - segmento 038,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-03,2026-09-22,08:00,18:00,156,23,5,Pausada,DIALER-CAMP-038
campana-039,CALL-CAMP-039,Renovación - segmento 039,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-02,2026-09-23,08:00,18:00,158,24,5,Finalizada,DIALER-CAMP-039
campana-040,CALL-CAMP-040,Venta cruzada - segmento 040,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-21,2026-09-24,08:00,18:00,160,25,5,Borrador,DIALER-CAMP-040
campana-041,CALL-CAMP-041,Prospectos digitales - segmento 041,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-20,2026-09-25,08:00,18:00,162,26,5,Activa,DIALER-CAMP-041
campana-042,CALL-CAMP-042,Recuperación - segmento 042,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-19,2026-09-26,08:00,18:00,164,27,5,Pausada,DIALER-CAMP-042
campana-043,CALL-CAMP-043,Renovación - segmento 043,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-18,2026-09-27,08:00,18:00,166,28,5,Finalizada,DIALER-CAMP-043
campana-044,CALL-CAMP-044,Venta cruzada - segmento 044,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-17,2026-09-28,08:00,18:00,168,29,5,Borrador,DIALER-CAMP-044
campana-045,CALL-CAMP-045,Prospectos digitales - segmento 045,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-16,2026-08-15,08:00,18:00,170,30,5,Activa,DIALER-CAMP-045
campana-046,CALL-CAMP-046,Recuperación - segmento 046,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-15,2026-08-16,08:00,18:00,172,31,5,Pausada,DIALER-CAMP-046
campana-047,CALL-CAMP-047,Renovación - segmento 047,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-14,2026-08-17,08:00,18:00,174,32,5,Finalizada,DIALER-CAMP-047
campana-048,CALL-CAMP-048,Venta cruzada - segmento 048,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-13,2026-08-18,08:00,18:00,176,33,5,Borrador,DIALER-CAMP-048
campana-049,CALL-CAMP-049,Prospectos digitales - segmento 049,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-12,2026-08-19,08:00,18:00,178,34,5,Activa,DIALER-CAMP-049
campana-050,CALL-CAMP-050,Recuperación - segmento 050,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-11,2026-08-20,08:00,18:00,180,35,5,Pausada,DIALER-CAMP-050
campana-051,CALL-CAMP-051,Renovación - segmento 051,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-10,2026-08-21,08:00,18:00,182,36,5,Finalizada,DIALER-CAMP-051
campana-052,CALL-CAMP-052,Venta cruzada - segmento 052,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-09,2026-08-22,08:00,18:00,184,37,5,Borrador,DIALER-CAMP-052
campana-053,CALL-CAMP-053,Prospectos digitales - segmento 053,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-08,2026-08-23,08:00,18:00,186,38,5,Activa,DIALER-CAMP-053
campana-054,CALL-CAMP-054,Recuperación - segmento 054,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-07,2026-08-24,08:00,18:00,188,39,5,Pausada,DIALER-CAMP-054
campana-055,CALL-CAMP-055,Renovación - segmento 055,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-06,2026-08-25,08:00,18:00,190,40,5,Finalizada,DIALER-CAMP-055
campana-056,CALL-CAMP-056,Venta cruzada - segmento 056,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-05,2026-08-26,08:00,18:00,192,41,5,Borrador,DIALER-CAMP-056
campana-057,CALL-CAMP-057,Prospectos digitales - segmento 057,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-04,2026-08-27,08:00,18:00,194,42,5,Activa,DIALER-CAMP-057
campana-058,CALL-CAMP-058,Recuperación - segmento 058,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-03,2026-08-28,08:00,18:00,196,43,5,Pausada,DIALER-CAMP-058
campana-059,CALL-CAMP-059,Renovación - segmento 059,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-02,2026-08-29,08:00,18:00,198,44,5,Finalizada,DIALER-CAMP-059
campana-060,CALL-CAMP-060,Venta cruzada - segmento 060,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-21,2026-08-30,08:00,18:00,200,15,5,Borrador,DIALER-CAMP-060
campana-061,CALL-CAMP-061,Prospectos digitales - segmento 061,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-20,2026-08-31,08:00,18:00,202,16,5,Activa,DIALER-CAMP-061
campana-062,CALL-CAMP-062,Recuperación - segmento 062,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-19,2026-09-01,08:00,18:00,204,17,5,Pausada,DIALER-CAMP-062
campana-063,CALL-CAMP-063,Renovación - segmento 063,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-18,2026-09-02,08:00,18:00,206,18,5,Finalizada,DIALER-CAMP-063
campana-064,CALL-CAMP-064,Venta cruzada - segmento 064,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-17,2026-09-03,08:00,18:00,208,19,5,Borrador,DIALER-CAMP-064
campana-065,CALL-CAMP-065,Prospectos digitales - segmento 065,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-16,2026-09-04,08:00,18:00,210,20,5,Activa,DIALER-CAMP-065
campana-066,CALL-CAMP-066,Recuperación - segmento 066,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-15,2026-09-05,08:00,18:00,212,21,5,Pausada,DIALER-CAMP-066
campana-067,CALL-CAMP-067,Renovación - segmento 067,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-14,2026-09-06,08:00,18:00,214,22,5,Finalizada,DIALER-CAMP-067
campana-068,CALL-CAMP-068,Venta cruzada - segmento 068,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-13,2026-09-07,08:00,18:00,216,23,5,Borrador,DIALER-CAMP-068
campana-069,CALL-CAMP-069,Prospectos digitales - segmento 069,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-12,2026-09-08,08:00,18:00,218,24,5,Activa,DIALER-CAMP-069
campana-070,CALL-CAMP-070,Recuperación - segmento 070,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-11,2026-09-09,08:00,18:00,220,25,5,Pausada,DIALER-CAMP-070
campana-071,CALL-CAMP-071,Renovación - segmento 071,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-10,2026-09-10,08:00,18:00,222,26,5,Finalizada,DIALER-CAMP-071
campana-072,CALL-CAMP-072,Venta cruzada - segmento 072,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-09,2026-09-11,08:00,18:00,224,27,5,Borrador,DIALER-CAMP-072
campana-073,CALL-CAMP-073,Prospectos digitales - segmento 073,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-08,2026-09-12,08:00,18:00,226,28,5,Activa,DIALER-CAMP-073
campana-074,CALL-CAMP-074,Recuperación - segmento 074,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-07,2026-09-13,08:00,18:00,228,29,5,Pausada,DIALER-CAMP-074
campana-075,CALL-CAMP-075,Renovación - segmento 075,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-06,2026-09-14,08:00,18:00,230,30,5,Finalizada,DIALER-CAMP-075
campana-076,CALL-CAMP-076,Venta cruzada - segmento 076,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-05,2026-09-15,08:00,18:00,232,31,5,Borrador,DIALER-CAMP-076
campana-077,CALL-CAMP-077,Prospectos digitales - segmento 077,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-04,2026-09-16,08:00,18:00,234,32,5,Activa,DIALER-CAMP-077
campana-078,CALL-CAMP-078,Recuperación - segmento 078,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-03,2026-09-17,08:00,18:00,236,33,5,Pausada,DIALER-CAMP-078
campana-079,CALL-CAMP-079,Renovación - segmento 079,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-02,2026-09-18,08:00,18:00,238,34,5,Finalizada,DIALER-CAMP-079
campana-080,CALL-CAMP-080,Venta cruzada - segmento 080,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-21,2026-09-19,08:00,18:00,240,35,5,Borrador,DIALER-CAMP-080
campana-081,CALL-CAMP-081,Prospectos digitales - segmento 081,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-20,2026-09-20,08:00,18:00,242,36,5,Activa,DIALER-CAMP-081
campana-082,CALL-CAMP-082,Recuperación - segmento 082,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-19,2026-09-21,08:00,18:00,244,37,5,Pausada,DIALER-CAMP-082
campana-083,CALL-CAMP-083,Renovación - segmento 083,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-18,2026-09-22,08:00,18:00,246,38,5,Finalizada,DIALER-CAMP-083
campana-084,CALL-CAMP-084,Venta cruzada - segmento 084,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-17,2026-09-23,08:00,18:00,248,39,5,Borrador,DIALER-CAMP-084
campana-085,CALL-CAMP-085,Prospectos digitales - segmento 085,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-16,2026-09-24,08:00,18:00,250,40,5,Activa,DIALER-CAMP-085
campana-086,CALL-CAMP-086,Recuperación - segmento 086,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-15,2026-09-25,08:00,18:00,252,41,5,Pausada,DIALER-CAMP-086
campana-087,CALL-CAMP-087,Renovación - segmento 087,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-14,2026-09-26,08:00,18:00,254,42,5,Finalizada,DIALER-CAMP-087
campana-088,CALL-CAMP-088,Venta cruzada - segmento 088,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-13,2026-09-27,08:00,18:00,256,43,5,Borrador,DIALER-CAMP-088
campana-089,CALL-CAMP-089,Prospectos digitales - segmento 089,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-12,2026-09-28,08:00,18:00,258,44,5,Activa,DIALER-CAMP-089
campana-090,CALL-CAMP-090,Recuperación - segmento 090,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-11,2026-08-15,08:00,18:00,260,15,5,Pausada,DIALER-CAMP-090
campana-091,CALL-CAMP-091,Renovación - segmento 091,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-10,2026-08-16,08:00,18:00,262,16,5,Finalizada,DIALER-CAMP-091
campana-092,CALL-CAMP-092,Venta cruzada - segmento 092,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-09,2026-08-17,08:00,18:00,264,17,5,Borrador,DIALER-CAMP-092
campana-093,CALL-CAMP-093,Prospectos digitales - segmento 093,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-08,2026-08-18,08:00,18:00,266,18,5,Activa,DIALER-CAMP-093
campana-094,CALL-CAMP-094,Recuperación - segmento 094,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-07,2026-08-19,08:00,18:00,268,19,5,Pausada,DIALER-CAMP-094
campana-095,CALL-CAMP-095,Renovación - segmento 095,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-06,2026-08-20,08:00,18:00,270,20,5,Finalizada,DIALER-CAMP-095
campana-096,CALL-CAMP-096,Venta cruzada - segmento 096,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-05,2026-08-21,08:00,18:00,272,21,5,Borrador,DIALER-CAMP-096
campana-097,CALL-CAMP-097,Prospectos digitales - segmento 097,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-04,2026-08-22,08:00,18:00,274,22,5,Activa,DIALER-CAMP-097
campana-098,CALL-CAMP-098,Recuperación - segmento 098,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-03,2026-08-23,08:00,18:00,276,23,5,Pausada,DIALER-CAMP-098
campana-099,CALL-CAMP-099,Renovación - segmento 099,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-02,2026-08-24,08:00,18:00,278,24,5,Finalizada,DIALER-CAMP-099
campana-100,CALL-CAMP-100,Venta cruzada - segmento 100,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-21,2026-08-25,08:00,18:00,280,25,5,Borrador,DIALER-CAMP-100
