ID,registroCampana,contacto,campana,agente,direccion,inicio,fin,duracionSegundos,disposicion,resumen,callback,externalID,proveedorExterno,grabacionURL,transcripcionURL,estadoIntegracion
llamada-031,registro-campana-031,contacto-031,campana-003,agente-demo,Saliente,2026-07-31T03:13:00Z,2026-07-31T03:14:11Z,71,Ocupado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0031,Telefonía demo,https://example.invalid/recordings/31,https://example.invalid/transcripts/31,Local
llamada-032,registro-campana-032,contacto-032,campana-004,agente-demo,Saliente,2026-07-31T02:56:00Z,2026-07-31T02:57:12Z,72,Callback,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0032,Telefonía demo,https://example.invalid/recordings/32,https://example.invalid/transcripts/32,Local
llamada-033,registro-campana-033,contacto-033,campana-001,agente-demo,Saliente,2026-07-31T02:39:00Z,2026-07-31T02:40:13Z,73,Contactado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0033,Telefonía demo,https://example.invalid/recordings/33,https://example.invalid/transcripts/33,Local
llamada-034,registro-campana-034,contacto-034,campana-002,agente-demo,Saliente,2026-07-31T02:22:00Z,2026-07-31T02:23:14Z,74,Calificado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0034,Telefonía demo,https://example.invalid/recordings/34,https://example.invalid/transcripts/34,Local
llamada-035,registro-campana-035,contacto-035,campana-003,agente-demo,Saliente,2026-07-31T02:05:00Z,2026-07-31T02:06:15Z,75,No interesado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0035,Telefonía demo,https://example.invalid/recordings/35,https://example.invalid/transcripts/35,Local
llamada-036,registro-campana-036,contacto-036,campana-004,agente-demo,Saliente,2026-07-31T01:48:00Z,2026-07-31T01:49:16Z,76,No contesta,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0036,Telefonía demo,https://example.invalid/recordings/36,https://example.invalid/transcripts/36,Local
llamada-037,registro-campana-037,contacto-037,campana-001,agente-demo,Saliente,2026-07-31T01:31:00Z,2026-07-31T01:32:17Z,77,Ocupado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0037,Telefonía demo,https://example.invalid/recordings/37,https://example.invalid/transcripts/37,Local
llamada-038,registro-campana-038,contacto-038,campana-002,agente-demo,Saliente,2026-07-31T01:14:00Z,2026-07-31T01:15:18Z,78,Callback,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0038,Telefonía demo,https://example.invalid/recordings/38,https://example.invalid/transcripts/38,Local
llamada-039,registro-campana-039,contacto-039,campana-003,agente-demo,Saliente,2026-07-31T00:57:00Z,2026-07-31T00:58:19Z,79,Contactado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0039,Telefonía demo,https://example.invalid/recordings/39,https://example.invalid/transcripts/39,Local
llamada-040,registro-campana-040,contacto-040,campana-004,agente-demo,Saliente,2026-07-31T00:40:00Z,2026-07-31T00:41:20Z,80,Calificado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0040,Telefonía demo,https://example.invalid/recordings/40,https://example.invalid/transcripts/40,Local
llamada-041,registro-campana-041,contacto-041,campana-001,agente-demo,Saliente,2026-07-31T00:23:00Z,2026-07-31T00:24:21Z,81,No interesado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0041,Telefonía demo,https://example.invalid/recordings/41,https://example.invalid/transcripts/41,Local
llamada-042,registro-campana-042,contacto-042,campana-002,agente-demo,Saliente,2026-07-31T00:06:00Z,2026-07-31T00:07:22Z,82,No contesta,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0042,Telefonía demo,https://example.invalid/recordings/42,https://example.invalid/transcripts/42,Local
llamada-043,registro-campana-043,contacto-043,campana-003,agente-demo,Saliente,2026-07-30T23:49:00Z,2026-07-30T23:50:23Z,83,Ocupado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0043,Telefonía demo,https://example.invalid/recordings/43,https://example.invalid/transcripts/43,Local
llamada-044,registro-campana-044,contacto-044,campana-004,agente-demo,Saliente,2026-07-30T23:32:00Z,2026-07-30T23:33:24Z,84,Callback,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0044,Telefonía demo,https://example.invalid/recordings/44,https://example.invalid/transcripts/44,Local
llamada-045,registro-campana-045,contacto-045,campana-001,agente-demo,Saliente,2026-07-30T23:15:00Z,2026-07-30T23:16:25Z,85,Contactado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0045,Telefonía demo,https://example.invalid/recordings/45,https://example.invalid/transcripts/45,Local
llamada-046,registro-campana-046,contacto-046,campana-002,agente-demo,Saliente,2026-07-30T22:58:00Z,2026-07-30T22:59:26Z,86,Calificado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0046,Telefonía demo,https://example.invalid/recordings/46,https://example.invalid/transcripts/46,Local
llamada-047,registro-campana-047,contacto-047,campana-003,agente-demo,Saliente,2026-07-30T22:41:00Z,2026-07-30T22:42:27Z,87,No interesado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0047,Telefonía demo,https://example.invalid/recordings/47,https://example.invalid/transcripts/47,Local
llamada-048,registro-campana-048,contacto-048,campana-004,agente-demo,Saliente,2026-07-30T22:24:00Z,2026-07-30T22:25:28Z,88,No contesta,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0048,Telefonía demo,https://example.invalid/recordings/48,https://example.invalid/transcripts/48,Local
llamada-049,registro-campana-049,contacto-049,campana-001,agente-demo,Saliente,2026-07-30T22:07:00Z,2026-07-30T22:08:29Z,89,Ocupado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0049,Telefonía demo,https://example.invalid/recordings/49,https://example.invalid/transcripts/49,Local
llamada-050,registro-campana-050,contacto-050,campana-002,agente-demo,Saliente,2026-07-30T21:50:00Z,2026-07-30T21:51:30Z,90,Callback,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0050,Telefonía demo,https://example.invalid/recordings/50,https://example.invalid/transcripts/50,Local
llamada-051,registro-campana-051,contacto-051,campana-003,agente-demo,Saliente,2026-07-30T21:33:00Z,2026-07-30T21:34:31Z,91,Contactado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0051,Telefonía demo,https://example.invalid/recordings/51,https://example.invalid/transcripts/51,Local
llamada-052,registro-campana-052,contacto-052,campana-004,agente-demo,Saliente,2026-07-30T21:16:00Z,2026-07-30T21:17:32Z,92,Calificado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0052,Telefonía demo,https://example.invalid/recordings/52,https://example.invalid/transcripts/52,Local
llamada-053,registro-campana-053,contacto-053,campana-001,agente-demo,Saliente,2026-07-30T20:59:00Z,2026-07-30T21:00:33Z,93,No interesado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0053,Telefonía demo,https://example.invalid/recordings/53,https://example.invalid/transcripts/53,Local
llamada-054,registro-campana-054,contacto-054,campana-002,agente-demo,Saliente,2026-07-30T20:42:00Z,2026-07-30T20:43:34Z,94,No contesta,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0054,Telefonía demo,https://example.invalid/recordings/54,https://example.invalid/transcripts/54,Local
llamada-055,registro-campana-055,contacto-055,campana-003,agente-demo,Saliente,2026-07-30T20:25:00Z,2026-07-30T20:26:35Z,95,Ocupado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0055,Telefonía demo,https://example.invalid/recordings/55,https://example.invalid/transcripts/55,Local
llamada-056,registro-campana-056,contacto-056,campana-004,agente-demo,Saliente,2026-07-30T20:08:00Z,2026-07-30T20:09:36Z,96,Callback,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0056,Telefonía demo,https://example.invalid/recordings/56,https://example.invalid/transcripts/56,Local
llamada-057,registro-campana-057,contacto-057,campana-001,agente-demo,Saliente,2026-07-30T19:51:00Z,2026-07-30T19:52:37Z,97,Contactado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0057,Telefonía demo,https://example.invalid/recordings/57,https://example.invalid/transcripts/57,Local
llamada-058,registro-campana-058,contacto-058,campana-002,agente-demo,Saliente,2026-07-30T19:34:00Z,2026-07-30T19:35:38Z,98,Calificado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0058,Telefonía demo,https://example.invalid/recordings/58,https://example.invalid/transcripts/58,Local
llamada-059,registro-campana-059,contacto-059,campana-003,agente-demo,Saliente,2026-07-30T19:17:00Z,2026-07-30T19:18:39Z,99,No interesado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0059,Telefonía demo,https://example.invalid/recordings/59,https://example.invalid/transcripts/59,Local
llamada-060,registro-campana-060,contacto-060,campana-004,agente-demo,Saliente,2026-07-30T19:00:00Z,2026-07-30T19:01:40Z,100,No contesta,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0060,Telefonía demo,https://example.invalid/recordings/60,https://example.invalid/transcripts/60,Local
llamada-061,registro-campana-061,contacto-061,campana-001,agente-demo,Saliente,2026-07-30T18:43:00Z,2026-07-30T18:44:41Z,101,Ocupado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0061,Telefonía demo,https://example.invalid/recordings/61,https://example.invalid/transcripts/61,Local
llamada-062,registro-campana-062,contacto-062,campana-002,agente-demo,Saliente,2026-07-30T18:26:00Z,2026-07-30T18:27:42Z,102,Callback,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0062,Telefonía demo,https://example.invalid/recordings/62,https://example.invalid/transcripts/62,Local
llamada-063,registro-campana-063,contacto-063,campana-003,agente-demo,Saliente,2026-07-30T18:09:00Z,2026-07-30T18:10:43Z,103,Contactado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0063,Telefonía demo,https://example.invalid/recordings/63,https://example.invalid/transcripts/63,Local
llamada-064,registro-campana-064,contacto-064,campana-004,agente-demo,Saliente,2026-07-30T17:52:00Z,2026-07-30T17:53:44Z,104,Calificado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0064,Telefonía demo,https://example.invalid/recordings/64,https://example.invalid/transcripts/64,Local
llamada-065,registro-campana-065,contacto-065,campana-001,agente-demo,Saliente,2026-07-30T17:35:00Z,2026-07-30T17:36:45Z,105,No interesado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0065,Telefonía demo,https://example.invalid/recordings/65,https://example.invalid/transcripts/65,Local
llamada-066,registro-campana-066,contacto-066,campana-002,agente-demo,Saliente,2026-07-30T17:18:00Z,2026-07-30T17:19:46Z,106,No contesta,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0066,Telefonía demo,https://example.invalid/recordings/66,https://example.invalid/transcripts/66,Local
llamada-067,registro-campana-067,contacto-067,campana-003,agente-demo,Saliente,2026-07-30T17:01:00Z,2026-07-30T17:02:47Z,107,Ocupado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0067,Telefonía demo,https://example.invalid/recordings/67,https://example.invalid/transcripts/67,Local
llamada-068,registro-campana-068,contacto-068,campana-004,agente-demo,Saliente,2026-07-30T16:44:00Z,2026-07-30T16:45:48Z,108,Callback,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0068,Telefonía demo,https://example.invalid/recordings/68,https://example.invalid/transcripts/68,Local
llamada-069,registro-campana-069,contacto-069,campana-001,agente-demo,Saliente,2026-07-30T16:27:00Z,2026-07-30T16:28:49Z,109,Contactado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0069,Telefonía demo,https://example.invalid/recordings/69,https://example.invalid/transcripts/69,Local
llamada-070,registro-campana-070,contacto-070,campana-002,agente-demo,Saliente,2026-07-30T16:10:00Z,2026-07-30T16:11:50Z,110,Calificado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0070,Telefonía demo,https://example.invalid/recordings/70,https://example.invalid/transcripts/70,Local
llamada-071,registro-campana-071,contacto-071,campana-003,agente-demo,Saliente,2026-07-30T15:53:00Z,2026-07-30T15:54:51Z,111,No interesado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0071,Telefonía demo,https://example.invalid/recordings/71,https://example.invalid/transcripts/71,Local
llamada-072,registro-campana-072,contacto-072,campana-004,agente-demo,Saliente,2026-07-30T15:36:00Z,2026-07-30T15:37:52Z,112,No contesta,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0072,Telefonía demo,https://example.invalid/recordings/72,https://example.invalid/transcripts/72,Local
llamada-073,registro-campana-073,contacto-073,campana-001,agente-demo,Saliente,2026-07-30T15:19:00Z,2026-07-30T15:20:53Z,113,Ocupado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0073,Telefonía demo,https://example.invalid/recordings/73,https://example.invalid/transcripts/73,Local
llamada-074,registro-campana-074,contacto-074,campana-002,agente-demo,Saliente,2026-07-30T15:02:00Z,2026-07-30T15:03:54Z,114,Callback,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0074,Telefonía demo,https://example.invalid/recordings/74,https://example.invalid/transcripts/74,Local
llamada-075,registro-campana-075,contacto-075,campana-003,agente-demo,Saliente,2026-07-30T14:45:00Z,2026-07-30T14:46:55Z,115,Contactado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0075,Telefonía demo,https://example.invalid/recordings/75,https://example.invalid/transcripts/75,Local
llamada-076,registro-campana-076,contacto-076,campana-004,agente-demo,Saliente,2026-07-30T14:28:00Z,2026-07-30T14:29:56Z,116,Calificado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0076,Telefonía demo,https://example.invalid/recordings/76,https://example.invalid/transcripts/76,Local
llamada-077,registro-campana-077,contacto-077,campana-001,agente-demo,Saliente,2026-07-30T14:11:00Z,2026-07-30T14:12:57Z,117,No interesado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0077,Telefonía demo,https://example.invalid/recordings/77,https://example.invalid/transcripts/77,Local
llamada-078,registro-campana-078,contacto-078,campana-002,agente-demo,Saliente,2026-07-30T13:54:00Z,2026-07-30T13:55:58Z,118,No contesta,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0078,Telefonía demo,https://example.invalid/recordings/78,https://example.invalid/transcripts/78,Local
llamada-079,registro-campana-079,contacto-079,campana-003,agente-demo,Saliente,2026-07-30T13:37:00Z,2026-07-30T13:38:59Z,119,Ocupado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0079,Telefonía demo,https://example.invalid/recordings/79,https://example.invalid/transcripts/79,Local
llamada-080,registro-campana-080,contacto-080,campana-004,agente-demo,Saliente,2026-07-30T13:20:00Z,2026-07-30T13:22:00Z,120,Callback,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0080,Telefonía demo,https://example.invalid/recordings/80,https://example.invalid/transcripts/80,Local
llamada-081,registro-campana-081,contacto-081,campana-001,agente-demo,Saliente,2026-07-30T13:03:00Z,2026-07-30T13:05:01Z,121,Contactado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0081,Telefonía demo,https://example.invalid/recordings/81,https://example.invalid/transcripts/81,Local
llamada-082,registro-campana-082,contacto-082,campana-002,agente-demo,Saliente,2026-07-30T12:46:00Z,2026-07-30T12:48:02Z,122,Calificado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0082,Telefonía demo,https://example.invalid/recordings/82,https://example.invalid/transcripts/82,Local
llamada-083,registro-campana-083,contacto-083,campana-003,agente-demo,Saliente,2026-07-30T12:29:00Z,2026-07-30T12:31:03Z,123,No interesado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0083,Telefonía demo,https://example.invalid/recordings/83,https://example.invalid/transcripts/83,Local
llamada-084,registro-campana-084,contacto-084,campana-004,agente-demo,Saliente,2026-07-30T12:12:00Z,2026-07-30T12:14:04Z,124,No contesta,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0084,Telefonía demo,https://example.invalid/recordings/84,https://example.invalid/transcripts/84,Local
llamada-085,registro-campana-085,contacto-085,campana-001,agente-demo,Saliente,2026-07-30T11:55:00Z,2026-07-30T11:57:05Z,125,Ocupado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0085,Telefonía demo,https://example.invalid/recordings/85,https://example.invalid/transcripts/85,Local
llamada-086,registro-campana-086,contacto-086,campana-002,agente-demo,Saliente,2026-07-30T11:38:00Z,2026-07-30T11:40:06Z,126,Callback,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0086,Telefonía demo,https://example.invalid/recordings/86,https://example.invalid/transcripts/86,Local
llamada-087,registro-campana-087,contacto-087,campana-003,agente-demo,Saliente,2026-07-30T11:21:00Z,2026-07-30T11:23:07Z,127,Contactado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0087,Telefonía demo,https://example.invalid/recordings/87,https://example.invalid/transcripts/87,Local
llamada-088,registro-campana-088,contacto-088,campana-004,agente-demo,Saliente,2026-07-30T11:04:00Z,2026-07-30T11:06:08Z,128,Calificado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0088,Telefonía demo,https://example.invalid/recordings/88,https://example.invalid/transcripts/88,Local
