ID,asunto,lead,inmueble,asesor,tipo,estado,prioridad,fecha,resultado,proximaAccion,vencimiento,observaciones
actividad-014,Seguimiento comercial #14,lead-015,inmueble-015,asesora-demo,Seguimiento,Completada,Alta,2026-07-29T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-15T12:00:00Z,2026-08-15T16:00:00Z,Actividad comercial sintética.
actividad-015,Seguimiento comercial #15,lead-016,inmueble-016,asesor-demo,Llamada,Cancelada,Baja,2026-07-29T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-01T12:00:00Z,2026-08-01T16:00:00Z,Actividad comercial sintética.
actividad-016,Seguimiento comercial #16,lead-017,inmueble-017,asesora-demo,WhatsApp,Pendiente,Media,2026-07-29T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-02T12:00:00Z,2026-08-02T16:00:00Z,Actividad comercial sintética.
actividad-017,Seguimiento comercial #17,lead-018,inmueble-018,asesor-demo,Correo,En curso,Alta,2026-07-29T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-03T12:00:00Z,2026-08-03T16:00:00Z,Actividad comercial sintética.
actividad-018,Seguimiento comercial #18,lead-019,inmueble-019,asesora-demo,Nota,Completada,Baja,2026-07-29T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-04T12:00:00Z,2026-08-04T16:00:00Z,Actividad comercial sintética.
actividad-019,Seguimiento comercial #19,lead-020,inmueble-020,asesor-demo,Seguimiento,Cancelada,Media,2026-07-29T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-05T12:00:00Z,2026-08-05T16:00:00Z,Actividad comercial sintética.
actividad-020,Seguimiento comercial #20,lead-021,inmueble-021,asesora-demo,Llamada,Pendiente,Alta,2026-07-29T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-06T12:00:00Z,2026-08-06T16:00:00Z,Actividad comercial sintética.
actividad-021,Seguimiento comercial #21,lead-022,inmueble-022,asesor-demo,WhatsApp,En curso,Baja,2026-07-28T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-07T12:00:00Z,2026-08-07T16:00:00Z,Actividad comercial sintética.
actividad-022,Seguimiento comercial #22,lead-023,inmueble-023,asesora-demo,Correo,Completada,Media,2026-07-28T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-08T12:00:00Z,2026-08-08T16:00:00Z,Actividad comercial sintética.
actividad-023,Seguimiento comercial #23,lead-024,inmueble-024,asesor-demo,Nota,Cancelada,Alta,2026-07-28T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-09T12:00:00Z,2026-08-09T16:00:00Z,Actividad comercial sintética.
actividad-024,Seguimiento comercial #24,lead-025,inmueble-025,asesora-demo,Seguimiento,Pendiente,Baja,2026-07-28T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-10T12:00:00Z,2026-08-10T16:00:00Z,Actividad comercial sintética.
actividad-025,Seguimiento comercial #25,lead-026,inmueble-026,asesor-demo,Llamada,En curso,Media,2026-07-28T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-11T12:00:00Z,2026-08-11T16:00:00Z,Actividad comercial sintética.
actividad-026,Seguimiento comercial #26,lead-027,inmueble-027,asesora-demo,WhatsApp,Completada,Alta,2026-07-28T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-12T12:00:00Z,2026-08-12T16:00:00Z,Actividad comercial sintética.
actividad-027,Seguimiento comercial #27,lead-028,inmueble-028,asesor-demo,Correo,Cancelada,Baja,2026-07-28T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-13T12:00:00Z,2026-08-13T16:00:00Z,Actividad comercial sintética.
actividad-028,Seguimiento comercial #28,lead-029,inmueble-029,asesora-demo,Nota,Pendiente,Media,2026-07-28T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-14T12:00:00Z,2026-08-14T16:00:00Z,Actividad comercial sintética.
actividad-029,Seguimiento comercial #29,lead-030,inmueble-030,asesor-demo,Seguimiento,En curso,Alta,2026-07-27T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-15T12:00:00Z,2026-08-15T16:00:00Z,Actividad comercial sintética.
actividad-030,Seguimiento comercial #30,lead-031,inmueble-031,asesora-demo,Llamada,Completada,Baja,2026-07-27T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-01T12:00:00Z,2026-08-01T16:00:00Z,Actividad comercial sintética.
actividad-031,Seguimiento comercial #31,lead-032,inmueble-032,asesor-demo,WhatsApp,Cancelada,Media,2026-07-27T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-02T12:00:00Z,2026-08-02T16:00:00Z,Actividad comercial sintética.
actividad-032,Seguimiento comercial #32,lead-033,inmueble-033,asesora-demo,Correo,Pendiente,Alta,2026-07-27T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-03T12:00:00Z,2026-08-03T16:00:00Z,Actividad comercial sintética.
actividad-033,Seguimiento comercial #33,lead-034,inmueble-034,asesor-demo,Nota,En curso,Baja,2026-07-27T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-04T12:00:00Z,2026-08-04T16:00:00Z,Actividad comercial sintética.
actividad-034,Seguimiento comercial #34,lead-035,inmueble-035,asesora-demo,Seguimiento,Completada,Media,2026-07-27T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-05T12:00:00Z,2026-08-05T16:00:00Z,Actividad comercial sintética.
actividad-035,Seguimiento comercial #35,lead-036,inmueble-036,asesor-demo,Llamada,Cancelada,Alta,2026-07-27T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-06T12:00:00Z,2026-08-06T16:00:00Z,Actividad comercial sintética.
actividad-036,Seguimiento comercial #36,lead-037,inmueble-037,asesora-demo,WhatsApp,Pendiente,Baja,2026-07-27T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-07T12:00:00Z,2026-08-07T16:00:00Z,Actividad comercial sintética.
actividad-037,Seguimiento comercial #37,lead-038,inmueble-038,asesor-demo,Correo,En curso,Media,2026-07-26T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-08T12:00:00Z,2026-08-08T16:00:00Z,Actividad comercial sintética.
actividad-038,Seguimiento comercial #38,lead-039,inmueble-039,asesora-demo,Nota,Completada,Alta,2026-07-26T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-09T12:00:00Z,2026-08-09T16:00:00Z,Actividad comercial sintética.
actividad-039,Seguimiento comercial #39,lead-040,inmueble-040,asesor-demo,Seguimiento,Cancelada,Baja,2026-07-26T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-10T12:00:00Z,2026-08-10T16:00:00Z,Actividad comercial sintética.
actividad-040,Seguimiento comercial #40,lead-041,inmueble-041,asesora-demo,Llamada,Pendiente,Media,2026-07-26T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-11T12:00:00Z,2026-08-11T16:00:00Z,Actividad comercial sintética.
actividad-041,Seguimiento comercial #41,lead-042,inmueble-042,asesor-demo,WhatsApp,En curso,Alta,2026-07-26T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-12T12:00:00Z,2026-08-12T16:00:00Z,Actividad comercial sintética.
actividad-042,Seguimiento comercial #42,lead-043,inmueble-043,asesora-demo,Correo,Completada,Baja,2026-07-26T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-13T12:00:00Z,2026-08-13T16:00:00Z,Actividad comercial sintética.
actividad-043,Seguimiento comercial #43,lead-044,inmueble-044,asesor-demo,Nota,Cancelada,Media,2026-07-26T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-14T12:00:00Z,2026-08-14T16:00:00Z,Actividad comercial sintética.
actividad-044,Seguimiento comercial #44,lead-045,inmueble-045,asesora-demo,Seguimiento,Pendiente,Alta,2026-07-26T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-15T12:00:00Z,2026-08-15T16:00:00Z,Actividad comercial sintética.
actividad-045,Seguimiento comercial #45,lead-046,inmueble-046,asesor-demo,Llamada,En curso,Baja,2026-07-25T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-01T12:00:00Z,2026-08-01T16:00:00Z,Actividad comercial sintética.
actividad-046,Seguimiento comercial #46,lead-047,inmueble-047,asesora-demo,WhatsApp,Completada,Media,2026-07-25T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-02T12:00:00Z,2026-08-02T16:00:00Z,Actividad comercial sintética.
actividad-047,Seguimiento comercial #47,lead-048,inmueble-048,asesor-demo,Correo,Cancelada,Alta,2026-07-25T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-03T12:00:00Z,2026-08-03T16:00:00Z,Actividad comercial sintética.
actividad-048,Seguimiento comercial #48,lead-049,inmueble-049,asesora-demo,Nota,Pendiente,Baja,2026-07-25T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-04T12:00:00Z,2026-08-04T16:00:00Z,Actividad comercial sintética.
actividad-049,Seguimiento comercial #49,lead-050,inmueble-050,asesor-demo,Seguimiento,En curso,Media,2026-07-25T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-05T12:00:00Z,2026-08-05T16:00:00Z,Actividad comercial sintética.
actividad-050,Seguimiento comercial #50,lead-051,inmueble-051,asesora-demo,Llamada,Completada,Alta,2026-07-25T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-06T12:00:00Z,2026-08-06T16:00:00Z,Actividad comercial sintética.
actividad-051,Seguimiento comercial #51,lead-052,inmueble-052,asesor-demo,WhatsApp,Cancelada,Baja,2026-07-25T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-07T12:00:00Z,2026-08-07T16:00:00Z,Actividad comercial sintética.
actividad-052,Seguimiento comercial #52,lead-053,inmueble-053,asesora-demo,Correo,Pendiente,Media,2026-07-25T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-08T12:00:00Z,2026-08-08T16:00:00Z,Actividad comercial sintética.
actividad-053,Seguimiento comercial #53,lead-054,inmueble-054,asesor-demo,Nota,En curso,Alta,2026-07-24T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-09T12:00:00Z,2026-08-09T16:00:00Z,Actividad comercial sintética.
actividad-054,Seguimiento comercial #54,lead-055,inmueble-055,asesora-demo,Seguimiento,Completada,Baja,2026-07-24T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-10T12:00:00Z,2026-08-10T16:00:00Z,Actividad comercial sintética.
actividad-055,Seguimiento comercial #55,lead-056,inmueble-056,asesor-demo,Llamada,Cancelada,Media,2026-07-24T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-11T12:00:00Z,2026-08-11T16:00:00Z,Actividad comercial sintética.
actividad-056,Seguimiento comercial #56,lead-057,inmueble-057,asesora-demo,WhatsApp,Pendiente,Alta,2026-07-24T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-12T12:00:00Z,2026-08-12T16:00:00Z,Actividad comercial sintética.
actividad-057,Seguimiento comercial #57,lead-058,inmueble-058,asesor-demo,Correo,En curso,Baja,2026-07-24T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-13T12:00:00Z,2026-08-13T16:00:00Z,Actividad comercial sintética.
actividad-058,Seguimiento comercial #58,lead-059,inmueble-059,asesora-demo,Nota,Completada,Media,2026-07-24T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-14T12:00:00Z,2026-08-14T16:00:00Z,Actividad comercial sintética.
actividad-059,Seguimiento comercial #59,lead-060,inmueble-060,asesor-demo,Seguimiento,Cancelada,Alta,2026-07-24T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-15T12:00:00Z,2026-08-15T16:00:00Z,Actividad comercial sintética.
actividad-060,Seguimiento comercial #60,lead-061,inmueble-061,asesora-demo,Llamada,Pendiente,Baja,2026-07-24T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-01T12:00:00Z,2026-08-01T16:00:00Z,Actividad comercial sintética.
actividad-061,Seguimiento comercial #61,lead-062,inmueble-062,asesor-demo,WhatsApp,En curso,Media,2026-07-23T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-02T12:00:00Z,2026-08-02T16:00:00Z,Actividad comercial sintética.
actividad-062,Seguimiento comercial #62,lead-063,inmueble-063,asesora-demo,Correo,Completada,Alta,2026-07-23T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-03T12:00:00Z,2026-08-03T16:00:00Z,Actividad comercial sintética.
actividad-063,Seguimiento comercial #63,lead-064,inmueble-064,asesor-demo,Nota,Cancelada,Baja,2026-07-23T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-04T12:00:00Z,2026-08-04T16:00:00Z,Actividad comercial sintética.
actividad-064,Seguimiento comercial #64,lead-065,inmueble-065,asesora-demo,Seguimiento,Pendiente,Media,2026-07-23T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-05T12:00:00Z,2026-08-05T16:00:00Z,Actividad comercial sintética.
actividad-065,Seguimiento comercial #65,lead-066,inmueble-066,asesor-demo,Llamada,En curso,Alta,2026-07-23T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-06T12:00:00Z,2026-08-06T16:00:00Z,Actividad comercial sintética.
actividad-066,Seguimiento comercial #66,lead-067,inmueble-067,asesora-demo,WhatsApp,Completada,Baja,2026-07-23T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-07T12:00:00Z,2026-08-07T16:00:00Z,Actividad comercial sintética.
actividad-067,Seguimiento comercial #67,lead-068,inmueble-068,asesor-demo,Correo,Cancelada,Media,2026-07-23T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-08T12:00:00Z,2026-08-08T16:00:00Z,Actividad comercial sintética.
actividad-068,Seguimiento comercial #68,lead-069,inmueble-069,asesora-demo,Nota,Pendiente,Alta,2026-07-23T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-09T12:00:00Z,2026-08-09T16:00:00Z,Actividad comercial sintética.
actividad-069,Seguimiento comercial #69,lead-070,inmueble-070,asesor-demo,Seguimiento,En curso,Baja,2026-07-22T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-10T12:00:00Z,2026-08-10T16:00:00Z,Actividad comercial sintética.
actividad-070,Seguimiento comercial #70,lead-071,inmueble-071,asesora-demo,Llamada,Completada,Media,2026-07-22T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-11T12:00:00Z,2026-08-11T16:00:00Z,Actividad comercial sintética.
actividad-071,Seguimiento comercial #71,lead-072,inmueble-072,asesor-demo,WhatsApp,Cancelada,Alta,2026-07-22T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-12T12:00:00Z,2026-08-12T16:00:00Z,Actividad comercial sintética.
actividad-072,Seguimiento comercial #72,lead-073,inmueble-073,asesora-demo,Correo,Pendiente,Baja,2026-07-22T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-13T12:00:00Z,2026-08-13T16:00:00Z,Actividad comercial sintética.
actividad-073,Seguimiento comercial #73,lead-074,inmueble-074,asesor-demo,Nota,En curso,Media,2026-07-22T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-14T12:00:00Z,2026-08-14T16:00:00Z,Actividad comercial sintética.
actividad-074,Seguimiento comercial #74,lead-075,inmueble-075,asesora-demo,Seguimiento,Completada,Alta,2026-07-22T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-15T12:00:00Z,2026-08-15T16:00:00Z,Actividad comercial sintética.
actividad-075,Seguimiento comercial #75,lead-076,inmueble-076,asesor-demo,Llamada,Cancelada,Baja,2026-07-22T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-01T12:00:00Z,2026-08-01T16:00:00Z,Actividad comercial sintética.
actividad-076,Seguimiento comercial #76,lead-077,inmueble-077,asesora-demo,WhatsApp,Pendiente,Media,2026-07-22T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-02T12:00:00Z,2026-08-02T16:00:00Z,Actividad comercial sintética.
actividad-077,Seguimiento comercial #77,lead-078,inmueble-078,asesor-demo,Correo,En curso,Alta,2026-07-21T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-03T12:00:00Z,2026-08-03T16:00:00Z,Actividad comercial sintética.
actividad-078,Seguimiento comercial #78,lead-079,inmueble-079,asesora-demo,Nota,Completada,Baja,2026-07-21T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-04T12:00:00Z,2026-08-04T16:00:00Z,Actividad comercial sintética.
actividad-079,Seguimiento comercial #79,lead-080,inmueble-080,asesor-demo,Seguimiento,Cancelada,Media,2026-07-21T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-05T12:00:00Z,2026-08-05T16:00:00Z,Actividad comercial sintética.
actividad-080,Seguimiento comercial #80,lead-081,inmueble-081,asesora-demo,Llamada,Pendiente,Alta,2026-07-21T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-06T12:00:00Z,2026-08-06T16:00:00Z,Actividad comercial sintética.
actividad-081,Seguimiento comercial #81,lead-082,inmueble-082,asesor-demo,WhatsApp,En curso,Baja,2026-07-21T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-07T12:00:00Z,2026-08-07T16:00:00Z,Actividad comercial sintética.
actividad-082,Seguimiento comercial #82,lead-083,inmueble-083,asesora-demo,Correo,Completada,Media,2026-07-21T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-08T12:00:00Z,2026-08-08T16:00:00Z,Actividad comercial sintética.
actividad-083,Seguimiento comercial #83,lead-084,inmueble-084,asesor-demo,Nota,Cancelada,Alta,2026-07-21T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-09T12:00:00Z,2026-08-09T16:00:00Z,Actividad comercial sintética.
actividad-084,Seguimiento comercial #84,lead-085,inmueble-085,asesora-demo,Seguimiento,Pendiente,Baja,2026-07-21T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-10T12:00:00Z,2026-08-10T16:00:00Z,Actividad comercial sintética.
actividad-085,Seguimiento comercial #85,lead-086,inmueble-086,asesor-demo,Llamada,En curso,Media,2026-07-20T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-11T12:00:00Z,2026-08-11T16:00:00Z,Actividad comercial sintética.
actividad-086,Seguimiento comercial #86,lead-087,inmueble-087,asesora-demo,WhatsApp,Completada,Alta,2026-07-20T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-12T12:00:00Z,2026-08-12T16:00:00Z,Actividad comercial sintética.
actividad-087,Seguimiento comercial #87,lead-088,inmueble-088,asesor-demo,Correo,Cancelada,Baja,2026-07-20T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-13T12:00:00Z,2026-08-13T16:00:00Z,Actividad comercial sintética.
actividad-088,Seguimiento comercial #88,lead-089,inmueble-089,asesora-demo,Nota,Pendiente,Media,2026-07-20T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-14T12:00:00Z,2026-08-14T16:00:00Z,Actividad comercial sintética.
actividad-089,Seguimiento comercial #89,lead-090,inmueble-090,asesor-demo,Seguimiento,En curso,Alta,2026-07-20T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-15T12:00:00Z,2026-08-15T16:00:00Z,Actividad comercial sintética.
actividad-090,Seguimiento comercial #90,lead-091,inmueble-091,asesora-demo,Llamada,Completada,Baja,2026-07-20T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-01T12:00:00Z,2026-08-01T16:00:00Z,Actividad comercial sintética.
actividad-091,Seguimiento comercial #91,lead-092,inmueble-092,asesor-demo,WhatsApp,Cancelada,Media,2026-07-20T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-02T12:00:00Z,2026-08-02T16:00:00Z,Actividad comercial sintética.
actividad-092,Seguimiento comercial #92,lead-093,inmueble-093,asesora-demo,Correo,Pendiente,Alta,2026-07-20T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-03T12:00:00Z,2026-08-03T16:00:00Z,Actividad comercial sintética.
actividad-093,Seguimiento comercial #93,lead-094,inmueble-094,asesor-demo,Nota,En curso,Baja,2026-07-19T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-04T12:00:00Z,2026-08-04T16:00:00Z,Actividad comercial sintética.
actividad-094,Seguimiento comercial #94,lead-095,inmueble-095,asesora-demo,Seguimiento,Completada,Media,2026-07-19T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-05T12:00:00Z,2026-08-05T16:00:00Z,Actividad comercial sintética.
actividad-095,Seguimiento comercial #95,lead-096,inmueble-096,asesor-demo,Llamada,Cancelada,Alta,2026-07-19T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-06T12:00:00Z,2026-08-06T16:00:00Z,Actividad comercial sintética.
actividad-096,Seguimiento comercial #96,lead-097,inmueble-097,asesora-demo,WhatsApp,Pendiente,Baja,2026-07-19T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-07T12:00:00Z,2026-08-07T16:00:00Z,Actividad comercial sintética.
actividad-097,Seguimiento comercial #97,lead-098,inmueble-098,asesor-demo,Correo,En curso,Media,2026-07-19T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-08T12:00:00Z,2026-08-08T16:00:00Z,Actividad comercial sintética.
actividad-098,Seguimiento comercial #98,lead-099,inmueble-099,asesora-demo,Nota,Completada,Alta,2026-07-19T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-09T12:00:00Z,2026-08-09T16:00:00Z,Actividad comercial sintética.
actividad-099,Seguimiento comercial #99,lead-100,inmueble-100,asesor-demo,Seguimiento,Cancelada,Baja,2026-07-19T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-10T12:00:00Z,2026-08-10T16:00:00Z,Actividad comercial sintética.
actividad-100,Seguimiento comercial #100,lead-001,inmueble-001,asesora-demo,Llamada,Pendiente,Media,2026-07-19T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-11T12:00:00Z,2026-08-11T16:00:00Z,Actividad comercial sintética.
