ID,orden,secuencia,tarea,obligatoria,tecnico,estado,resultado,inicioReal,finReal
tarea-taller-078,orden-taller-078,1,Inspección y evidencia de la orden #78,1,tecnica-demo,Completada,Punto de control técnico documentado.,2026-07-31T06:00:00Z,2026-07-31T06:45:00Z
tarea-taller-079,orden-taller-079,1,Inspección y evidencia de la orden #79,1,tecnica-demo,No aplica,Punto de control técnico documentado.,2026-07-31T05:00:00Z,
tarea-taller-080,orden-taller-080,1,Inspección y evidencia de la orden #80,1,tecnica-demo,Pendiente,Punto de control técnico documentado.,2026-07-31T04:00:00Z,
tarea-taller-081,orden-taller-081,1,Inspección y evidencia de la orden #81,1,tecnica-demo,En ejecución,Punto de control técnico documentado.,2026-07-31T03:00:00Z,
tarea-taller-082,orden-taller-082,1,Inspección y evidencia de la orden #82,1,tecnica-demo,Completada,Punto de control técnico documentado.,2026-07-31T02:00:00Z,2026-07-31T02:45:00Z
tarea-taller-083,orden-taller-083,1,Inspección y evidencia de la orden #83,1,tecnica-demo,No aplica,Punto de control técnico documentado.,2026-07-31T01:00:00Z,
tarea-taller-084,orden-taller-084,1,Inspección y evidencia de la orden #84,1,tecnica-demo,Pendiente,Punto de control técnico documentado.,2026-07-31T00:00:00Z,
tarea-taller-085,orden-taller-085,1,Inspección y evidencia de la orden #85,1,tecnica-demo,En ejecución,Punto de control técnico documentado.,2026-07-30T23:00:00Z,
tarea-taller-086,orden-taller-086,1,Inspección y evidencia de la orden #86,1,tecnica-demo,Completada,Punto de control técnico documentado.,2026-07-30T22:00:00Z,2026-07-30T22:45:00Z
tarea-taller-087,orden-taller-087,1,Inspección y evidencia de la orden #87,1,tecnica-demo,No aplica,Punto de control técnico documentado.,2026-07-30T21:00:00Z,
tarea-taller-088,orden-taller-088,1,Inspección y evidencia de la orden #88,1,tecnica-demo,Pendiente,Punto de control técnico documentado.,2026-07-30T20:00:00Z,
tarea-taller-089,orden-taller-089,1,Inspección y evidencia de la orden #89,1,tecnica-demo,En ejecución,Punto de control técnico documentado.,2026-07-30T19:00:00Z,
tarea-taller-090,orden-taller-090,1,Inspección y evidencia de la orden #90,1,tecnica-demo,Completada,Punto de control técnico documentado.,2026-07-30T18:00:00Z,2026-07-30T18:45:00Z
tarea-taller-091,orden-taller-091,1,Inspección y evidencia de la orden #91,1,tecnica-demo,No aplica,Punto de control técnico documentado.,2026-07-30T17:00:00Z,
tarea-taller-092,orden-taller-092,1,Inspección y evidencia de la orden #92,1,tecnica-demo,Pendiente,Punto de control técnico documentado.,2026-07-30T16:00:00Z,
tarea-taller-093,orden-taller-093,1,Inspección y evidencia de la orden #93,1,tecnica-demo,En ejecución,Punto de control técnico documentado.,2026-07-30T15:00:00Z,
tarea-taller-094,orden-taller-094,1,Inspección y evidencia de la orden #94,1,tecnica-demo,Completada,Punto de control técnico documentado.,2026-07-30T14:00:00Z,2026-07-30T14:45:00Z
tarea-taller-095,orden-taller-095,1,Inspección y evidencia de la orden #95,1,tecnica-demo,No aplica,Punto de control técnico documentado.,2026-07-30T13:00:00Z,
tarea-taller-096,orden-taller-096,1,Inspección y evidencia de la orden #96,1,tecnica-demo,Pendiente,Punto de control técnico documentado.,2026-07-30T12:00:00Z,
tarea-taller-097,orden-taller-097,1,Inspección y evidencia de la orden #97,1,tecnica-demo,En ejecución,Punto de control técnico documentado.,2026-07-30T11:00:00Z,
tarea-taller-098,orden-taller-098,1,Inspección y evidencia de la orden #98,1,tecnica-demo,Completada,Punto de control técnico documentado.,2026-07-30T10:00:00Z,2026-07-30T10:45:00Z
tarea-taller-099,orden-taller-099,1,Inspección y evidencia de la orden #99,1,tecnica-demo,No aplica,Punto de control técnico documentado.,2026-07-30T09:00:00Z,
tarea-taller-100,orden-taller-100,1,Inspección y evidencia de la orden #100,1,tecnica-demo,Pendiente,Punto de control técnico documentado.,2026-07-30T08:00:00Z,
