ID,asunto,prospecto,vehiculo,oportunidad,asesor,tipo,estado,fecha,resultado,proximaAccion,observaciones
actividad-auto-011,Seguimiento automotriz #11,auto-prospecto-011,vehiculo-011,auto-oportunidad-011,asesor-demo,WhatsApp,Cancelada,2026-07-20T12:00:00Z,Nueva referencia sugerida,2026-08-12T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-012,Seguimiento automotriz #12,auto-prospecto-012,vehiculo-012,auto-oportunidad-012,asesora-demo,Correo,Pendiente,2026-07-19T12:00:00Z,Interés confirmado,2026-08-13T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-013,Seguimiento automotriz #13,auto-prospecto-013,vehiculo-013,auto-oportunidad-013,asesor-demo,Reunión,Completada,2026-07-18T12:00:00Z,Solicita financiación,2026-08-14T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-014,Seguimiento automotriz #14,auto-prospecto-014,vehiculo-014,auto-oportunidad-014,asesora-demo,Seguimiento,Completada,2026-07-17T12:00:00Z,Pendiente respuesta,2026-08-01T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-015,Seguimiento automotriz #15,auto-prospecto-015,vehiculo-015,auto-oportunidad-015,asesor-demo,Llamada,Cancelada,2026-07-16T12:00:00Z,Nueva referencia sugerida,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-016,Seguimiento automotriz #16,auto-prospecto-016,vehiculo-016,auto-oportunidad-016,asesora-demo,WhatsApp,Pendiente,2026-07-15T12:00:00Z,Interés confirmado,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-017,Seguimiento automotriz #17,auto-prospecto-017,vehiculo-017,auto-oportunidad-017,asesor-demo,Correo,Completada,2026-07-14T12:00:00Z,Solicita financiación,2026-08-04T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-018,Seguimiento automotriz #18,auto-prospecto-018,vehiculo-018,auto-oportunidad-018,asesora-demo,Reunión,Completada,2026-07-13T12:00:00Z,Pendiente respuesta,2026-08-05T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-019,Seguimiento automotriz #19,auto-prospecto-019,vehiculo-019,auto-oportunidad-019,asesor-demo,Seguimiento,Cancelada,2026-07-12T12:00:00Z,Nueva referencia sugerida,2026-08-06T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-020,Seguimiento automotriz #20,auto-prospecto-020,vehiculo-020,auto-oportunidad-020,asesora-demo,Llamada,Pendiente,2026-07-11T12:00:00Z,Interés confirmado,2026-08-07T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-021,Seguimiento automotriz #21,auto-prospecto-021,vehiculo-021,auto-oportunidad-021,asesor-demo,WhatsApp,Completada,2026-07-10T12:00:00Z,Solicita financiación,2026-08-08T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-022,Seguimiento automotriz #22,auto-prospecto-022,vehiculo-022,auto-oportunidad-022,asesora-demo,Correo,Completada,2026-07-09T12:00:00Z,Pendiente respuesta,2026-08-09T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-023,Seguimiento automotriz #23,auto-prospecto-023,vehiculo-023,auto-oportunidad-023,asesor-demo,Reunión,Cancelada,2026-07-08T12:00:00Z,Nueva referencia sugerida,2026-08-10T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-024,Seguimiento automotriz #24,auto-prospecto-024,vehiculo-024,auto-oportunidad-024,asesora-demo,Seguimiento,Pendiente,2026-07-07T12:00:00Z,Interés confirmado,2026-08-11T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-025,Seguimiento automotriz #25,auto-prospecto-025,vehiculo-025,auto-oportunidad-025,asesor-demo,Llamada,Completada,2026-07-31T12:00:00Z,Solicita financiación,2026-08-12T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-026,Seguimiento automotriz #26,auto-prospecto-026,vehiculo-026,auto-oportunidad-026,asesora-demo,WhatsApp,Completada,2026-07-30T12:00:00Z,Pendiente respuesta,2026-08-13T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-027,Seguimiento automotriz #27,auto-prospecto-027,vehiculo-027,auto-oportunidad-027,asesor-demo,Correo,Cancelada,2026-07-29T12:00:00Z,Nueva referencia sugerida,2026-08-14T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-028,Seguimiento automotriz #28,auto-prospecto-028,vehiculo-028,auto-oportunidad-028,asesora-demo,Reunión,Pendiente,2026-07-28T12:00:00Z,Interés confirmado,2026-08-01T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-029,Seguimiento automotriz #29,auto-prospecto-029,vehiculo-029,auto-oportunidad-029,asesor-demo,Seguimiento,Completada,2026-07-27T12:00:00Z,Solicita financiación,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-030,Seguimiento automotriz #30,auto-prospecto-030,vehiculo-030,auto-oportunidad-030,asesora-demo,Llamada,Completada,2026-07-26T12:00:00Z,Pendiente respuesta,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-031,Seguimiento automotriz #31,auto-prospecto-031,vehiculo-031,auto-oportunidad-031,asesor-demo,WhatsApp,Cancelada,2026-07-25T12:00:00Z,Nueva referencia sugerida,2026-08-04T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-032,Seguimiento automotriz #32,auto-prospecto-032,vehiculo-032,auto-oportunidad-032,asesora-demo,Correo,Pendiente,2026-07-24T12:00:00Z,Interés confirmado,2026-08-05T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-033,Seguimiento automotriz #33,auto-prospecto-033,vehiculo-033,auto-oportunidad-033,asesor-demo,Reunión,Completada,2026-07-23T12:00:00Z,Solicita financiación,2026-08-06T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-034,Seguimiento automotriz #34,auto-prospecto-034,vehiculo-034,auto-oportunidad-034,asesora-demo,Seguimiento,Completada,2026-07-22T12:00:00Z,Pendiente respuesta,2026-08-07T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-035,Seguimiento automotriz #35,auto-prospecto-035,vehiculo-035,auto-oportunidad-035,asesor-demo,Llamada,Cancelada,2026-07-21T12:00:00Z,Nueva referencia sugerida,2026-08-08T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-036,Seguimiento automotriz #36,auto-prospecto-036,vehiculo-036,auto-oportunidad-036,asesora-demo,WhatsApp,Pendiente,2026-07-20T12:00:00Z,Interés confirmado,2026-08-09T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-037,Seguimiento automotriz #37,auto-prospecto-037,vehiculo-037,auto-oportunidad-037,asesor-demo,Correo,Completada,2026-07-19T12:00:00Z,Solicita financiación,2026-08-10T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-038,Seguimiento automotriz #38,auto-prospecto-038,vehiculo-038,auto-oportunidad-038,asesora-demo,Reunión,Completada,2026-07-18T12:00:00Z,Pendiente respuesta,2026-08-11T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-039,Seguimiento automotriz #39,auto-prospecto-039,vehiculo-039,auto-oportunidad-039,asesor-demo,Seguimiento,Cancelada,2026-07-17T12:00:00Z,Nueva referencia sugerida,2026-08-12T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-040,Seguimiento automotriz #40,auto-prospecto-040,vehiculo-040,auto-oportunidad-040,asesora-demo,Llamada,Pendiente,2026-07-16T12:00:00Z,Interés confirmado,2026-08-13T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-041,Seguimiento automotriz #41,auto-prospecto-041,vehiculo-041,auto-oportunidad-041,asesor-demo,WhatsApp,Completada,2026-07-15T12:00:00Z,Solicita financiación,2026-08-14T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-042,Seguimiento automotriz #42,auto-prospecto-042,vehiculo-042,auto-oportunidad-042,asesora-demo,Correo,Completada,2026-07-14T12:00:00Z,Pendiente respuesta,2026-08-01T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-043,Seguimiento automotriz #43,auto-prospecto-043,vehiculo-043,auto-oportunidad-043,asesor-demo,Reunión,Cancelada,2026-07-13T12:00:00Z,Nueva referencia sugerida,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-044,Seguimiento automotriz #44,auto-prospecto-044,vehiculo-044,auto-oportunidad-044,asesora-demo,Seguimiento,Pendiente,2026-07-12T12:00:00Z,Interés confirmado,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-045,Seguimiento automotriz #45,auto-prospecto-045,vehiculo-045,auto-oportunidad-045,asesor-demo,Llamada,Completada,2026-07-11T12:00:00Z,Solicita financiación,2026-08-04T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-046,Seguimiento automotriz #46,auto-prospecto-046,vehiculo-046,auto-oportunidad-046,asesora-demo,WhatsApp,Completada,2026-07-10T12:00:00Z,Pendiente respuesta,2026-08-05T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-047,Seguimiento automotriz #47,auto-prospecto-047,vehiculo-047,auto-oportunidad-047,asesor-demo,Correo,Cancelada,2026-07-09T12:00:00Z,Nueva referencia sugerida,2026-08-06T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-048,Seguimiento automotriz #48,auto-prospecto-048,vehiculo-048,auto-oportunidad-048,asesora-demo,Reunión,Pendiente,2026-07-08T12:00:00Z,Interés confirmado,2026-08-07T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-049,Seguimiento automotriz #49,auto-prospecto-049,vehiculo-049,auto-oportunidad-049,asesor-demo,Seguimiento,Completada,2026-07-07T12:00:00Z,Solicita financiación,2026-08-08T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-050,Seguimiento automotriz #50,auto-prospecto-050,vehiculo-050,auto-oportunidad-050,asesora-demo,Llamada,Completada,2026-07-31T12:00:00Z,Pendiente respuesta,2026-08-09T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-051,Seguimiento automotriz #51,auto-prospecto-051,vehiculo-051,auto-oportunidad-051,asesor-demo,WhatsApp,Cancelada,2026-07-30T12:00:00Z,Nueva referencia sugerida,2026-08-10T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-052,Seguimiento automotriz #52,auto-prospecto-052,vehiculo-052,auto-oportunidad-052,asesora-demo,Correo,Pendiente,2026-07-29T12:00:00Z,Interés confirmado,2026-08-11T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-053,Seguimiento automotriz #53,auto-prospecto-053,vehiculo-053,auto-oportunidad-053,asesor-demo,Reunión,Completada,2026-07-28T12:00:00Z,Solicita financiación,2026-08-12T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-054,Seguimiento automotriz #54,auto-prospecto-054,vehiculo-054,auto-oportunidad-054,asesora-demo,Seguimiento,Completada,2026-07-27T12:00:00Z,Pendiente respuesta,2026-08-13T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-055,Seguimiento automotriz #55,auto-prospecto-055,vehiculo-055,auto-oportunidad-055,asesor-demo,Llamada,Cancelada,2026-07-26T12:00:00Z,Nueva referencia sugerida,2026-08-14T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-056,Seguimiento automotriz #56,auto-prospecto-056,vehiculo-056,auto-oportunidad-056,asesora-demo,WhatsApp,Pendiente,2026-07-25T12:00:00Z,Interés confirmado,2026-08-01T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-057,Seguimiento automotriz #57,auto-prospecto-057,vehiculo-057,auto-oportunidad-057,asesor-demo,Correo,Completada,2026-07-24T12:00:00Z,Solicita financiación,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-058,Seguimiento automotriz #58,auto-prospecto-058,vehiculo-058,auto-oportunidad-058,asesora-demo,Reunión,Completada,2026-07-23T12:00:00Z,Pendiente respuesta,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-059,Seguimiento automotriz #59,auto-prospecto-059,vehiculo-059,auto-oportunidad-059,asesor-demo,Seguimiento,Cancelada,2026-07-22T12:00:00Z,Nueva referencia sugerida,2026-08-04T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-060,Seguimiento automotriz #60,auto-prospecto-060,vehiculo-060,auto-oportunidad-060,asesora-demo,Llamada,Pendiente,2026-07-21T12:00:00Z,Interés confirmado,2026-08-05T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-061,Seguimiento automotriz #61,auto-prospecto-061,vehiculo-061,auto-oportunidad-061,asesor-demo,WhatsApp,Completada,2026-07-20T12:00:00Z,Solicita financiación,2026-08-06T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-062,Seguimiento automotriz #62,auto-prospecto-062,vehiculo-062,auto-oportunidad-062,asesora-demo,Correo,Completada,2026-07-19T12:00:00Z,Pendiente respuesta,2026-08-07T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-063,Seguimiento automotriz #63,auto-prospecto-063,vehiculo-063,auto-oportunidad-063,asesor-demo,Reunión,Cancelada,2026-07-18T12:00:00Z,Nueva referencia sugerida,2026-08-08T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-064,Seguimiento automotriz #64,auto-prospecto-064,vehiculo-064,auto-oportunidad-064,asesora-demo,Seguimiento,Pendiente,2026-07-17T12:00:00Z,Interés confirmado,2026-08-09T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-065,Seguimiento automotriz #65,auto-prospecto-065,vehiculo-065,auto-oportunidad-065,asesor-demo,Llamada,Completada,2026-07-16T12:00:00Z,Solicita financiación,2026-08-10T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-066,Seguimiento automotriz #66,auto-prospecto-066,vehiculo-066,auto-oportunidad-066,asesora-demo,WhatsApp,Completada,2026-07-15T12:00:00Z,Pendiente respuesta,2026-08-11T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-067,Seguimiento automotriz #67,auto-prospecto-067,vehiculo-067,auto-oportunidad-067,asesor-demo,Correo,Cancelada,2026-07-14T12:00:00Z,Nueva referencia sugerida,2026-08-12T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-068,Seguimiento automotriz #68,auto-prospecto-068,vehiculo-068,auto-oportunidad-068,asesora-demo,Reunión,Pendiente,2026-07-13T12:00:00Z,Interés confirmado,2026-08-13T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-069,Seguimiento automotriz #69,auto-prospecto-069,vehiculo-069,auto-oportunidad-069,asesor-demo,Seguimiento,Completada,2026-07-12T12:00:00Z,Solicita financiación,2026-08-14T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-070,Seguimiento automotriz #70,auto-prospecto-070,vehiculo-070,auto-oportunidad-070,asesora-demo,Llamada,Completada,2026-07-11T12:00:00Z,Pendiente respuesta,2026-08-01T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-071,Seguimiento automotriz #71,auto-prospecto-071,vehiculo-071,auto-oportunidad-071,asesor-demo,WhatsApp,Cancelada,2026-07-10T12:00:00Z,Nueva referencia sugerida,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-072,Seguimiento automotriz #72,auto-prospecto-072,vehiculo-072,auto-oportunidad-072,asesora-demo,Correo,Pendiente,2026-07-09T12:00:00Z,Interés confirmado,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-073,Seguimiento automotriz #73,auto-prospecto-073,vehiculo-073,auto-oportunidad-073,asesor-demo,Reunión,Completada,2026-07-08T12:00:00Z,Solicita financiación,2026-08-04T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-074,Seguimiento automotriz #74,auto-prospecto-074,vehiculo-074,auto-oportunidad-074,asesora-demo,Seguimiento,Completada,2026-07-07T12:00:00Z,Pendiente respuesta,2026-08-05T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-075,Seguimiento automotriz #75,auto-prospecto-075,vehiculo-075,auto-oportunidad-075,asesor-demo,Llamada,Cancelada,2026-07-31T12:00:00Z,Nueva referencia sugerida,2026-08-06T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-076,Seguimiento automotriz #76,auto-prospecto-076,vehiculo-076,auto-oportunidad-076,asesora-demo,WhatsApp,Pendiente,2026-07-30T12:00:00Z,Interés confirmado,2026-08-07T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-077,Seguimiento automotriz #77,auto-prospecto-077,vehiculo-077,auto-oportunidad-077,asesor-demo,Correo,Completada,2026-07-29T12:00:00Z,Solicita financiación,2026-08-08T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-078,Seguimiento automotriz #78,auto-prospecto-078,vehiculo-078,auto-oportunidad-078,asesora-demo,Reunión,Completada,2026-07-28T12:00:00Z,Pendiente respuesta,2026-08-09T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-079,Seguimiento automotriz #79,auto-prospecto-079,vehiculo-079,auto-oportunidad-079,asesor-demo,Seguimiento,Cancelada,2026-07-27T12:00:00Z,Nueva referencia sugerida,2026-08-10T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-080,Seguimiento automotriz #80,auto-prospecto-080,vehiculo-080,auto-oportunidad-080,asesora-demo,Llamada,Pendiente,2026-07-26T12:00:00Z,Interés confirmado,2026-08-11T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-081,Seguimiento automotriz #81,auto-prospecto-081,vehiculo-081,auto-oportunidad-081,asesor-demo,WhatsApp,Completada,2026-07-25T12:00:00Z,Solicita financiación,2026-08-12T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-082,Seguimiento automotriz #82,auto-prospecto-082,vehiculo-082,auto-oportunidad-082,asesora-demo,Correo,Completada,2026-07-24T12:00:00Z,Pendiente respuesta,2026-08-13T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-083,Seguimiento automotriz #83,auto-prospecto-083,vehiculo-083,auto-oportunidad-083,asesor-demo,Reunión,Cancelada,2026-07-23T12:00:00Z,Nueva referencia sugerida,2026-08-14T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-084,Seguimiento automotriz #84,auto-prospecto-084,vehiculo-084,auto-oportunidad-084,asesora-demo,Seguimiento,Pendiente,2026-07-22T12:00:00Z,Interés confirmado,2026-08-01T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-085,Seguimiento automotriz #85,auto-prospecto-085,vehiculo-085,auto-oportunidad-085,asesor-demo,Llamada,Completada,2026-07-21T12:00:00Z,Solicita financiación,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-086,Seguimiento automotriz #86,auto-prospecto-086,vehiculo-086,auto-oportunidad-086,asesora-demo,WhatsApp,Completada,2026-07-20T12:00:00Z,Pendiente respuesta,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-087,Seguimiento automotriz #87,auto-prospecto-087,vehiculo-087,auto-oportunidad-087,asesor-demo,Correo,Cancelada,2026-07-19T12:00:00Z,Nueva referencia sugerida,2026-08-04T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-088,Seguimiento automotriz #88,auto-prospecto-088,vehiculo-088,auto-oportunidad-088,asesora-demo,Reunión,Pendiente,2026-07-18T12:00:00Z,Interés confirmado,2026-08-05T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-089,Seguimiento automotriz #89,auto-prospecto-089,vehiculo-089,auto-oportunidad-089,asesor-demo,Seguimiento,Completada,2026-07-17T12:00:00Z,Solicita financiación,2026-08-06T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-090,Seguimiento automotriz #90,auto-prospecto-090,vehiculo-090,auto-oportunidad-090,asesora-demo,Llamada,Completada,2026-07-16T12:00:00Z,Pendiente respuesta,2026-08-07T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-091,Seguimiento automotriz #91,auto-prospecto-091,vehiculo-091,auto-oportunidad-091,asesor-demo,WhatsApp,Cancelada,2026-07-15T12:00:00Z,Nueva referencia sugerida,2026-08-08T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-092,Seguimiento automotriz #92,auto-prospecto-092,vehiculo-092,auto-oportunidad-092,asesora-demo,Correo,Pendiente,2026-07-14T12:00:00Z,Interés confirmado,2026-08-09T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-093,Seguimiento automotriz #93,auto-prospecto-093,vehiculo-093,auto-oportunidad-093,asesor-demo,Reunión,Completada,2026-07-13T12:00:00Z,Solicita financiación,2026-08-10T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-094,Seguimiento automotriz #94,auto-prospecto-094,vehiculo-094,auto-oportunidad-094,asesora-demo,Seguimiento,Completada,2026-07-12T12:00:00Z,Pendiente respuesta,2026-08-11T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-095,Seguimiento automotriz #95,auto-prospecto-095,vehiculo-095,auto-oportunidad-095,asesor-demo,Llamada,Cancelada,2026-07-11T12:00:00Z,Nueva referencia sugerida,2026-08-12T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-096,Seguimiento automotriz #96,auto-prospecto-096,vehiculo-096,auto-oportunidad-096,asesora-demo,WhatsApp,Pendiente,2026-07-10T12:00:00Z,Interés confirmado,2026-08-13T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-097,Seguimiento automotriz #97,auto-prospecto-097,vehiculo-097,auto-oportunidad-097,asesor-demo,Correo,Completada,2026-07-09T12:00:00Z,Solicita financiación,2026-08-14T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-098,Seguimiento automotriz #98,auto-prospecto-098,vehiculo-098,auto-oportunidad-098,asesora-demo,Reunión,Completada,2026-07-08T12:00:00Z,Pendiente respuesta,2026-08-01T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-099,Seguimiento automotriz #99,auto-prospecto-099,vehiculo-099,auto-oportunidad-099,asesor-demo,Seguimiento,Cancelada,2026-07-07T12:00:00Z,Nueva referencia sugerida,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-100,Seguimiento automotriz #100,auto-prospecto-100,vehiculo-100,auto-oportunidad-100,asesora-demo,Llamada,Pendiente,2026-07-31T12:00:00Z,Interés confirmado,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
