ID,codigo,cliente,vehiculo,coordinador,tecnico,inicio,fin,kilometrajeIngreso,tipoServicio,estado,solicitud,diagnostico,valorEstimado,valorFinal,proximoMantenimiento,observaciones,externalID,inicioReal,finReal,fechaEntrega
orden-taller-011,OT-DEMO-011,auto-prospecto-012,vehiculo-012,supervisora-demo,tecnica-demo,2026-07-28T21:00:00Z,2026-07-28T23:00:00Z,13140,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,845000,847000,2026-11-09,Orden de taller sintética.,DMS-OT-011,2026-07-28T21:08:00Z,2026-07-28T23:35:00Z,2026-07-29T01:00:00Z
orden-taller-012,OT-DEMO-012,auto-prospecto-013,vehiculo-013,supervisora-demo,tecnica-demo,2026-07-29T22:00:00Z,2026-07-30T00:00:00Z,13880,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,890000,894000,2026-11-10,Orden de taller sintética.,DMS-OT-012,,,
orden-taller-013,OT-DEMO-013,auto-prospecto-014,vehiculo-014,supervisora-demo,tecnica-demo,2026-07-30T23:00:00Z,2026-07-31T01:00:00Z,14620,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,935000,941000,2026-11-11,Orden de taller sintética.,DMS-OT-013,,,
orden-taller-014,OT-DEMO-014,auto-prospecto-015,vehiculo-015,supervisora-demo,tecnica-demo,2026-08-01T00:00:00Z,2026-08-01T02:00:00Z,15360,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,980000,988000,2026-11-12,Orden de taller sintética.,DMS-OT-014,2026-08-01T00:08:00Z,,
orden-taller-015,OT-DEMO-015,auto-prospecto-016,vehiculo-016,supervisora-demo,tecnica-demo,2026-08-02T01:00:00Z,2026-08-02T03:00:00Z,16100,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1025000,1035000,2026-11-13,Orden de taller sintética.,DMS-OT-015,2026-08-02T01:08:00Z,2026-08-02T03:35:00Z,2026-08-02T05:00:00Z
orden-taller-016,OT-DEMO-016,auto-prospecto-017,vehiculo-017,supervisora-demo,tecnica-demo,2026-08-03T02:00:00Z,2026-08-03T04:00:00Z,16840,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1070000,1082000,2026-11-14,Orden de taller sintética.,DMS-OT-016,,,
orden-taller-017,OT-DEMO-017,auto-prospecto-018,vehiculo-018,supervisora-demo,tecnica-demo,2026-08-04T03:00:00Z,2026-08-04T05:00:00Z,17580,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,1115000,1129000,2026-11-15,Orden de taller sintética.,DMS-OT-017,,,
orden-taller-018,OT-DEMO-018,auto-prospecto-019,vehiculo-019,supervisora-demo,tecnica-demo,2026-08-04T19:00:00Z,2026-08-04T21:00:00Z,18320,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1160000,1176000,2026-11-16,Orden de taller sintética.,DMS-OT-018,2026-08-04T19:08:00Z,,
orden-taller-019,OT-DEMO-019,auto-prospecto-020,vehiculo-020,supervisora-demo,tecnica-demo,2026-08-05T20:00:00Z,2026-08-05T22:00:00Z,19060,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1205000,1223000,2026-11-17,Orden de taller sintética.,DMS-OT-019,2026-08-05T20:08:00Z,2026-08-05T22:35:00Z,2026-08-06T00:00:00Z
orden-taller-020,OT-DEMO-020,auto-prospecto-021,vehiculo-021,supervisora-demo,tecnica-demo,2026-08-06T21:00:00Z,2026-08-06T23:00:00Z,19800,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1250000,1270000,2026-11-18,Orden de taller sintética.,DMS-OT-020,,,
orden-taller-021,OT-DEMO-021,auto-prospecto-022,vehiculo-022,supervisora-demo,tecnica-demo,2026-08-07T22:00:00Z,2026-08-08T00:00:00Z,20540,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,1295000,1317000,2026-11-19,Orden de taller sintética.,DMS-OT-021,,,
orden-taller-022,OT-DEMO-022,auto-prospecto-023,vehiculo-023,supervisora-demo,tecnica-demo,2026-08-08T23:00:00Z,2026-08-09T01:00:00Z,21280,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1340000,1364000,2026-11-20,Orden de taller sintética.,DMS-OT-022,2026-08-08T23:08:00Z,,
orden-taller-023,OT-DEMO-023,auto-prospecto-024,vehiculo-024,supervisora-demo,tecnica-demo,2026-08-10T00:00:00Z,2026-08-10T02:00:00Z,22020,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1385000,1411000,2026-11-21,Orden de taller sintética.,DMS-OT-023,2026-08-10T00:08:00Z,2026-08-10T02:35:00Z,2026-08-10T04:00:00Z
orden-taller-024,OT-DEMO-024,auto-prospecto-025,vehiculo-025,supervisora-demo,tecnica-demo,2026-08-11T01:00:00Z,2026-08-11T03:00:00Z,22760,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1430000,1458000,2026-11-22,Orden de taller sintética.,DMS-OT-024,,,
orden-taller-025,OT-DEMO-025,auto-prospecto-026,vehiculo-026,supervisora-demo,tecnica-demo,2026-08-12T02:00:00Z,2026-08-12T04:00:00Z,23500,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,1475000,1505000,2026-11-23,Orden de taller sintética.,DMS-OT-025,,,
orden-taller-026,OT-DEMO-026,auto-prospecto-027,vehiculo-027,supervisora-demo,tecnica-demo,2026-08-13T03:00:00Z,2026-08-13T05:00:00Z,24240,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1520000,1552000,2026-11-24,Orden de taller sintética.,DMS-OT-026,2026-08-13T03:08:00Z,,
orden-taller-027,OT-DEMO-027,auto-prospecto-028,vehiculo-028,supervisora-demo,tecnica-demo,2026-08-13T19:00:00Z,2026-08-13T21:00:00Z,24980,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1565000,1599000,2026-11-25,Orden de taller sintética.,DMS-OT-027,2026-08-13T19:08:00Z,2026-08-13T21:35:00Z,2026-08-13T23:00:00Z
orden-taller-028,OT-DEMO-028,auto-prospecto-029,vehiculo-029,supervisora-demo,tecnica-demo,2026-07-17T20:00:00Z,2026-07-17T22:00:00Z,25720,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1610000,1646000,2026-11-26,Orden de taller sintética.,DMS-OT-028,,,
orden-taller-029,OT-DEMO-029,auto-prospecto-030,vehiculo-030,supervisora-demo,tecnica-demo,2026-07-18T21:00:00Z,2026-07-18T23:00:00Z,26460,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,1655000,1693000,2026-11-27,Orden de taller sintética.,DMS-OT-029,,,
orden-taller-030,OT-DEMO-030,auto-prospecto-031,vehiculo-031,supervisora-demo,tecnica-demo,2026-07-19T22:00:00Z,2026-07-20T00:00:00Z,27200,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1700000,1740000,2026-11-28,Orden de taller sintética.,DMS-OT-030,2026-07-19T22:08:00Z,,
orden-taller-031,OT-DEMO-031,auto-prospecto-032,vehiculo-032,supervisora-demo,tecnica-demo,2026-07-20T23:00:00Z,2026-07-21T01:00:00Z,27940,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1745000,1787000,2026-11-29,Orden de taller sintética.,DMS-OT-031,2026-07-20T23:08:00Z,2026-07-21T01:35:00Z,2026-07-21T03:00:00Z
orden-taller-032,OT-DEMO-032,auto-prospecto-033,vehiculo-033,supervisora-demo,tecnica-demo,2026-07-22T00:00:00Z,2026-07-22T02:00:00Z,28680,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1790000,1834000,2026-11-30,Orden de taller sintética.,DMS-OT-032,,,
orden-taller-033,OT-DEMO-033,auto-prospecto-034,vehiculo-034,supervisora-demo,tecnica-demo,2026-07-23T01:00:00Z,2026-07-23T03:00:00Z,29420,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,1835000,1881000,2026-12-01,Orden de taller sintética.,DMS-OT-033,,,
orden-taller-034,OT-DEMO-034,auto-prospecto-035,vehiculo-035,supervisora-demo,tecnica-demo,2026-07-24T02:00:00Z,2026-07-24T04:00:00Z,30160,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1880000,1928000,2026-12-02,Orden de taller sintética.,DMS-OT-034,2026-07-24T02:08:00Z,,
orden-taller-035,OT-DEMO-035,auto-prospecto-036,vehiculo-036,supervisora-demo,tecnica-demo,2026-07-25T03:00:00Z,2026-07-25T05:00:00Z,30900,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1925000,1975000,2026-12-03,Orden de taller sintética.,DMS-OT-035,2026-07-25T03:08:00Z,2026-07-25T05:35:00Z,2026-07-25T07:00:00Z
orden-taller-036,OT-DEMO-036,auto-prospecto-037,vehiculo-037,supervisora-demo,tecnica-demo,2026-07-25T19:00:00Z,2026-07-25T21:00:00Z,31640,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,1970000,2022000,2026-12-04,Orden de taller sintética.,DMS-OT-036,,,
orden-taller-037,OT-DEMO-037,auto-prospecto-038,vehiculo-038,supervisora-demo,tecnica-demo,2026-07-26T20:00:00Z,2026-07-26T22:00:00Z,32380,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,2015000,2069000,2026-12-05,Orden de taller sintética.,DMS-OT-037,,,
orden-taller-038,OT-DEMO-038,auto-prospecto-039,vehiculo-039,supervisora-demo,tecnica-demo,2026-07-27T21:00:00Z,2026-07-27T23:00:00Z,33120,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2060000,2116000,2026-12-06,Orden de taller sintética.,DMS-OT-038,2026-07-27T21:08:00Z,,
orden-taller-039,OT-DEMO-039,auto-prospecto-040,vehiculo-040,supervisora-demo,tecnica-demo,2026-07-28T22:00:00Z,2026-07-29T00:00:00Z,33860,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2105000,2163000,2026-12-07,Orden de taller sintética.,DMS-OT-039,2026-07-28T22:08:00Z,2026-07-29T00:35:00Z,2026-07-29T02:00:00Z
orden-taller-040,OT-DEMO-040,auto-prospecto-041,vehiculo-041,supervisora-demo,tecnica-demo,2026-07-29T23:00:00Z,2026-07-30T01:00:00Z,34600,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2150000,2210000,2026-12-08,Orden de taller sintética.,DMS-OT-040,,,
orden-taller-041,OT-DEMO-041,auto-prospecto-042,vehiculo-042,supervisora-demo,tecnica-demo,2026-07-31T00:00:00Z,2026-07-31T02:00:00Z,35340,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,2195000,2257000,2026-12-09,Orden de taller sintética.,DMS-OT-041,,,
orden-taller-042,OT-DEMO-042,auto-prospecto-043,vehiculo-043,supervisora-demo,tecnica-demo,2026-08-01T01:00:00Z,2026-08-01T03:00:00Z,36080,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2240000,2304000,2026-12-10,Orden de taller sintética.,DMS-OT-042,2026-08-01T01:08:00Z,,
orden-taller-043,OT-DEMO-043,auto-prospecto-044,vehiculo-044,supervisora-demo,tecnica-demo,2026-08-02T02:00:00Z,2026-08-02T04:00:00Z,36820,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2285000,2351000,2026-12-11,Orden de taller sintética.,DMS-OT-043,2026-08-02T02:08:00Z,2026-08-02T04:35:00Z,2026-08-02T06:00:00Z
orden-taller-044,OT-DEMO-044,auto-prospecto-045,vehiculo-045,supervisora-demo,tecnica-demo,2026-08-03T03:00:00Z,2026-08-03T05:00:00Z,37560,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2330000,2398000,2026-12-12,Orden de taller sintética.,DMS-OT-044,,,
orden-taller-045,OT-DEMO-045,auto-prospecto-046,vehiculo-046,supervisora-demo,tecnica-demo,2026-08-03T19:00:00Z,2026-08-03T21:00:00Z,38300,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,2375000,2445000,2026-12-13,Orden de taller sintética.,DMS-OT-045,,,
orden-taller-046,OT-DEMO-046,auto-prospecto-047,vehiculo-047,supervisora-demo,tecnica-demo,2026-08-04T20:00:00Z,2026-08-04T22:00:00Z,39040,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2420000,2492000,2026-12-14,Orden de taller sintética.,DMS-OT-046,2026-08-04T20:08:00Z,,
orden-taller-047,OT-DEMO-047,auto-prospecto-048,vehiculo-048,supervisora-demo,tecnica-demo,2026-08-05T21:00:00Z,2026-08-05T23:00:00Z,39780,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2465000,2539000,2026-12-15,Orden de taller sintética.,DMS-OT-047,2026-08-05T21:08:00Z,2026-08-05T23:35:00Z,2026-08-06T01:00:00Z
orden-taller-048,OT-DEMO-048,auto-prospecto-049,vehiculo-049,supervisora-demo,tecnica-demo,2026-08-06T22:00:00Z,2026-08-07T00:00:00Z,40520,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2510000,2586000,2026-12-16,Orden de taller sintética.,DMS-OT-048,,,
orden-taller-049,OT-DEMO-049,auto-prospecto-050,vehiculo-050,supervisora-demo,tecnica-demo,2026-08-07T23:00:00Z,2026-08-08T01:00:00Z,41260,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,2555000,2633000,2026-12-17,Orden de taller sintética.,DMS-OT-049,,,
orden-taller-050,OT-DEMO-050,auto-prospecto-051,vehiculo-051,supervisora-demo,tecnica-demo,2026-08-09T00:00:00Z,2026-08-09T02:00:00Z,42000,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2600000,2680000,2026-12-18,Orden de taller sintética.,DMS-OT-050,2026-08-09T00:08:00Z,,
orden-taller-051,OT-DEMO-051,auto-prospecto-052,vehiculo-052,supervisora-demo,tecnica-demo,2026-08-10T01:00:00Z,2026-08-10T03:00:00Z,42740,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2645000,2727000,2026-12-19,Orden de taller sintética.,DMS-OT-051,2026-08-10T01:08:00Z,2026-08-10T03:35:00Z,2026-08-10T05:00:00Z
orden-taller-052,OT-DEMO-052,auto-prospecto-053,vehiculo-053,supervisora-demo,tecnica-demo,2026-08-11T02:00:00Z,2026-08-11T04:00:00Z,43480,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2690000,2774000,2026-12-20,Orden de taller sintética.,DMS-OT-052,,,
orden-taller-053,OT-DEMO-053,auto-prospecto-054,vehiculo-054,supervisora-demo,tecnica-demo,2026-08-12T03:00:00Z,2026-08-12T05:00:00Z,44220,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,2735000,2821000,2026-12-21,Orden de taller sintética.,DMS-OT-053,,,
orden-taller-054,OT-DEMO-054,auto-prospecto-055,vehiculo-055,supervisora-demo,tecnica-demo,2026-08-12T19:00:00Z,2026-08-12T21:00:00Z,44960,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2780000,2868000,2026-12-22,Orden de taller sintética.,DMS-OT-054,2026-08-12T19:08:00Z,,
orden-taller-055,OT-DEMO-055,auto-prospecto-056,vehiculo-056,supervisora-demo,tecnica-demo,2026-08-13T20:00:00Z,2026-08-13T22:00:00Z,45700,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2825000,2915000,2026-12-23,Orden de taller sintética.,DMS-OT-055,2026-08-13T20:08:00Z,2026-08-13T22:35:00Z,2026-08-14T00:00:00Z
orden-taller-056,OT-DEMO-056,auto-prospecto-057,vehiculo-057,supervisora-demo,tecnica-demo,2026-07-17T21:00:00Z,2026-07-17T23:00:00Z,46440,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2870000,2962000,2026-12-24,Orden de taller sintética.,DMS-OT-056,,,
orden-taller-057,OT-DEMO-057,auto-prospecto-058,vehiculo-058,supervisora-demo,tecnica-demo,2026-07-18T22:00:00Z,2026-07-19T00:00:00Z,47180,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,2915000,3009000,2026-12-25,Orden de taller sintética.,DMS-OT-057,,,
orden-taller-058,OT-DEMO-058,auto-prospecto-059,vehiculo-059,supervisora-demo,tecnica-demo,2026-07-19T23:00:00Z,2026-07-20T01:00:00Z,47920,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,2960000,3056000,2026-12-26,Orden de taller sintética.,DMS-OT-058,2026-07-19T23:08:00Z,,
orden-taller-059,OT-DEMO-059,auto-prospecto-060,vehiculo-060,supervisora-demo,tecnica-demo,2026-07-21T00:00:00Z,2026-07-21T02:00:00Z,48660,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3005000,3103000,2026-12-27,Orden de taller sintética.,DMS-OT-059,2026-07-21T00:08:00Z,2026-07-21T02:35:00Z,2026-07-21T04:00:00Z
orden-taller-060,OT-DEMO-060,auto-prospecto-061,vehiculo-061,supervisora-demo,tecnica-demo,2026-07-22T01:00:00Z,2026-07-22T03:00:00Z,49400,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3050000,3150000,2026-12-28,Orden de taller sintética.,DMS-OT-060,,,
orden-taller-061,OT-DEMO-061,auto-prospecto-062,vehiculo-062,supervisora-demo,tecnica-demo,2026-07-23T02:00:00Z,2026-07-23T04:00:00Z,50140,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,3095000,3197000,2026-12-29,Orden de taller sintética.,DMS-OT-061,,,
orden-taller-062,OT-DEMO-062,auto-prospecto-063,vehiculo-063,supervisora-demo,tecnica-demo,2026-07-24T03:00:00Z,2026-07-24T05:00:00Z,50880,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3140000,3244000,2026-12-30,Orden de taller sintética.,DMS-OT-062,2026-07-24T03:08:00Z,,
orden-taller-063,OT-DEMO-063,auto-prospecto-064,vehiculo-064,supervisora-demo,tecnica-demo,2026-07-24T19:00:00Z,2026-07-24T21:00:00Z,51620,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3185000,3291000,2026-12-31,Orden de taller sintética.,DMS-OT-063,2026-07-24T19:08:00Z,2026-07-24T21:35:00Z,2026-07-24T23:00:00Z
orden-taller-064,OT-DEMO-064,auto-prospecto-065,vehiculo-065,supervisora-demo,tecnica-demo,2026-07-25T20:00:00Z,2026-07-25T22:00:00Z,52360,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3230000,3338000,2027-01-01,Orden de taller sintética.,DMS-OT-064,,,
orden-taller-065,OT-DEMO-065,auto-prospecto-066,vehiculo-066,supervisora-demo,tecnica-demo,2026-07-26T21:00:00Z,2026-07-26T23:00:00Z,53100,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,3275000,3385000,2027-01-02,Orden de taller sintética.,DMS-OT-065,,,
orden-taller-066,OT-DEMO-066,auto-prospecto-067,vehiculo-067,supervisora-demo,tecnica-demo,2026-07-27T22:00:00Z,2026-07-28T00:00:00Z,53840,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3320000,3432000,2027-01-03,Orden de taller sintética.,DMS-OT-066,2026-07-27T22:08:00Z,,
orden-taller-067,OT-DEMO-067,auto-prospecto-068,vehiculo-068,supervisora-demo,tecnica-demo,2026-07-28T23:00:00Z,2026-07-29T01:00:00Z,54580,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3365000,3479000,2027-01-04,Orden de taller sintética.,DMS-OT-067,2026-07-28T23:08:00Z,2026-07-29T01:35:00Z,2026-07-29T03:00:00Z
orden-taller-068,OT-DEMO-068,auto-prospecto-069,vehiculo-069,supervisora-demo,tecnica-demo,2026-07-30T00:00:00Z,2026-07-30T02:00:00Z,55320,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3410000,3526000,2027-01-05,Orden de taller sintética.,DMS-OT-068,,,
orden-taller-069,OT-DEMO-069,auto-prospecto-070,vehiculo-070,supervisora-demo,tecnica-demo,2026-07-31T01:00:00Z,2026-07-31T03:00:00Z,56060,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,3455000,3573000,2027-01-06,Orden de taller sintética.,DMS-OT-069,,,
orden-taller-070,OT-DEMO-070,auto-prospecto-071,vehiculo-071,supervisora-demo,tecnica-demo,2026-08-01T02:00:00Z,2026-08-01T04:00:00Z,56800,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3500000,3620000,2027-01-07,Orden de taller sintética.,DMS-OT-070,2026-08-01T02:08:00Z,,
orden-taller-071,OT-DEMO-071,auto-prospecto-072,vehiculo-072,supervisora-demo,tecnica-demo,2026-08-02T03:00:00Z,2026-08-02T05:00:00Z,57540,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3545000,3667000,2027-01-08,Orden de taller sintética.,DMS-OT-071,2026-08-02T03:08:00Z,2026-08-02T05:35:00Z,2026-08-02T07:00:00Z
orden-taller-072,OT-DEMO-072,auto-prospecto-073,vehiculo-073,supervisora-demo,tecnica-demo,2026-08-02T19:00:00Z,2026-08-02T21:00:00Z,58280,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3590000,3714000,2027-01-09,Orden de taller sintética.,DMS-OT-072,,,
orden-taller-073,OT-DEMO-073,auto-prospecto-074,vehiculo-074,supervisora-demo,tecnica-demo,2026-08-03T20:00:00Z,2026-08-03T22:00:00Z,59020,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,3635000,3761000,2027-01-10,Orden de taller sintética.,DMS-OT-073,,,
orden-taller-074,OT-DEMO-074,auto-prospecto-075,vehiculo-075,supervisora-demo,tecnica-demo,2026-08-04T21:00:00Z,2026-08-04T23:00:00Z,59760,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3680000,3808000,2027-01-11,Orden de taller sintética.,DMS-OT-074,2026-08-04T21:08:00Z,,
orden-taller-075,OT-DEMO-075,auto-prospecto-076,vehiculo-076,supervisora-demo,tecnica-demo,2026-08-05T22:00:00Z,2026-08-06T00:00:00Z,60500,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3725000,3855000,2027-01-12,Orden de taller sintética.,DMS-OT-075,2026-08-05T22:08:00Z,2026-08-06T00:35:00Z,2026-08-06T02:00:00Z
orden-taller-076,OT-DEMO-076,auto-prospecto-077,vehiculo-077,supervisora-demo,tecnica-demo,2026-08-06T23:00:00Z,2026-08-07T01:00:00Z,61240,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3770000,3902000,2027-01-13,Orden de taller sintética.,DMS-OT-076,,,
orden-taller-077,OT-DEMO-077,auto-prospecto-078,vehiculo-078,supervisora-demo,tecnica-demo,2026-08-08T00:00:00Z,2026-08-08T02:00:00Z,61980,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,3815000,3949000,2027-01-14,Orden de taller sintética.,DMS-OT-077,,,
orden-taller-078,OT-DEMO-078,auto-prospecto-079,vehiculo-079,supervisora-demo,tecnica-demo,2026-08-09T01:00:00Z,2026-08-09T03:00:00Z,62720,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,3860000,3996000,2027-01-15,Orden de taller sintética.,DMS-OT-078,2026-08-09T01:08:00Z,,
