ID,codigo,vin,placa,marca,modelo,version,anio,condicion,kilometraje,color,precio,sede,fechaIngreso,estado,proximoMantenimiento,externalID,proveedorExterno,estadoIntegracion
vehiculo-011,AUTO-DEMO-011,9ABERADEMO00000011,DMO011,Volkswagen,Modelo 4,Premium,2023,Usado,0,Rojo,104350000,Medellín,2026-06-28,Vendido,2026-10-13,DMS-VEH-011,DMS sintético,Local
vehiculo-012,AUTO-DEMO-012,9ABERADEMO00000012,DMO012,Renault,Modelo 5,Comfort,2024,Nuevo,14360,Blanco,108200000,Cali,2026-06-25,Disponible,2026-10-17,DMS-VEH-012,DMS sintético,Local
vehiculo-013,AUTO-DEMO-013,9ABERADEMO00000013,DMO013,Chevrolet,Modelo 6,Touring,2025,Usado,0,Gris,112050000,Barranquilla,2026-06-22,Disponible,2026-10-21,DMS-VEH-013,DMS sintético,Local
vehiculo-014,AUTO-DEMO-014,9ABERADEMO00000014,DMO014,Mazda,Modelo 7,Premium,2026,Nuevo,15420,Azul,115900000,Cartagena,2026-06-19,Reservado,2026-10-25,DMS-VEH-014,DMS sintético,Local
vehiculo-015,AUTO-DEMO-015,9ABERADEMO00000015,DMO015,Toyota,Modelo 8,Comfort,2022,Usado,0,Rojo,119750000,Bucaramanga,2026-06-16,Vendido,2026-10-29,DMS-VEH-015,DMS sintético,Local
vehiculo-016,AUTO-DEMO-016,9ABERADEMO00000016,DMO016,Kia,Modelo 1,Touring,2023,Nuevo,16480,Blanco,123600000,Pereira,2026-06-13,Disponible,2026-11-02,DMS-VEH-016,DMS sintético,Local
vehiculo-017,AUTO-DEMO-017,9ABERADEMO00000017,DMO017,Volkswagen,Modelo 2,Premium,2024,Usado,0,Gris,127450000,Manizales,2026-06-10,Disponible,2026-11-06,DMS-VEH-017,DMS sintético,Local
vehiculo-018,AUTO-DEMO-018,9ABERADEMO00000018,DMO018,Renault,Modelo 3,Comfort,2025,Nuevo,17540,Azul,131300000,Ibagué,2026-06-07,Reservado,2026-11-10,DMS-VEH-018,DMS sintético,Local
vehiculo-019,AUTO-DEMO-019,9ABERADEMO00000019,DMO019,Chevrolet,Modelo 4,Touring,2026,Usado,0,Rojo,135150000,Villavicencio,2026-06-04,Vendido,2026-11-14,DMS-VEH-019,DMS sintético,Local
vehiculo-020,AUTO-DEMO-020,9ABERADEMO00000020,DMO020,Mazda,Modelo 5,Premium,2022,Nuevo,18600,Blanco,139000000,Bogotá,2026-06-01,Disponible,2026-11-18,DMS-VEH-020,DMS sintético,Local
vehiculo-021,AUTO-DEMO-021,9ABERADEMO00000021,DMO021,Toyota,Modelo 6,Comfort,2023,Usado,0,Gris,142850000,Medellín,2026-05-29,Disponible,2026-11-22,DMS-VEH-021,DMS sintético,Local
vehiculo-022,AUTO-DEMO-022,9ABERADEMO00000022,DMO022,Kia,Modelo 7,Touring,2024,Nuevo,19660,Azul,146700000,Cali,2026-05-26,Reservado,2026-11-26,DMS-VEH-022,DMS sintético,Local
vehiculo-023,AUTO-DEMO-023,9ABERADEMO00000023,DMO023,Volkswagen,Modelo 8,Premium,2025,Usado,0,Rojo,150550000,Barranquilla,2026-05-23,Vendido,2026-11-30,DMS-VEH-023,DMS sintético,Local
vehiculo-024,AUTO-DEMO-024,9ABERADEMO00000024,DMO024,Renault,Modelo 1,Comfort,2026,Nuevo,20720,Blanco,154400000,Cartagena,2026-05-20,Disponible,2026-12-04,DMS-VEH-024,DMS sintético,Local
vehiculo-025,AUTO-DEMO-025,9ABERADEMO00000025,DMO025,Chevrolet,Modelo 2,Touring,2022,Usado,0,Gris,158250000,Bucaramanga,2026-05-17,Disponible,2026-12-08,DMS-VEH-025,DMS sintético,Local
vehiculo-026,AUTO-DEMO-026,9ABERADEMO00000026,DMO026,Mazda,Modelo 3,Premium,2023,Nuevo,21780,Azul,162100000,Pereira,2026-05-14,Reservado,2026-12-12,DMS-VEH-026,DMS sintético,Local
vehiculo-027,AUTO-DEMO-027,9ABERADEMO00000027,DMO027,Toyota,Modelo 4,Comfort,2024,Usado,0,Rojo,165950000,Manizales,2026-05-11,Vendido,2026-12-16,DMS-VEH-027,DMS sintético,Local
vehiculo-028,AUTO-DEMO-028,9ABERADEMO00000028,DMO028,Kia,Modelo 5,Touring,2025,Nuevo,22840,Blanco,169800000,Ibagué,2026-05-08,Disponible,2026-12-20,DMS-VEH-028,DMS sintético,Local
vehiculo-029,AUTO-DEMO-029,9ABERADEMO00000029,DMO029,Volkswagen,Modelo 6,Premium,2026,Usado,0,Gris,173650000,Villavicencio,2026-05-05,Disponible,2026-12-24,DMS-VEH-029,DMS sintético,Local
vehiculo-030,AUTO-DEMO-030,9ABERADEMO00000030,DMO030,Renault,Modelo 7,Comfort,2022,Nuevo,23900,Azul,177500000,Bogotá,2026-05-02,Reservado,2026-12-28,DMS-VEH-030,DMS sintético,Local
vehiculo-031,AUTO-DEMO-031,9ABERADEMO00000031,DMO031,Chevrolet,Modelo 8,Touring,2023,Usado,0,Rojo,181350000,Medellín,2026-04-29,Vendido,2027-01-01,DMS-VEH-031,DMS sintético,Local
vehiculo-032,AUTO-DEMO-032,9ABERADEMO00000032,DMO032,Mazda,Modelo 1,Premium,2024,Nuevo,24960,Blanco,185200000,Cali,2026-04-26,Disponible,2027-01-05,DMS-VEH-032,DMS sintético,Local
vehiculo-033,AUTO-DEMO-033,9ABERADEMO00000033,DMO033,Toyota,Modelo 2,Comfort,2025,Usado,0,Gris,189050000,Barranquilla,2026-04-23,Disponible,2027-01-09,DMS-VEH-033,DMS sintético,Local
vehiculo-034,AUTO-DEMO-034,9ABERADEMO00000034,DMO034,Kia,Modelo 3,Touring,2026,Nuevo,26020,Azul,192900000,Cartagena,2026-04-20,Reservado,2027-01-13,DMS-VEH-034,DMS sintético,Local
vehiculo-035,AUTO-DEMO-035,9ABERADEMO00000035,DMO035,Volkswagen,Modelo 4,Premium,2022,Usado,0,Rojo,196750000,Bucaramanga,2026-04-17,Vendido,2027-01-17,DMS-VEH-035,DMS sintético,Local
vehiculo-036,AUTO-DEMO-036,9ABERADEMO00000036,DMO036,Renault,Modelo 5,Comfort,2023,Nuevo,27080,Blanco,200600000,Pereira,2026-04-14,Disponible,2027-01-21,DMS-VEH-036,DMS sintético,Local
vehiculo-037,AUTO-DEMO-037,9ABERADEMO00000037,DMO037,Chevrolet,Modelo 6,Touring,2024,Usado,0,Gris,204450000,Manizales,2026-04-11,Disponible,2027-01-25,DMS-VEH-037,DMS sintético,Local
vehiculo-038,AUTO-DEMO-038,9ABERADEMO00000038,DMO038,Mazda,Modelo 7,Premium,2025,Nuevo,28140,Azul,208300000,Ibagué,2026-04-08,Reservado,2027-01-29,DMS-VEH-038,DMS sintético,Local
vehiculo-039,AUTO-DEMO-039,9ABERADEMO00000039,DMO039,Toyota,Modelo 8,Comfort,2026,Usado,0,Rojo,212150000,Villavicencio,2026-04-05,Vendido,2027-02-02,DMS-VEH-039,DMS sintético,Local
vehiculo-040,AUTO-DEMO-040,9ABERADEMO00000040,DMO040,Kia,Modelo 1,Touring,2022,Nuevo,29200,Blanco,216000000,Bogotá,2026-04-02,Disponible,2027-02-06,DMS-VEH-040,DMS sintético,Local
vehiculo-041,AUTO-DEMO-041,9ABERADEMO00000041,DMO041,Volkswagen,Modelo 2,Premium,2023,Usado,0,Gris,219850000,Medellín,2026-03-30,Disponible,2027-02-10,DMS-VEH-041,DMS sintético,Local
vehiculo-042,AUTO-DEMO-042,9ABERADEMO00000042,DMO042,Renault,Modelo 3,Comfort,2024,Nuevo,30260,Azul,223700000,Cali,2026-03-27,Reservado,2027-02-14,DMS-VEH-042,DMS sintético,Local
vehiculo-043,AUTO-DEMO-043,9ABERADEMO00000043,DMO043,Chevrolet,Modelo 4,Touring,2025,Usado,0,Rojo,227550000,Barranquilla,2026-03-24,Vendido,2027-02-18,DMS-VEH-043,DMS sintético,Local
vehiculo-044,AUTO-DEMO-044,9ABERADEMO00000044,DMO044,Mazda,Modelo 5,Premium,2026,Nuevo,31320,Blanco,231400000,Cartagena,2026-03-21,Disponible,2027-02-22,DMS-VEH-044,DMS sintético,Local
vehiculo-045,AUTO-DEMO-045,9ABERADEMO00000045,DMO045,Toyota,Modelo 6,Comfort,2022,Usado,0,Gris,235250000,Bucaramanga,2026-03-18,Disponible,2027-02-26,DMS-VEH-045,DMS sintético,Local
vehiculo-046,AUTO-DEMO-046,9ABERADEMO00000046,DMO046,Kia,Modelo 7,Touring,2023,Nuevo,32380,Azul,239100000,Pereira,2026-03-15,Reservado,2027-03-02,DMS-VEH-046,DMS sintético,Local
vehiculo-047,AUTO-DEMO-047,9ABERADEMO00000047,DMO047,Volkswagen,Modelo 8,Premium,2024,Usado,0,Rojo,242950000,Manizales,2026-03-12,Vendido,2027-03-06,DMS-VEH-047,DMS sintético,Local
vehiculo-048,AUTO-DEMO-048,9ABERADEMO00000048,DMO048,Renault,Modelo 1,Comfort,2025,Nuevo,33440,Blanco,246800000,Ibagué,2026-03-09,Disponible,2027-03-10,DMS-VEH-048,DMS sintético,Local
vehiculo-049,AUTO-DEMO-049,9ABERADEMO00000049,DMO049,Chevrolet,Modelo 2,Touring,2026,Usado,0,Gris,250650000,Villavicencio,2026-03-06,Disponible,2027-03-14,DMS-VEH-049,DMS sintético,Local
vehiculo-050,AUTO-DEMO-050,9ABERADEMO00000050,DMO050,Mazda,Modelo 3,Premium,2022,Nuevo,34500,Azul,254500000,Bogotá,2026-03-03,Reservado,2027-03-18,DMS-VEH-050,DMS sintético,Local
vehiculo-051,AUTO-DEMO-051,9ABERADEMO00000051,DMO051,Toyota,Modelo 4,Comfort,2023,Usado,0,Rojo,258350000,Medellín,2026-02-28,Vendido,2027-03-22,DMS-VEH-051,DMS sintético,Local
vehiculo-052,AUTO-DEMO-052,9ABERADEMO00000052,DMO052,Kia,Modelo 5,Touring,2024,Nuevo,35560,Blanco,262200000,Cali,2026-02-25,Disponible,2027-03-26,DMS-VEH-052,DMS sintético,Local
vehiculo-053,AUTO-DEMO-053,9ABERADEMO00000053,DMO053,Volkswagen,Modelo 6,Premium,2025,Usado,0,Gris,266050000,Barranquilla,2026-02-22,Disponible,2027-03-30,DMS-VEH-053,DMS sintético,Local
vehiculo-054,AUTO-DEMO-054,9ABERADEMO00000054,DMO054,Renault,Modelo 7,Comfort,2026,Nuevo,36620,Azul,269900000,Cartagena,2026-02-19,Reservado,2027-04-03,DMS-VEH-054,DMS sintético,Local
vehiculo-055,AUTO-DEMO-055,9ABERADEMO00000055,DMO055,Chevrolet,Modelo 8,Touring,2022,Usado,0,Rojo,273750000,Bucaramanga,2026-02-16,Vendido,2027-04-07,DMS-VEH-055,DMS sintético,Local
vehiculo-056,AUTO-DEMO-056,9ABERADEMO00000056,DMO056,Mazda,Modelo 1,Premium,2023,Nuevo,37680,Blanco,277600000,Pereira,2026-02-13,Disponible,2027-04-11,DMS-VEH-056,DMS sintético,Local
vehiculo-057,AUTO-DEMO-057,9ABERADEMO00000057,DMO057,Toyota,Modelo 2,Comfort,2024,Usado,0,Gris,281450000,Manizales,2026-02-10,Disponible,2027-04-15,DMS-VEH-057,DMS sintético,Local
vehiculo-058,AUTO-DEMO-058,9ABERADEMO00000058,DMO058,Kia,Modelo 3,Touring,2025,Nuevo,38740,Azul,285300000,Ibagué,2026-02-07,Reservado,2027-04-19,DMS-VEH-058,DMS sintético,Local
vehiculo-059,AUTO-DEMO-059,9ABERADEMO00000059,DMO059,Volkswagen,Modelo 4,Premium,2026,Usado,0,Rojo,289150000,Villavicencio,2026-02-04,Vendido,2027-04-23,DMS-VEH-059,DMS sintético,Local
vehiculo-060,AUTO-DEMO-060,9ABERADEMO00000060,DMO060,Renault,Modelo 5,Comfort,2022,Nuevo,39800,Blanco,293000000,Bogotá,2026-02-01,Disponible,2027-04-27,DMS-VEH-060,DMS sintético,Local
vehiculo-061,AUTO-DEMO-061,9ABERADEMO00000061,DMO061,Chevrolet,Modelo 6,Touring,2023,Usado,0,Gris,296850000,Medellín,2026-01-29,Disponible,2027-05-01,DMS-VEH-061,DMS sintético,Local
vehiculo-062,AUTO-DEMO-062,9ABERADEMO00000062,DMO062,Mazda,Modelo 7,Premium,2024,Nuevo,40860,Azul,300700000,Cali,2026-01-26,Reservado,2027-05-05,DMS-VEH-062,DMS sintético,Local
vehiculo-063,AUTO-DEMO-063,9ABERADEMO00000063,DMO063,Toyota,Modelo 8,Comfort,2025,Usado,0,Rojo,304550000,Barranquilla,2026-01-23,Vendido,2027-05-09,DMS-VEH-063,DMS sintético,Local
vehiculo-064,AUTO-DEMO-064,9ABERADEMO00000064,DMO064,Kia,Modelo 1,Touring,2026,Nuevo,41920,Blanco,308400000,Cartagena,2026-01-20,Disponible,2027-05-13,DMS-VEH-064,DMS sintético,Local
vehiculo-065,AUTO-DEMO-065,9ABERADEMO00000065,DMO065,Volkswagen,Modelo 2,Premium,2022,Usado,0,Gris,312250000,Bucaramanga,2026-01-17,Disponible,2027-05-17,DMS-VEH-065,DMS sintético,Local
vehiculo-066,AUTO-DEMO-066,9ABERADEMO00000066,DMO066,Renault,Modelo 3,Comfort,2023,Nuevo,42980,Azul,316100000,Pereira,2026-01-14,Reservado,2027-05-21,DMS-VEH-066,DMS sintético,Local
vehiculo-067,AUTO-DEMO-067,9ABERADEMO00000067,DMO067,Chevrolet,Modelo 4,Touring,2024,Usado,0,Rojo,319950000,Manizales,2026-01-11,Vendido,2027-05-25,DMS-VEH-067,DMS sintético,Local
vehiculo-068,AUTO-DEMO-068,9ABERADEMO00000068,DMO068,Mazda,Modelo 5,Premium,2025,Nuevo,44040,Blanco,323800000,Ibagué,2026-01-08,Disponible,2027-05-29,DMS-VEH-068,DMS sintético,Local
vehiculo-069,AUTO-DEMO-069,9ABERADEMO00000069,DMO069,Toyota,Modelo 6,Comfort,2026,Usado,0,Gris,327650000,Villavicencio,2026-01-05,Disponible,2027-06-02,DMS-VEH-069,DMS sintético,Local
vehiculo-070,AUTO-DEMO-070,9ABERADEMO00000070,DMO070,Kia,Modelo 7,Touring,2022,Nuevo,45100,Azul,331500000,Bogotá,2026-01-02,Reservado,2027-06-06,DMS-VEH-070,DMS sintético,Local
vehiculo-071,AUTO-DEMO-071,9ABERADEMO00000071,DMO071,Volkswagen,Modelo 8,Premium,2023,Usado,0,Rojo,335350000,Medellín,2025-12-30,Vendido,2027-06-10,DMS-VEH-071,DMS sintético,Local
vehiculo-072,AUTO-DEMO-072,9ABERADEMO00000072,DMO072,Renault,Modelo 1,Comfort,2024,Nuevo,46160,Blanco,339200000,Cali,2025-12-27,Disponible,2027-06-14,DMS-VEH-072,DMS sintético,Local
vehiculo-073,AUTO-DEMO-073,9ABERADEMO00000073,DMO073,Chevrolet,Modelo 2,Touring,2025,Usado,0,Gris,343050000,Barranquilla,2025-12-24,Disponible,2027-06-18,DMS-VEH-073,DMS sintético,Local
vehiculo-074,AUTO-DEMO-074,9ABERADEMO00000074,DMO074,Mazda,Modelo 3,Premium,2026,Nuevo,47220,Azul,346900000,Cartagena,2025-12-21,Reservado,2027-06-22,DMS-VEH-074,DMS sintético,Local
vehiculo-075,AUTO-DEMO-075,9ABERADEMO00000075,DMO075,Toyota,Modelo 4,Comfort,2022,Usado,0,Rojo,350750000,Bucaramanga,2025-12-18,Vendido,2027-06-26,DMS-VEH-075,DMS sintético,Local
vehiculo-076,AUTO-DEMO-076,9ABERADEMO00000076,DMO076,Kia,Modelo 5,Touring,2023,Nuevo,48280,Blanco,354600000,Pereira,2025-12-15,Disponible,2027-06-30,DMS-VEH-076,DMS sintético,Local
vehiculo-077,AUTO-DEMO-077,9ABERADEMO00000077,DMO077,Volkswagen,Modelo 6,Premium,2024,Usado,0,Gris,358450000,Manizales,2025-12-12,Disponible,2027-07-04,DMS-VEH-077,DMS sintético,Local
vehiculo-078,AUTO-DEMO-078,9ABERADEMO00000078,DMO078,Renault,Modelo 7,Comfort,2025,Nuevo,49340,Azul,362300000,Ibagué,2025-12-09,Reservado,2027-07-08,DMS-VEH-078,DMS sintético,Local
vehiculo-079,AUTO-DEMO-079,9ABERADEMO00000079,DMO079,Chevrolet,Modelo 8,Touring,2026,Usado,0,Rojo,366150000,Villavicencio,2025-12-06,Vendido,2027-07-12,DMS-VEH-079,DMS sintético,Local
vehiculo-080,AUTO-DEMO-080,9ABERADEMO00000080,DMO080,Mazda,Modelo 1,Premium,2022,Nuevo,50400,Blanco,370000000,Bogotá,2025-12-03,Disponible,2027-07-16,DMS-VEH-080,DMS sintético,Local
vehiculo-081,AUTO-DEMO-081,9ABERADEMO00000081,DMO081,Toyota,Modelo 2,Comfort,2023,Usado,0,Gris,373850000,Medellín,2025-11-30,Disponible,2027-07-20,DMS-VEH-081,DMS sintético,Local
vehiculo-082,AUTO-DEMO-082,9ABERADEMO00000082,DMO082,Kia,Modelo 3,Touring,2024,Nuevo,51460,Azul,377700000,Cali,2025-11-27,Reservado,2027-07-24,DMS-VEH-082,DMS sintético,Local
vehiculo-083,AUTO-DEMO-083,9ABERADEMO00000083,DMO083,Volkswagen,Modelo 4,Premium,2025,Usado,0,Rojo,381550000,Barranquilla,2025-11-24,Vendido,2027-07-28,DMS-VEH-083,DMS sintético,Local
vehiculo-084,AUTO-DEMO-084,9ABERADEMO00000084,DMO084,Renault,Modelo 5,Comfort,2026,Nuevo,52520,Blanco,385400000,Cartagena,2025-11-21,Disponible,2027-08-01,DMS-VEH-084,DMS sintético,Local
vehiculo-085,AUTO-DEMO-085,9ABERADEMO00000085,DMO085,Chevrolet,Modelo 6,Touring,2022,Usado,0,Gris,389250000,Bucaramanga,2025-11-18,Disponible,2027-08-05,DMS-VEH-085,DMS sintético,Local
vehiculo-086,AUTO-DEMO-086,9ABERADEMO00000086,DMO086,Mazda,Modelo 7,Premium,2023,Nuevo,53580,Azul,393100000,Pereira,2025-11-15,Reservado,2027-08-09,DMS-VEH-086,DMS sintético,Local
vehiculo-087,AUTO-DEMO-087,9ABERADEMO00000087,DMO087,Toyota,Modelo 8,Comfort,2024,Usado,0,Rojo,396950000,Manizales,2025-11-12,Vendido,2027-08-13,DMS-VEH-087,DMS sintético,Local
vehiculo-088,AUTO-DEMO-088,9ABERADEMO00000088,DMO088,Kia,Modelo 1,Touring,2025,Nuevo,54640,Blanco,400800000,Ibagué,2025-11-09,Disponible,2027-08-17,DMS-VEH-088,DMS sintético,Local
vehiculo-089,AUTO-DEMO-089,9ABERADEMO00000089,DMO089,Volkswagen,Modelo 2,Premium,2026,Usado,0,Gris,404650000,Villavicencio,2025-11-06,Disponible,2027-08-21,DMS-VEH-089,DMS sintético,Local
vehiculo-090,AUTO-DEMO-090,9ABERADEMO00000090,DMO090,Renault,Modelo 3,Comfort,2022,Nuevo,55700,Azul,408500000,Bogotá,2025-11-03,Reservado,2027-08-25,DMS-VEH-090,DMS sintético,Local
vehiculo-091,AUTO-DEMO-091,9ABERADEMO00000091,DMO091,Chevrolet,Modelo 4,Touring,2023,Usado,0,Rojo,412350000,Medellín,2025-10-31,Vendido,2027-08-29,DMS-VEH-091,DMS sintético,Local
vehiculo-092,AUTO-DEMO-092,9ABERADEMO00000092,DMO092,Mazda,Modelo 5,Premium,2024,Nuevo,56760,Blanco,416200000,Cali,2025-10-28,Disponible,2027-09-02,DMS-VEH-092,DMS sintético,Local
vehiculo-093,AUTO-DEMO-093,9ABERADEMO00000093,DMO093,Toyota,Modelo 6,Comfort,2025,Usado,0,Gris,420050000,Barranquilla,2025-10-25,Disponible,2027-09-06,DMS-VEH-093,DMS sintético,Local
vehiculo-094,AUTO-DEMO-094,9ABERADEMO00000094,DMO094,Kia,Modelo 7,Touring,2026,Nuevo,57820,Azul,423900000,Cartagena,2025-10-22,Reservado,2027-09-10,DMS-VEH-094,DMS sintético,Local
vehiculo-095,AUTO-DEMO-095,9ABERADEMO00000095,DMO095,Volkswagen,Modelo 8,Premium,2022,Usado,0,Rojo,427750000,Bucaramanga,2025-10-19,Vendido,2027-09-14,DMS-VEH-095,DMS sintético,Local
vehiculo-096,AUTO-DEMO-096,9ABERADEMO00000096,DMO096,Renault,Modelo 1,Comfort,2023,Nuevo,58880,Blanco,431600000,Pereira,2025-10-16,Disponible,2027-09-18,DMS-VEH-096,DMS sintético,Local
vehiculo-097,AUTO-DEMO-097,9ABERADEMO00000097,DMO097,Chevrolet,Modelo 2,Touring,2024,Usado,0,Gris,435450000,Manizales,2025-10-13,Disponible,2027-09-22,DMS-VEH-097,DMS sintético,Local
vehiculo-098,AUTO-DEMO-098,9ABERADEMO00000098,DMO098,Mazda,Modelo 3,Premium,2025,Nuevo,59940,Azul,439300000,Ibagué,2025-10-10,Reservado,2027-09-26,DMS-VEH-098,DMS sintético,Local
vehiculo-099,AUTO-DEMO-099,9ABERADEMO00000099,DMO099,Toyota,Modelo 4,Comfort,2026,Usado,0,Rojo,443150000,Villavicencio,2025-10-07,Vendido,2027-09-30,DMS-VEH-099,DMS sintético,Local
vehiculo-100,AUTO-DEMO-100,9ABERADEMO00000100,DMO100,Kia,Modelo 5,Touring,2022,Nuevo,61000,Blanco,447000000,Bogotá,2025-10-04,Disponible,2027-10-04,DMS-VEH-100,DMS sintético,Local
